general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
[计] 常规"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
react,"vt. 重做, 重演"
director,"n. 主任，主管；导演；人事助理
n. (Director)人名；(英)迪雷克托"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
pronounce,"v. 发音, 宣告, 断言"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
[计] 展开; DOS外部命令:将原始DOS磁盘上的压缩文件解压缩并拷贝到硬盘上"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
adapt,"vt. 使适应, 改编
vi. 适应"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
union,"n. 联盟, 联合, 结合, 工会
[化] 联合; 联管节; 活接头"
merely,adv. 只
gentle,"a. 温和的, 文雅的"
ankle,"n. 踝
[医] 踝, 踝关节"
intend,"vt. 计划, 打算, 意思是
[法] 想要, 打算, 意旨"
course,"adv. 〈口〉当然
n. 过程；航向；球场；【教】课程
v. (某种液体)流下；(某种感觉)突然变得很强烈；(带着猎犬)打猎
[网络] 一道菜；路线；经过"
challenging,"a. 挑战的, 引起争论的"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
[计] 辅助线"
institute,"vt. 开始（调查）；制定；创立；提起（诉讼）
n. 学会，协会；学院"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
[计] 单精度型"
amuse,"vt. 消遣, 娱乐, 使发笑"
crime,"n. 犯罪, 罪行, 罪恶
[法] 犯罪, 罪, 罪恶"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
[计] 转移, 跳转"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
[计] 邮件程序"
tribe,"n. 宗族, 部落, 一群人
[医] 族(生物分类)"
add,[网络] 度；新增；注意力缺陷症
dismiss,"vt. 解散, 开除, 解职
vi. 解散
[计] 解散"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
vocabulary,"n. 词汇(量), 词汇表
[计] 词表"
guidance,"n. 指导, 领导
[医] 导"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
battle,"n. 战役
v. 战斗"
dictation,"n. 听写, 口述, 命令"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
adopt,"vt. 采用, 正式通过, 收养, 接受
[医] 采取"
origin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
rent,n. [口语]爸；妈
smooth,"adj. 平整的；平坦的；平滑的；光滑的
n. 抚平；〈美〉平地；草原；一角银币
v. 使平整；使平坦；使平滑；使光滑
adv. 同“smoothly. a smooth skin”
[网络] 流畅；平顺；平静的"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
effort,[网络] ef堡垒
energetic,"a. 精力充沛的, 积极的"
fortunate,"a. 幸运的, 幸福的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
obey,[网络] 遵守
scholarship,"n. 学问, 学术成就, 奖学金"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
district,"n. 区域, 地方
[医] 地区, 地段"
betray,"vt. 出卖, 背叛, 辜负, 暴露
[法] 出卖, 背叛, 泄漏"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
towards,prep. 向；朝着；面对；朝…方向；向着…的目标；为了…的目的；有助于；关于；对…
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
statement,[网络] 说明
argument,"n. 争论, 论证, 论据, 自变量
[计] 参数"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
commitment,"n. 委托, 交押, 承担义务, 赞助
[医] 院禁"
kettle,"n. 茶壶, 罐
[化] 釜体釜; 锅"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
compulsory,"a. 被强制的, 强迫的, 义务的
[经] 强迫的, 强制的"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
composition,"n. 作文, 创作, 组成
[化] 成分; 组成"
athlete,"n. 运动员, 运动选手
[医] 运动员"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
form," 表示：具有...形状：dentiform,有...种形式：triform"
recover,"v. 重新盖；改装(伞等的)面子
[网络] 重新盖给…换新面子；再覆盖；再盖"
tend,伸
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
[计] 屏蔽; 掩码"
instruct,"vt. 教, 教育, 命令, 通知
[法] 托办, 指导, 指示"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
[法] 政治的, 政治上的, 党派政治的"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
quantity,"n. 量, 数量, 总量
[计] 数量; 量"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
tendency,"n. 趋向, 倾向
[医] 趋向, 趋势"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
[计] 内容"
curious,"a. 好奇的, 求知的, 古怪的"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
button,"n. 按钮；钮扣
vt. 扣住；扣紧；在…上装钮扣
vi. 扣住；装有钮扣；扣上钮扣
n. (Button)人名；(英)巴顿"
politics,"n. 政治, 政治学, 政见, 政治活动
[法] 政治, 政治学, 政纲"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
courage,"n. 勇气, 胆量"
geography,"n. 地理学, 地理
[医] 地理"
press,"vt. 压；按；逼迫；紧抱
vi. 压；逼；重压
n. 压；按；新闻；出版社；[印刷] 印刷机
n. (Press)人名；(英、德、俄、西、瑞典)普雷斯"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
[法] 犯, 做, 把...交托给"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
[计] 私人的"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
[计] 发牌"
space,[网络] 定下步调；按……的节奏；缤纷家居
spoken,"comb.form 表示“说话有…特点的”：blunt-spoken, quiet-spoken"
injure,"[法] 在法律上, 依照法律"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
minibus,"n. 小型公共汽车,小巴士"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
housework,家庭工作
dignity,"n. 尊严, 高贵
[法] 尊严, 高位, 高贵"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
recite,"v. 背诵, 朗读, 叙述"
seal,[网络] 那太简单了
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
[计] 初等量; 主要的; 一次的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
majority,"n. 多数, 大半
[计] 多数逻辑"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
subject,[网络] 主体；对象；主题
silly,"a. 愚蠢的, 糊涂的"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
aware,"a. 知道的, 有觉悟的"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础
n. (Bottom)人名；(英)博顿"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
policy,"n. 政策, 方针, 策略, 保险单
[医] 凭单, 保险单"
handy,"a. 便利的, 敏捷的, 容易取得的
[化] 便于使用的; 易操作的"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
aid,comb.form [多用以构成专有名词]表示“…的慈善机构”，“为…募捐”：Ferry-aid
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
debt,"n. 债务, 罪过
[经] 借款, 欠款, 债务"
murder,[网络] 谋杀罪
fare,"vi. 经营；进展；遭遇；过活
n. 票价；费用；旅客；食物
n. (Fare)人名；(瑞典)法勒；(法、意)法尔"
conclusion,"n. 结论, 结尾, 推论
[法] 缔结, 结论, 推论"
entry,"n. 记录；词条；登录；录入
[网络] 进入；条目；入口"
respect,[网络] 尊重
sparrow,n. 麻雀
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
[计] 换行"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
[法] 占领, 占据, 占有"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
bid,abbr. bis in diē[拉丁语、处方用语]每日两次(= twice a day )
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
[计] 取"
resemble,"vt. 相似, 类似"
basin,"n. 盆, 盆地
[医] 第三脑室, 骨盆"
background,[经] 背景
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
[计] 状态"
dumpling,"n. 面团布丁, 团子"
personally,adv. 亲自地；当面；个别地；就自己而言
anxious,"a. 忧虑的, 发愁的, 渴望的"
arrange,"v. 安排, 排列, 达成协议
[计] 重排"
annoy,"vt. 使恼怒, 骚扰"
salary,"n. 薪水
vt. 给...加薪"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
international,[网络] 国际；交往；国际化
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
dentist,"n. 牙科医生
[医] 牙医师"
forever,"永远, 老是"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
thus,"adv. 如此, 因此, 到如此程度
[医] 乳香"
furniture,"n. 家具, 帆具"
iron,[网络] 铁；铁含量
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
[计] 字符"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
[计] 主机, 宿主机"
refuse,"n. 垃圾；废物
vt. 拒绝；不愿；抵制
vi. 拒绝"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
operate,"v. 操作, 运转, 动手术, 活动"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
beauty,"n. 美, 美人"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
[计] 双列直插式组件, 分布式输入输出系统, 双排直插封装"
