catastrophic,"a. 悲惨的, 灾难的"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
conviction,"n. 定罪, 信服, 坚信
[法] 定罪, 证明有罪, 判罪"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
desperately,adv. 拼命地；绝望地；极度地
far-reaching,adj. 影响深远的; 有广泛影响的
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
impostor,"n. 冒名顶替者, 骗子, 冒牌"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
might,"n. 力量, 权力
aux. 可能, 也许"
misfortune,"n. 不幸, 灾祸, 坏运气
[法] 不幸事故, 不幸, 灾祸"
overwhelming,[网络] 压倒
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
[经] 小额的, 微小的, 小规模的"
slate,[网络] 晚了
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
station,[网络] 操作站
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
unmeasured,"a. 不可测的, 无法测定的, 没有限度的"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
alluring,"a. 吸引人的, 诱人的, 迷人的"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
annoyance,"n. 烦恼, 打扰, 可厌之事
[法] 使人烦恼的事物, 麻烦事, 讨厌物"
caffeine,咖啡因；咖啡硷
commandeer,"vt. 征用, 霸占
[法] 强迫服役, 徵用"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
[计] 授权命令"
gratifying,"a. 悦人的, 令人满足的"
hugger-mugger,"n. 杂乱；混乱
a. 秘密的；混乱的
adv. 秘密地；杂乱地
vt. 隐密
vi. 秘密行动；秘密进行"
