alphabet,"n. 字母
[计] 字母表"
numbers,n. 数字（number的复数）；算术
name,"n. 名称；名字；名声；名誉
v. 命名；任命；给…取名；说出…的名称
adj. 〈美口〉著名的；(作品等)据以取名的
[网络] 姓名；品名；产品名称"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
telephone number,[电] 电话号码
phone number,电话号码
name,"n. 名称；名字；名声；名誉
v. 命名；任命；给…取名；说出…的名称
adj. 〈美口〉著名的；(作品等)据以取名的
[网络] 姓名；品名；产品名称"
first name,"名
[法] 名字"
last name,姓
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
e-mail address,无
telephone number,[电] 电话号码
phone number,电话号码
apartment number,无
fax number,n. 传真号码，传真机号
Hello.,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
Hi.,[网络] 可移动磁盘
My name is ...,[网络] 我叫；我的名字是；我的名字叫
I'm ...,"na. 'im = him
[网络] 即时通讯(Instant Messaging)；即时通信(Instant Messenger)；即时消息"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
Nice to meet you too.,无
pen,[网络] 国际笔会
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
book,[计] Adobe FrameMaker Book文件
desk,"desk
[desk]
n.
书桌，办公桌，写字台，绘图桌
【宗教】
(教堂中的)读经台
[美国英语]讲道台；讲坛，布道坛
文书(或办事员等)的职位(或职业、工作)
(旅馆服务员)工作台，(旅馆、办公楼等中的)服务台(用作旅客登记、邮件收发等)；(值勤人员的)工作台；问讯台，出纳台
服务台等的工作人员
[美国英语](报馆)编辑部
【音乐】
(管弦乐队的)乐谱架；(两位管弦乐师合用的)乐谱架
(合用乐谱架的)两位管弦乐师
(管弦乐队的)乐师席，演奏者席
(政府部门、报社等内的)部，司，室，组
【计算机】
桌面
控制台，操纵台；试验台
面板，控制板
adj.
书桌的，办公桌的，写字台的
台式的，书桌(或办公桌、写字台)上用的
坐办公室的，在办公桌上做的，伏案做的，案头的"
computer,"n. 电脑, 电子计算机
[计] 计算机"
bank,"n. 银行, 堤, 岸
[医] 库"
supermarket,超级市场
post office,"邮局
[法] 邮局"
restaurant,[网络] 餐馆
library,"n. 图书馆, 藏书, 库
[计] 库"
living room,"客厅, 起居室"
dining room,饭厅
kitchen,"n. 厨房, 全套炊具
[医] 厨房"
bedroom,[网络] 卧室；睡房；卧室系列
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
pen,[网络] 国际笔会
book,[计] Adobe FrameMaker Book文件
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
notebook,票据簿
bookshelf,书架
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
map,[计] 映射文件；Duke Nukem 3D WAD游戏文件
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
[计] 板"
wall,[网络] 神经质的人更喜欢用板报；管壁；壁面边界
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
[计] 时钟"
bulletin board,布告栏
computer,"n. 电脑, 电子计算机
[计] 计算机"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
chair,[网络] 委员长
ruler,量尺
