account,"n. 账户；解释；账目，账单；理由
vi. 解释；导致；报账
vt. 认为；把…视为"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
attain,"vt. 达到, 获得
vi. 达到"
accomplish,"vt. 完成, 达到, 实现, 使完美"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
[法] 履行, 完成, 达到"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
[计] 增益"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
acquire,"vt. 获得, 学到
[电] 目标锁定"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
act,[计] Microsoft office助手文件
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
adapt,"vt. 使适应, 改编
vi. 适应"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
[经] 控制, 管理"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
[电] 程序组"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
[法] 所得, 收入, 收益"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
recession,"n. 后退, 凹处, 衰退, 归还
[医] 退缩"
retreat,"n. 重新处理
[网络] 重新治疗；重新提出了"
setback,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
