abolish,"vt.废止,废除(法律、制度、习俗等)"
cancel,"vt.取消,删去"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
accurate,"adj.正确的,精确的"
precise,"adj.精确的,准确的n.精确"
annoy,"vt.使苦恼,骚扰"
irritate,"vt.激怒,使急躁v.刺激"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
profitable,adj.有利可图的
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
expense,"n.费用,代价,损失,开支,费钱之物"
cite,"vt.引用,引证,提名表扬"
quote,"vt.引用,引证,提供,提出,报(价)"
devote,"vt.投入于,献身"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
economical,"adj.节约的,经济的"
economic,"adj.经济(上)的,产供销的,经济学的"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
efficient,"adj.(直接)生效的,有效率的,能干的"
eliminate,"vt.排除,消除v.除去"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
favorable,"adj.赞成的,有利的,赞许的,良好的,讨人喜欢的,起促进作用的"
favorite,"n.特别喜欢的人(或物),喜欢的事物,亲信,心腹,幸运儿adj.喜爱的,宠爱的,中意的"
genius,"n.天才,天赋,天才人物"
talent,"n.天才,才干,才能"
gift,"n.赠品,礼物,天赋,才能"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
magnificent,"adj.华丽的,高尚的,宏伟的"
heal,"v.治愈,医治,结束"
cure,"v.治愈,治疗n.治愈,痊愈"
ignorant,adj.无知的
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
disregard,"v.不理漠视n.漠视,忽视"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
immerse,"vt.沉浸,使陷入"
submerge,"v.浸没,淹没,掩没vi.潜水"
imply,"vt.暗示,意味"
infer,v.推断
importance,"n.重要(性),重大,价值,傲慢"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
situation,"n.情形,境遇,(建筑物等的)位置"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
technology,"n.工艺,科技,技术"
technique,"n.技术,技巧,方法,表演法,手法"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
adventure,"n.冒险,冒险的经历v.冒险"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
ripe,"adj.熟的,成熟的,时机成熟的v.成熟"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
limit,"n.界限,限度,限制vt.限制,限定"
limitation,"n.限制,局限性"
stern,"adj.严厉的,苛刻的n.船尾"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
ban,"n.禁令vt.禁止,取缔(书刊等)"
prohibit,"vt.禁止,阻止"
forbid,"vt.禁止,不许v.禁止"
hardly,"adv.刚刚,几乎不,仅,严厉的,艰辛的"
scarcely,"adv.几乎不,简直没有"
barely,"adv.仅仅,刚刚,几乎不能"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
refuse,"vt.拒绝,谢绝n.废物,垃圾"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
distinguish,"v.区别,辨别"
recognize,"vt.认可,承认,公认,赏识vi.具结"
aim,"n.目标,目的,瞄准v.对...瞄准,打算"
goal,"n.目的,目标,守门员,球门,(球赛等的)得分"
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
ambiguous,"adj.暧昧的,不明确的"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
obvious,"adj.明显的,显而易见的"
evident,"adj.明显的,显然的"
apparent,"adj.显然的,外观上的"
scenery,"n.风景,景色"
scene,"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置"
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
justify,v.证明...是正当的
testify,"v.证明,证实,作证"
certify,"v.证明,保证"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
disappear,"vi.消失,不见"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
abandon,"vt.放弃,遗弃;n.放任,狂热"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
discard,"vt.丢弃,抛弃v.放弃"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
motion,"n.运动,动作v.运动"
movement,"n.运动,动作,运转,乐章"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
basic,
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
wage,n.[常pl.] 工资v.发动
salary,n.薪水vt.给...加薪
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
assure,"vt.断然地说,确告,保证,担保"
memory,"n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存"
recollection,"n.回忆,记忆,回想"
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署"
signal,"n.信号adj.信号的v.发信号,用信号通知"
adjoining,"adj.邻接的,隔壁的"
adjacent,"adj.邻近的,接近的"
admission,"n.允许进入,承认某事之陈述,供认"
admittance,"n.入场权,准入"
adapt,"vt.使适应,改编"
adjust,"vt.调整,调节,校准,使适合"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
instruct,"vt.教,教导,命令,指示,通知"
form,"n.形状,形态,外形,表格,形式v.形成,构成,排列,(使)组成"
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长"
fate,"n.天数,命运,运气vt.注定,送命"
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
guilty,"adj.犯罪的,有罪的,心虚的"
affect,"vt.影响,感动,侵袭,假装"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
affection,"n.友爱,爱情,影响,疾病,倾向"
love,"n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱"
agreeable,"adj.使人愉快的,惬意的,适合的"
pleasant,"adj.令人愉快的,舒适的"
surprise,"n.惊奇,诧异,惊人之事,奇袭vt.使惊奇,奇袭adj.令人惊讶的"
amaze,vt.使吃惊
comprise,"v.包含,由...组成"
constitute,"vt.制定(法律),建立(政府),组成,任命"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
imagine,"vt.想象,设想"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
indignity,"n.轻蔑,侮辱,侮辱的行为"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
condemn,"vt.判刑,处刑,声讨,谴责"
blame,"n.过失,责备vt.责备,谴责"
admit,"v.容许,承认,接纳"
confess,"v.承认,坦白,忏悔"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
practical,"adj.实际的,实践的,实用的,应用的,有实际经验的"
practicable,"adj.能实行的,行得通的,可以实行的"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
valuable,"adj.贵重的,有价值的,颇有价值的"
conscious,
aware,"adj.知道的,明白的,意识到的"
predict,"v.预知,预言,预报"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
contemporary,"n.同时代的人adj.当代的,同时代的"
modern,"n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的"
responsibility,"n.责任,职责"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
traffic,"n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换"
assault,"n.攻击,袭击v.袭击"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
curb,n.路边
distinct,"adj.清楚的,明显的,截然不同的,独特的"
distinctive,"adj.与众不同的,有特色的"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
continual,"adj.连续的,频繁的,持续不断的"
debate,"v.争论,辩论n.争论,辩论"
argue,"vi.争论,辩论vt.说服"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
accident,"n.意外事件,事故"
incident,"n.事件,事变adj.附带的,易于发生的"
event,"n.事件,事变,结果,活动,精力,竞赛"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
purport,n.主旨v.声称
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
admire,"v.赞美,钦佩,羡慕"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
adore,"v.崇拜,爱慕,(口语)喜爱"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
trait,"n.显著的特点,特性"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
endure,"v.耐久,忍耐"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
appliance,"n.用具,器具"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
sophisticated,"adj.诡辩的,久经世故的"
complicated,"adj.复杂的,难解的"
complex,"adj.复杂的,合成的,综合的n.联合体"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
request,"vt.请求,要求n.请求,要求,邀请"
require,"vt.需要,要求,命令"
acquire,"vt.获得,学到"
obtain,"vt.获得,得到"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
merely,"adv.仅仅,只,不过"
simply,"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是"
only,"adj.唯一的,单独的,最好的,最合适的adv.仅仅,只不过 conj.但是,可是"
alter,v.改变
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
modify,"vt.更改,修改v.修改"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
choice,"n.选择,抉择,精选品,选择机会,选择权adj.精选的,上等的,挑三拣四的,可选的,宠爱的,爱惜的"
option,"n.选项,选择权,[经]买卖的特权"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场"
scope,"n.(活动)范围,机会,余地"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
quite,"adv.相当,完全,十分,彻底"
rather,"adv.宁愿,宁可,更正确,更合适,有点,相当"
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
area,"n.范围,区域,面积,地区,空地"
victim,"n.受害人,牺牲者,牺牲品"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
presume,"vt.假定,假设,认为"
assume,"vt.假定,设想,采取,呈现"
relevant,"adj.有关的,相应的"
related,"adj.叙述的,讲述的,有关系的"
moderate,"adj.中等的,适度的,适中的v.缓和"
temperate,"adj.有节制的,适度的,戒酒的,(气候)温和的"
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
destroy,"vt.破坏,毁坏,消灭v.消灭,摧毁"
protect,vt.保护 /n.保护/解除
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
cruel,"adj.残酷的,悲惨的,使痛苦的"
brutal,"adj.残忍的,兽性的"
avert,v.转移
avoid,"vt.避免,消除"
humorous,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
funny,"adj.有趣的,好笑的,滑稽的,奇异的,古怪的n.滑稽人物"
fresh,"adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥"
new,"adj.新的,初见的,更新的adv.新近"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
sincere,"adj.诚挚的,真实的,真诚的"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
rob,"v.抢夺,抢掠,剥夺"
steal,"v.偷,窃取,偷窃,偷盗"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
revolt,"v.反抗,起义,反叛,反感,厌恶"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
mistake,
error,"n.错误,过失,误差"
misfortune,"n.不幸,灾祸"
