find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
a large sum of,"na. 大量的
[网络] 一大笔；接单数或复数均可；但谓语动词要用复数"
in line with,符合
put aside,"na. “set aside”的变体
[网络] 储蓄；撇开；放在一边"
read off,"[经] 读出, 从...读取"
plenty of,许多的
eat out,n. 在外用膳，下馆子(常到饭店吃饭的习惯) [亦作eating-out]
follow suit,"跟着做, 跟着出同花色的牌"
as long as,只要...
up in arms,"进行武装斗争, 竭力反对"
far more than, 许多，多得多的; 何啻; 何止
remind ... of,"v. 提醒
[网络] 使记起；想起；使想起"
burst out,"闯出来, 大声喊, 突发"
take pride in,以...为傲
be contemptuous of, 嗤之以鼻
at home,"na. 在家；在家接待客人；安适；在本国 (opp. abroad)
[网络] 自在；在国内；在家里"
resort to,"诉诸于, 采取
[法] 诉诸"
a little bit,"有点,些许"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
be of importance,无
be of ... importance,无
be competent to,无
clamp down,"v. 严厉打击；强制执行；严禁；施压
[网络] 取缔"
in one's view, 依某人看来
turn to,"转向, 变成, 求助于, 起劲地开始行动"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
[网络] 穿透；穿通；打破"
draw a conclusion from,由...得出结论
keep pace with,"并驾齐驱, 齐头并进"
the rest of,"其余的,剩下的"
on the board,在会上讨论
encourage sb. to do sth.,[网络] 鼓励…做；鼓励做某事
in other words,换句话说
to put it another way,"na. 换言之
[网络] 换句话说；从另一个角度说；换个说法"
be obsessed with,被…困扰
force sb. to do sth.,"v. 强人所难
[网络] 强迫；好多都用不定式；被迫做某事"
get the nod,"得到认可,被选中"
ahead of,在…之前
afford to, （买）得起（某物）
a ban on,无
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
take the lead,"为首, 带头"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
result in,"导致
[法] 产生, 导致"
as it happens,"偶然,碰巧"
in trouble,"处于不幸中, 在监禁中"
