abatement,n.消除
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
aberrant,adj.异常的
aberration,n.失常
abet,"vt.教唆,煽动,帮助,支持"
abeyance,"n.暂时无效,中止,归属待定"
abhor,"vt.憎恶,痛恨"
ablaze,"adj.adv.着火的,激动的,闪耀的"
abolition,"n.废除, 废除奴隶制度"
abrasive,n.研磨剂;adj.研磨的
abreast,"adv.并肩地,并排地"
abridge,"v.删节,削减,精简"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
abstain,"v.禁绝,放弃"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
abstruse,"adj.奥妙的,深奥的"
absurd,"adj.荒谬的,可笑的"
abut,"v.邻接,毗邻"
abysmal,"adj.深不可测的,无底的"
academic,"adj.学院的,理论的"
accede,"v.同意,加入,同意"
accelerate,"v.加速,促进"
accentuate,"v.重读,强调,着重强调"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accompany,"vt.陪伴,伴奏"
accomplice,"n.同谋者,帮凶"
accomplish,"vt.完成,达到,实现"
accredit,"vt.信任,授权,归于"
accuracy,"n.精确性,正确度"
accuse,"vt.控告,谴责,非难"
accustom,vt.使习惯于
acerbic,"adj.酸的,尖刻的"
acidic,"adj.酸的,酸性的"
acknowledge,"vt.承认,答谢,报偿"
acolyte,"n.侍僧,助手"
acoustic,"adj.有关声音的,声学的,音响学的"
acquiescence,n.默许
acquiescent,"adj.默许的,默从的"
acrimonious,"adj.严厉的,辛辣的"
acrimony,"n.言谈举止上的刻毒,讽刺,毒辣"
activate,
actuate,"vt.开动,促使"
acute,"adj.敏锐的,[医]急性的,剧烈"
adamant,adj.坚硬的
adaptability,n.适应性
adaptable,"adj.能适应的,可修改的"
adaptive,adj.适应的
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adept,"adj.熟练的,拿手的;n.老手,擅长者"
adequate,
adhere,"vi.粘附,胶着,坚持v.坚持"
adhesive,"adj.带粘性的,胶粘;n.粘合剂"
admonish,"vt.劝告,训诫,警告"
adopt,"vt.采用,收养"
adoration,"n.崇拜,爱慕,受崇拜(或爱慕)的对象"
adore,"v.崇拜,爱慕,(口语)喜爱"
adorn,v.装饰
adulation,"n.奉承,阿谀"
adulatory,adj.奉承的
adumbrate,"vt.画轮廓,预示"
advantage,"n.优势,有利条件,利益"
adventurous,"adj.喜欢冒险的,敢做敢为的,充满危险的"
adversary,"n.敌手,对手"
adverse,"adj.不利的,敌对的,相反的"
adversity,"n.不幸,灾祸,逆境"
advertise,"v.做广告,登广告"
advocacy,"n.拥护,鼓吹,辩护,辩护术"
aesthetic,"adj.美学的,审美的,有审美感的"
aesthetically,"adv.审美地,美学观点上地"
affable,adj.和蔼可亲的
affection,"n.友爱,爱情,影响,疾病,倾向"
affectionate,"adj.亲爱的,挚爱的"
affective,"adj.情感的,表达感情的"
affinity,"n.密切关系,吸引力,姻亲关系,亲合力"
affirmation,"n.断言,主张,肯定"
afflict,"vt.使痛苦,折磨"
affluent,"adj.丰富的,富裕的"
affordable,
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对"
aggrandize,"vt.增加,夸大"
aggravate,"vt.使恶化,加重"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
aghast,"adj.惊骇的,吓呆的"
agility,"n.敏捷,活泼"
agitate,"v.搅动,摇动,煽动,激动"
agitation,"n.激动,兴奋,煽动,搅动"
agony,"n.苦恼,极大的痛苦"
agoraphobic,adj.广场恐怖的 旷野恐怖的 恐旷症的 陌生环境恐怖的
agrarian,"adj.有关土地的,耕地的"
airborne,"adj.空运的,空气传播的,空降的"
akin,"adj.同族的,类似的"
alienate,v.疏远
alienation,"n.疏远,转让"
allegiance,"n.忠贞,效忠"
allegory,n.寓言
allot,"vt.(按份额)分配,分派"
alloy,"n.合金vt.使成合金,减低成色"
allude,"vi.暗指,影射,间接提到"
allure,v.吸引
allusion,"n.提及,暗示"
allusive,"adj.暗指的,影射,间接提到"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
aloof,"adv.避开,远离adj.孤零的,冷淡的"
also-ran,
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
altruism,"n.利他主义,利他"
amalgam,"n.[采矿]汞合金,汞齐"
amateur,"n.业余爱好者,业余艺术家"
amaze,vt.使吃惊
ambidextrous,"adj.怀有二心的,非常灵巧的"
ambiguity,"n.含糊,不明确"
ambiguous,"adj.暧昧的,不明确的"
ambitious,"adj.有雄心的,野心勃勃的"
ambivalent,"adj.矛盾的,好恶相克的"
amble,"vi.缓行,溜蹄"
ameliorate,"v.改善,改进"
amenable,"adj.应服从的,有服从义务的,有责任的"
amend,"v.修正,改进,改正"
amendment,"n.改善,改正"
amiability,"n.和蔼可亲的,亲切的,友善的"
amicable,"adj.友善的,和平的"
amicably,adv.友善地
amorphous,"adj.无定形的,无组织的"
anachronistic,adj.时代错误的
anaerobic,"adj.[微]没有空气而能生活的,厌氧性的"
analogous,"adj.类似的,相似的,可比拟的"
anarchy,"n.无政府状态,政治混乱"
anathema,"n.诅咒,咒逐,[宗]革出教门,被咒逐的人(物)"
anatomical,"adj.解剖的,解剖学的"
ancestor,"n.祖先,祖宗"
ancestral,"adj.祖先的,祖传的"
anecdotal,"adj.轶话的,多轶事趣闻的,轶事一样的"
angular,adj.有角的
animated,"adj.活生生的,活泼的,动的,愉快的"
animosity,"n.仇恨,憎恶"
annex,"n.附件vt.并吞,附加"
annotate,"v.注释,评注"
anomalous,"adj.不规则的,反常的"
anomaly,"n.不规则,异常的人或物"
antagonism,"n.对抗(状态),对抗性"
antagonistic,"adj.反对的,敌对的"
antagonize,"vt.敌对,对抗"
antecedent,n.先辈adj.先行的
antedate,"n.比正确日期早的日期v.提早日期,居先"
anterior,"adj.前面的,在前的"
antibiotic,n.抗生素adj.抗生的
anticipatory,"adj.预料的,预想的"
anticlimactic,"adj.[修]突降法的,突减的(兴趣等),虎头蛇尾的"
antidote,"n.[医]解毒剂,矫正方法"
