parasite,"n. 寄生生物, 寄生虫, 食客
[医] 寄生物; 寄生胎"
parasitic,"a. 寄生的, 由寄生虫引起的
[计] 寄生的"
mimicry,"n. 模仿
[医] 拟态(生物), 模仿, 模拟"
symbiosis,"n. 共栖, 共同生活
[化] 类聚效应"
symbiotic,"a. 共栖的, 共生的
[医] 共生的"
creature,"n. 人, 动物, 创造物, 生物"
organism,"n. 生物, 有机体, 社会组织
[医] 生物[体],[有]机体"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
species,"n. 种, 类, 外形
[医] 茶剂; 种"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
[医] 生命的, 生活的, 生活上必需的, 紧要的"
ripe,"a. 成熟的, 熟练的, 成年的
[医] 成熟的"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
[计] 进化的, 改良的, 发展的"
Darwinism,"n. 达尔文学说, 进化论
[医] 达尔文主义, 达尔文学说(生物演化学说)"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
[法] 消灭了的, 过时的, 无效的"
extinction,"n. 消失, 消灭, 废止
[化] 消光; 熄灭"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
[医] 生殖, 复现(心理)"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
exist,"vi. 存在, 生存, 发生"
posterity,"n. 子孙, 后裔
[法] 子嗣, 后代, 后裔"
fermentation,"n. 发酵
[化] 发酵"
respiration,"n. 呼吸, 一口气, 呼吸作用
[化] 呼吸"
stodgy,"a. 易吃饱的, 塞满的, 平凡的, 庸俗的, 步履艰难的"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
[医] 分泌"
secretion,"n. 分泌, 分泌物, 分泌液, 隐蔽
[医] 分泌; 分泌物"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
[化] 免疫性"
metabolism,"n. 新陈代谢, 变态
[化] 新陈代谢; 代谢"
morphology,"n. 形态学, 词法, 形态
[医] 形态学"
