abase,v.降低
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
abdicate,"v.退位,放弃(职位,权力等)"
abduct,"vt.诱拐,绑架"
aberrant,adj.异常的
abide,"vi.坚持,遵守;vt.忍受,容忍"
abiding,v.容忍;adj.持久的
ability,"n.能力,才干"
abject,"adj.卑鄙的,可怜的"
ablaze,"adj.adv.着火的,激动的,闪耀的"
ably,"adv.能干地,巧妙地"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abominable,"adj.讨厌的,令人憎恶的"
abort,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]"
abound,"vi.多,大量存在,富于,充满"
above board,
abrasive,n.研磨剂;adj.研磨的
abreast,"adv.并肩地,并排地"
abrupt,"adj.突然的,陡峭的,生硬的"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absorb,"vt.吸收,吸引"
abstain,"v.禁绝,放弃"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
abusive,"adj.辱骂的,滥用的"
accede,"v.同意,加入,同意"
accentuate,"v.重读,强调,着重强调"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
accident,"n.意外事件,事故"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
according,adv.依照
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accountable,"adj.应负责的,有责任的,可解释的"
accredit,"vt.信任,授权,归于"
accrue,"vi.自然增加,产生"
acknowledge,"vt.承认,答谢,报偿"
acquiesce,"vi.默许,勉强同意"
acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
acrimony,"n.言谈举止上的刻毒,讽刺,毒辣"
acumen,"n.敏锐,聪明"
acute,"adj.敏锐的,[医]急性的,剧烈"
adamant,adj.坚硬的
adapt,"vt.使适应,改编"
addictive,adj.上瘾的
adept,"adj.熟练的,拿手的;n.老手,擅长者"
adjoin,"v.邻接,毗连"
adjudicate,"v.判决,宣判,裁定"
admissible,"adj.可容许的,可接纳的"
admit,"v.容许,承认,接纳"
admonish,"vt.劝告,训诫,警告"
adorn,v.装饰
adroit,"adj.熟练的,机捷的"
adulterate,"vt.掺杂adj.掺假的,通奸的"
advantage,"n.优势,有利条件,利益"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
adverse,"adj.不利的,敌对的,相反的"
advocacy,"n.拥护,鼓吹,辩护,辩护术"
affable,adj.和蔼可亲的
affection,"n.友爱,爱情,影响,疾病,倾向"
affiliate,"v.(使...)加入,接受为会员"
affinity,"n.密切关系,吸引力,姻亲关系,亲合力"
afflict,"vt.使痛苦,折磨"
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对"
afoot,"adj.徒步的,准备中,进行中的adv.在准备中,在进行中"
aggravate,"vt.使恶化,加重"
aggrieved,
agile,"adj.敏捷的,轻快的,灵活的"
agitate,"v.搅动,摇动,煽动,激动"
agonizing,"adj.苦恼的,痛苦难忍的"
airborne,"adj.空运的,空气传播的,空降的"
airy,"adj.空气的,空中的,通风的,轻快的,空想的"
align,"vi.排列vt.使结盟,使成一行"
allay,"vt.减轻,减少"
allergic,"adj.[医]过敏的,患过敏症的"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
allude,"vi.暗指,影射,间接提到"
allure,v.吸引
amalgamate,"v.使与汞混合,合并"
amass,"vt.收集,积聚(尤指财富)"
ambience,"n.周围环境,气氛"
ambivalent,"adj.矛盾的,好恶相克的"
amiable,"adj.亲切的,和蔼可亲的"
amicable,"adj.友善的,和平的"
anesthetic,"n.麻醉剂,麻药adj.麻醉的"
anaesthetic,n.麻醉剂adj.麻醉的
anew,"adv.重新,再"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
animate,v.鼓舞adj.生气勃勃的
animosity,"n.仇恨,憎恶"
annihilate,"vt.消灭,歼灭"
antagonize,"vt.敌对,对抗"
antipathy,"n.憎恶,反感"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
apathy,"n.缺乏感情或兴趣,冷漠"
appease,"vt.平息,安抚,缓和,使满足"
append,"vt.附加,添加,悬挂"
apply,"vt.申请,应用vi.申请,适用"
apposite,adj.适当的
appraise,v.评价
apprehend,v.领会理解
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
arbitrate,v.作出公断
archaic,"adj.古老的,古代的,陈旧的"
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
ardor,"n.热诚,情欲,激情,热情,炽热"
ardour,"n.热心,热情,情欲,激情,灼热"
arduous,"adj.费劲的,辛勤的,险峻的"
arise,"vi.出现,发生,起因于"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
artful,"adj.巧妙的,狡猾的"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
ascendant,"n.优势,运星,运道,支配力adj.上升的,优越的"
ascertain,"vt.确定,探知"
ascribe,"vt.归因于,归咎于"
aspire,"vi.热望,立志"
assail,"vt.攻击,质问"
assent,n.赞成vi.同意
assiduous,"adj.勤勉的,刻苦的"
assimilate,v.吸收
assorted,adj.多样混合的v.分类配全
astray,"adv.迷途地,入歧途地"
atrocious,"adj.残暴的,凶恶的"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attest,v.证明
attribute,"n.属性,品质,特征,加于,归结于"
attrition,"n.磨擦,磨损"
audacious,"adj.大胆的,卤莽的,大胆创新的"
audible,adj.听得见的
augment,"v.增加,增大n.增加"
august,"adj.令人敬畏的,威严的n.八月(略作Aug) August 八月"
