live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
quite,"adv.相当,完全,十分,彻底"
scarf,"n.围巾,头巾领巾,嵌接,嵌接处,切口v.围(围巾),披(头巾)嵌接"
airport,"n.<主美>小型民用机场,私人飞机降落场"
pupil,"n.学生,小学生,瞳孔"
arrive,"vi.到达,抵达"
meet,"n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
show ... around,
Queen's Park,
art gallery,
public library,
downtown,"adv.在市区,往市区adj.市区的"
Lake Ontario,
stadium,n.露天大型运动场
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
sandwich,"n.夹心面包,三明治vt.夹入中间v.做成三明治"
top,"n.顶部,顶端,极点,顶蓬,陀螺,(常用复数)根菜植物的叶子,上部,盖子adj.最高的,顶上的,头等的vt.盖,戴,高耸,达到顶端,截去(植物)顶端,高过,超越vi.结束,完成,胜过"
habit,"n.习惯,习性"
idea,"n.想法,念头,意见,主意,思想,观念,概念"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
at least,
talk about,
hockey,n.曲棍球
together,"adv.共同,一起,合起来,集拢地"
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的"
beaver,n.海狸(毛皮)
raccoon,"n.<美>[动]浣熊,浣熊毛皮"
moose,n.[动] 驼鹿(产于北美的一种大鹿)
countryside,"n.乡下地方,乡下居民"
Thanksgiving,
roast turkey,
squirrel,n.松鼠v.贮藏
swan,"n.天鹅,杰出的诗人、歌手,天鹅座"
wild goose,
frog,n.青蛙vi.捕蛙
English-Chinese dictionary,
shopping centre,
shopping mall,
amazing,adj.令人惊异的
hot pot,
