running,"n. 运转；赛跑；流出
adj. 连续的；流动的；跑着的；运转着的
v. 跑；运转（run的ing形式）；行驶
n. (Running)人名；(英)朗宁"
basketball,n. 篮球运动
roller skating, 滑旱冰
jumping rope,[网络] 跳绳；正在跳绳；跳跳绳
ping-pong,苹婆
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
interesting,adj. 有趣的；引起兴趣的，令人关注的
often,adv. 常常，时常
be good at,擅长
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
friend,"n. 朋友, 支持者, 赞助者
[法] 朋友, 友人, 赞助者"
father,[网络] 父亲
get up,"na. 起床；起身；站起来；叫…起床
[网络] 起立；打扮；安排"
visit one's grandparents,无
go to a drawing club,无
climb a hill,无
pick fruit,无
play computer games,[网络] 玩电脑游戏；打电脑游戏；玩电子游戏
go fishing,去钓鱼
go to the cinema, 去电影院
on the weekend,周末
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
always,[网络] 永远；总是
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
[计] 步骤"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
their,pron. 他们的
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
poor,"adj. 贫穷的；可怜的；贫乏的；卑鄙的
n. (Poor)人名；(英、伊朗)普尔"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
so,comb.form =-soever
Saturday,n. 星期六
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
day,"n. 一天；时期；白昼
adv. 每天；经常在白天地
adj. 日间的；逐日的
n. (Day)人名；(英、法、西)戴；(越)岱；(阿拉伯、土)达伊"
usually,"adv. 通常, 大抵"
by bus,乘公共汽车
by boat,乘船
by ship,乘船
by car,乘汽车
by taxi,adv. 坐计程车
by bike, 骑自行车；骑单车
on foot,"na. 步行；在进行中；徒步
[网络] 走路；步行时；走路去"
by school bus,无
by subway, 乘坐地铁
by plane,乘飞机
by train,乘火车
garden,[网络] 花园；晋园
meeting place,"n. 会场, 聚会地点"
gate,"n. 大门；出入口；门道
vt. 给…装大门
n. (Gate)人名；(英)盖特；(法、瑞典)加特"
transportation,输送，运输，运输工具
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
earth,[网络] 莉莎的天空
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
come,"v. 来；来到；发生；成为
n. 精液；精子
int. 得啦
prep. （提及的时间）到来
[网络] 来吧；过来；前来"
enjoy,"vt. 享受, 喜欢, 欣赏
[法] 享受, 享有, 获得某种利益"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
apple,"n. 苹果, 家伙
[医] 苹果"
pen,[网络] 国际笔会
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
eraser,n. 擦子
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
scissors,"pl. 剪刀
[医] 剪"
glue stick,n. 胶棒
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
use,[计] MKS源完整性文件
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中
寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上"
Information Centre,情报中心
Excuse me,对不起
phone,"n. 电话；电话机；音素；电话听筒
v. 打电话
[网络] 手机；联系电话；电话号码"
dad,[网络] 爸爸；无明显疾病；一台带二级管阵列检测器
hamburger,"汉堡, 汉堡[饼]"
ruler,量尺
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
schoolbag,书包
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
climb on the window ledge,无
dangerous,"adj. 危险的
危险地"
play with fire,玩火
Be careful!,[网络] 小心；当心；注意
run down the stairs,无
sidewalk,人行道
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
safe,"adj. 安全的；可靠的；平安的
n. 保险箱；冷藏室；纱橱
n. (Safe)人名；(几)萨菲"
stop,[网络] 中国医师戒烟项目；停止服务
street,"n. 街道, 马路, 街区
a. 街道的"
safety rule,安全规程
green,"n. 绿色；草坪；绿色蔬菜；草绿色
v. 绿化；使增强环境保护意识；使善待环境
adj. 绿色的；草绿色的；长满青草的；绿油油的
[网络] 格林；果岭；绿的"
red,"n. 红色；红葡萄酒；左翼人士；激进分子
adj. 红的；红色的；充血的；布满血丝的
[网络] 红(redness)；赤焰战场；红颜色"
play football,踢足球;对难办的事采取踢足球的态度
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
doctor,"n. 医生；博士
vt. 修理；窜改，伪造；为…治病；授以博士学位
vi. 就医；行医"
bus driver,[计] 总线驱动器
police officer,n. 警察
taxi driver,出租车司机；的士司机
farmer,"n. 农夫, 农场主
[法] 农民, 农场主, 承包者"
worker,"n. 工人, 劳动者
[经] 工人, 劳工, 劳动者"
in the future,"未来, 将来, 往后"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
job,[网络] 职务；多个作业；即作业
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的
n. (Just)人名；(英)贾斯特；(法)朱斯特；(德、匈、波、捷、挪)尤斯特；(西)胡斯特"
