ruler,"n.统治者,管理者,尺,直尺n.标尺,划线板,划线的人"
pencil,n.铅笔
eraser,"n.擦除器,尤指墨水消除剂,橡皮"
crayon,"n.有色粉笔,蜡笔,粉笔画"
bag,"n.袋子,猎获物"
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中"
pencil box,
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
no,"n.否定,投反对票者adj.没有,不许,反对adv.不,并不,毫不 [域] Norway ,挪威"
your," pron.你的,你们的"
red,"n.红色,红衣服,红颜料,赤字,亏空adj.红(色)的,革命的"
green,"n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的"
yellow,n.黄色adj.黄色的
blue,"n.蓝色adj.蓝色的,忧郁的,沮丧的"
black,"n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑"
brown,"n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑"
white,"n.白色,蛋白,白种人adj.白(色)的,白种人的"
orange,"n.柑,桔,橙,橙色"
OK,
mum,"n.[植](=chrysanthemum)菊花,沉默adj.沉默的vi.演哑剧int.别说话!"
face,"n.脸,面容,表情,威信,正面,地形,外观vt.面对,面向,面临,承认,抹盖vi.朝,向"
ear,"n.耳朵,倾听,听觉,听力,穗vi.抽穗"
eye,"n.眼睛,视力,眼光,观点,见解,眼状物,风吹来的方向,[气]风眼vt.看,注视,在...上打眼"
nose,"n.鼻,(飞机、船等的)前端v.侦察出"
mouth,"n.口,嘴"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
leg,"n.腿,胫,旅程的一段vi.走,跑"
foot,"n.足,底部,英尺,音步(英诗),步调,步兵,末尾vt.走在...上,支付,给...换底,结算vi.步行,跳舞,总计"
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育"
duck,"n.鸭子,急忙蹲下,闪避,<俚> 人,家伙vi.没入水中,闪避vt.猛按...入水,躲避"
pig,"n.猪,猪肉,贪婪的人v.生小猪,贪婪地吃"
cat,
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
dog,"n.狗,犬,类似犬的动物,卑鄙的人,小人,坏蛋vt.跟踪,尾随"
elephant,"n.象,一种纸张的尺寸"
monkey,n.猴子
bird,"n.鸟,<俚>人vi.在野外观察或鉴别鸟类"
tiger,"n.[动]老虎,虎,凶暴的人"
panda,"n.熊猫,黑白相间的熊类"
zoo,n.动物园
funny,"adj.有趣的,好笑的,滑稽的,奇异的,古怪的n.滑稽人物"
bread,"n.面包,生计"
juice,"n.(水果)汁,液"
egg,"n.蛋,鸡蛋,卵v.怂恿,怂恿"
milk,"n.乳,牛奶v.挤(奶)"
water,"n.水,雨水,海水,水位,水面,流体vt.喷淋,供以水,注入水,使湿vi.流泪,加水adj.水的,水上的,水生的,含水的"
cake,"n.蛋糕,饼,块,"
fish,"n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找"
rice,"n.稻,米"
one," pron.一个人,任何人,一方 num.一,一个adj.一方的,某一,同样的"
two," num.二,两个"
three, num.三
four," num.四,四个,第四(卷,章,叶等)"
five," num.五,五个(人或物)n.五个一组,<口>五厘息金的证券"
six," num.六,六个"
seven," num.七,七个"
eight,"adj.八的 num.八,八个,第八n.八字形"
nine," num.九,九个"
ten," num.十,十个"
brother,n.兄弟
plate,"n.盘子,金属板,图版,金银餐具vt.镀(金,银等),电镀,给...装钢板"
