taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
younger,"n. 年纪较小者
a. 较年轻的"
shorter,a. 较短的；更短的；更矮的（short的比较级）
older,a. 年长的；较旧的
stronger,[经] 强劲的
taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
older,a. 年长的；较旧的
shorter,a. 较短的；更短的；更矮的（short的比较级）
younger,"n. 年纪较小者
a. 较年轻的"
longer,"(long- 的比较级) n. 长时间；[语] 长音节
a. 长的；过长的；做多头的
vi. 渴望；热望
adv. 长期地；始终
n. (Long)人名；(英、法、德、瑞典)朗；(柬)隆"
cm,abbr. 磁心存储器（Core Memory）；指令舱（command module）；共同市场（Common Market）；控制存储器（Control Memory）
thinner,"n. 稀释剂
[化] 稀释剂"
than,"conj. 比, 除...外
prep. 比"
heavier,a. 巨大的；沉重的
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
bigger,a. 更大的（big的比较级）
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
smaller,"a. 较小, 更小的"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
stronger,[经] 强劲的
funnier,"滑稽的
有趣的（ funny的比较级 ）"
dinosaur,n. 恐龙
kg,"abbr. 〈英(=Knight of the Garter)嘉德勋爵士
[网络] 生胶与橡皮；联系方式"
hall,[=hyperleucocytic acute lymphocytic leukemia]白细胞过多型急性淋巴细胞性白血病
bigger,a. 更大的（big的比较级）
metre,"n. 公尺, 格律, 韵律
[医] 米, 公尺"
heavier,a. 巨大的；沉重的
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
longer,"(long- 的比较级) n. 长时间；[语] 长音节
a. 长的；过长的；做多头的
vi. 渴望；热望
adv. 长期地；始终
n. (Long)人名；(英、法、德、瑞典)朗；(柬)隆"
than,"conj. 比, 除...外
prep. 比"
thinner,"n. 稀释剂
[化] 稀释剂"
both,"a. 两者的
adv. 两者都
pron. 两者"
smaller,"a. 较小, 更小的"
kilogram,"n. 千克, 公斤
[医] 千克, 公斤"
feet,"pl. 脚
n. 尺"
countryside,"un. 郊区
[网络] 郊外；市郊；郊游"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的
n. (Lower)人名；(英、意)洛厄"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
[计] 阴影"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
smarter,a. 聪明的；精明的（smart的比较级）
ton,"n. 吨
[经] 吨"
become,"vi. 变成, 变得
vt. 适合"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
cleaned,v. （使）清洁( clean的过去式和过去分词 ); 变干净; 除去…的灰尘; 使…干净
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
[电] 超导量子干涉元件"
stayed,"v. 停留, 制止（stay的过去分词形式）"
lobster,n. 龙虾
washed,a. 洗过的
shark,"n. 鲨鱼, 骗子
v. 诈骗"
watched,"vt. 注视, 注意（watch的过去式与过去分词形式）"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
had,"v. have(有)的过去式和过去分词
[网络] 有了；过去式的句型"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
had a cold,无
sperm whale,n. 抹香鲸
slept,sleep的过去式和过去分词
killer whale,"n. 〔动〕虎鲸
[网络] 杀人鲸；逆戟鲸"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
[计] 读取"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
[计] 偶数, 偶校验"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
have a fever, 发烧
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
n. (Last)人名；(英、德、葡、罗、瑞典)拉斯特"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
yesterday,[网络] 昨天；昨日；一句
have a cold,患感冒
before,"prep. 在…之前，先于
adv. 以前；在前
conj. 在…以前；在…之前"
have a toothache, 牙疼
drank,drink的过去式
have a headache, 头疼，头痛
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
have a sore throat,"嗓子痛,喉痛"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
[计] 卡片箱, 介质装卸程序"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adv. 更好的；更多的；较大程度地
adj. 较好的
vt. 改善；胜过
vi. 变得较好
n. (Better)人名；(西、瑞典、德)贝特尔"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
faster,[计] 加快
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
hotel,[网络] 旅馆；酒店；昊天
sick,"n. 病人；呕吐物
adj. 恶心；晕船；有病的；想呕吐
v. 攻击；追击；(纵狗)追击；〈美〉嗾使(狗等)去咬[去攻击]
[网络] 不舒服的；病了；德国施克"
fixed,"a. 固定的, 不变的
[法] 固定的, 确定的, 不变的"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
lamp,"n. 灯
vt. 照亮
[计] 逻辑模拟分析系统"
flu,"n. 流感；流行性感冒
[网络] 流行感冒；流感病毒；流行性感冒菌"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
know,"v. 知道；知悉；了解；认识到
n. 〈口〉知晓
[网络] 懂得；明白；通晓"
enjoy,"vt. 享受, 喜欢, 欣赏
[法] 享受, 享有, 获得某种利益"
might,"n. 力量, 权力
aux. 可能, 也许"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
went,"v. 去，过去（go的过去式）
n. (Went)人名；(德、匈、荷)文特；(英)温特"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
camp,[=cyclic adenosine monophosphate]环磷酸腺苷
drink,"v. 喝；喝酒；饮；（尤指）酗酒
n. 饮料；酒；一口（饮料）；酒精饮料
[网络] 饮料-蒂克；墨尔本的酒；饮料词典"
went camping,无
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
