textbook,"课本, 教科书"
conversation,"n. 会话, 说话, 交谈
[法] 交谈, 社交, 性交"
aloud,"adv. 出声地, 大声地"
pronunciation,"n. 发音, 读法"
sentence,"n. [语][计] 句子，命题；宣判，判决
vt. 判决，宣判"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
discover,"vt. 发现, 找到, 暴露
vi. 发现"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
look up,n. (在词典等中的)查找，查看[亦作 look-up]；【计算机】
grammar,"n. 语法学, 入门书
[计] 语法检查"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
[计] 重复"
note,"v. 注意；指出；留意；特别提到
n. 笔记；注释；记录；便条
abbr. (=noe of the above)把选票上的名字全勾掉
[网络] 注记；说明；附注项"
pal,abbr. paleontology;paleography
physics,"n. 物理学, 物理过程, 物理现象
[化] 物理; 物理学"
chemistry,"n. 化学, 化学过程
[化] 化学"
memorize,"vt. 记住, 熟记, 背熟"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
[计] 模式, 图案"
pronounce,"v. 发音, 宣告, 断言"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
speed,"vi. 超速，加速；加速，迅速前行；兴隆
n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
n. (Speed)人名；(英)斯皮德"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
born,"v. 出世（bear的过去分词）
adj. 天生的
n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩"
be born with,"生来就有…,有…天赋"
ability,"suf. [用于构成名词, 意义相当于-able]表示“能力”, “可能性”, “倾向性”, “适宜性”"
create,"vt. 创造, 建造, 引起, 任命"
brain,"n. 脑；脑力；智力；（供食用的）动物脑髓
v. 猛击…的脑袋致死
[网络] 大脑；头脑；脑子"
