venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
web,"n.环球网,网,蛛丝,蹼,翼手,织物,圈套,卷筒纸;vi.使陷入罗网,形成网;vt.织蜘蛛网于,使落入圈套"
Scottish,
suffering,"n.苦楚,受难adj.受苦的,患病的"
gall-bladder,
strengthen,"v.加强,巩固"
Perce Blackborow,
Sir Ernest Shackleton,
endurance,"n.忍耐(力),持久(力),耐久(性)"
hut,"n.小屋,棚屋"
stove,n.炉
unbearable,"adj.无法忍受的,承受不住的"
cosy,"adj.舒适的,安逸的"
block out,
breathless,"adj.无声息的,喘不过气来的,气喘吁吁的,停止呼吸的,死的"
rotten,"adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的"
blacken,"v.使变黑,诽谤 变黑"
circumstance,"n.环境,详情,境况"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
hoarse,adj.嘶哑的
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
selfish,adj.自私的
Tom Orde-Lees,
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
seasickness,n.晕船
anyhow,"adv.无论如何,总之"
steward,"n.(轮船,飞机等)乘务员,干事"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
mourn,"v.哀悼,忧伤,服丧"
urgent,"adj.急迫的,紧急的"
bedding,"n.被褥,(家畜)草垫,(建筑)基床"
Hussey,
banjo,"n.班卓琴,五弦琴"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
cheerful,"adj.愉快的,高兴的"
persevere,v.坚持
perseverance,n.坚定不移
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
give way to,
framework,"n.构架,框架,结构"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
morale,"n.士气,民心"
select,"vt.选择,挑选adj.精选的"
booming,adj.急速发展的
swear,"vi.诅咒v.宣誓,发誓"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
freezing,"adj.冰冻的,严寒的,冷冻用的"
stool,"n.凳子,大便,厕所vi.长新枝vt.诱捕"
gratitude,n.感谢的心情
punishment,"n.惩罚,处罚,惩处"
loyal,"adj.忠诚的,忠心的"
tactful,"adj.机智的,得体的,圆滑的"
Frank Worsley,
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
stout,"adj.结实的,勇敢坚定的,激烈的,矮胖的,顽强的n.矮胖子,烈性啤酒"
Hubert Hudson,
optimism,"n.乐观,乐观主义"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
discourage,"vt.使气馁,阻碍"
dynamic,"adj.动力的,动力学的,动态的"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
give off,
Lionel Greenstreet,
bored,"adj.无聊的,无趣的,烦人的,"
liver,"n.居住者,生活优裕的人,肝脏"
chef,n.厨师
changeable,adj.可改变的
caution,"n.小心,谨慎,警告vt.警告"
snow blindness,
