cultural,adj.文化的
relic,"n.遗物,遗迹,废墟,纪念物"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
valuable,"adj.贵重的,有价值的,颇有价值的"
survive,"v.幸免于,幸存,生还"
vase,"n.花瓶,瓶"
dynasty,"n.朝代,王朝"
Taj Mahal,
ivory,n.象牙
dragon,"n.龙,凶暴的人,严厉而有警觉性的女人"
amber,"n.琥珀adj.琥珀制的,琥珀色(黄色)的"
in search of,
Frederick William I,
Prussia,
amaze,vt.使吃惊
amazing,adj.令人惊异的
select,"vt.选择,挑选adj.精选的"
honey,"n.(蜂)蜜,蜂蜜"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画"
decorate,"v.装饰,为...做室内装修"
jewel,n.宝石
artist,"n.艺术家,画家"
belong,"vi.属于,住"
belong to,
Peter the Great,
in return,
Czar,
troop,"n.群,组,多数,军队vi.群集,结队,成群而行vt.把(骑兵)编成骑兵连"
St Petersburg,
reception,"n.接待,招待会,接收"
Catherine II,
at war,
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
less than,
wooden,adj.木制的
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
Königsberg,
the Baltic Sea,
mystery,"n.神秘,神秘的事物"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
rebuild,"v.重建,改造,复原,重新组建"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
apart,"adv.分离,分成零件,分别地,分离着adj.分开的"
take apart,
Leningrad,
painting,"n.上油漆,着色,绘画,油画v.描绘"
castle,n.城堡
Windsor Castle,
trial,"n.试验,考验,审讯,审判"
eyewitness,"n.目击者,见证人"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
Jan Hasek,
Czech Republic,
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
entrance,"n.入口,门口,进入"
Hans Braun,
sailor,"n.海员,水手,不大会晕船的人,船员"
sink,"vi.沉下,(使)下沉n.水槽,水池 接收器"
Anna Petrov,
maid,"n.少女,女仆"
Berlin,
think highly of,
Johann Webber,
informal,"adj.不正式的,不拘礼节的"
debate,"v.争论,辩论n.争论,辩论"
ancient,"adj.远古的,旧的"
compete,"vi.比赛,竞争"
competitor,n.竞争者
take part in,
medal,"n.奖章,勋章,纪念章v.授予...奖章"
stand for,
mascot,"n.福神,吉祥的东西"
Pausanias,
Greece,
Greek,
magical,adj.不可思议的
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
homeland,"n.祖国,本国"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
athlete,"n.运动员,运动选手"
admit,"v.容许,承认,接纳"
slave,n.奴隶v.辛勤努力
nowadays,"adv.现今,现在"
gymnastics,"n.体操,体育"
athletics,n.运动
stadium,n.露天大型运动场
gymnasium,"n.健身房,体育馆"
gym," gymnasium 体育;n.体育馆,体操"
as well,
host,"n.主机,主人,旅馆招待vt.当主人招待"
responsibility,"n.责任,职责"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色 Olive 奥利夫(女子名)"
wreath,"n.花圈,花冠,圈状物"
replace,"vt.取代,替换,代替,把...放回原处"
motto,"n.座右铭,格言,题词,笺言"
swift,"n.[鸟]雨燕,(梳棉机等的)大滚筒adj.迅速的,快的,敏捷的,立刻的adv.迅速地,敏捷地"
similarity,"n.类似,类似处"
Athens,
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
in charge,
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者"
advertise,"v.做广告,登广告"
Atalanta,
princess,n.公主
glory,"n.荣誉,光荣"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
prince,n.王子
hopeless,"adj.没有希望的,绝望的,不可救药"
Hippomenes,
foolish,"adj.愚蠢的,傻的,笨的,卤莽的,可爱的"
goddess,n.女神
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦"
one after another,
deserve,"vt.应受,值得v.应受"
striker,"n.打击者,罢工者,钟锤,叉鱼的人"
abacus,n.算盘
calculator,"n.计算机,计算器"
PC,
personal computer,
laptop,膝上型电脑
PDA,
analytical,"adj.分析的,解析的"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
simplify,"vt.单一化,简单化"
sum,"n.总数,和,金额,算术题"
Charles Babbage,
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
logical,"adj.合乎逻辑的,合理的"
logically,"adv.论理上,逻辑上"
technology,"n.工艺,科技,技术"
technological,adj.科技的
revolution,"n.革命,旋转"
artificial,"adj.人造的,假的,非原产地的"
intelligence,"n.智力,聪明,智能"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
Alan Turing,
solve,"vt.解决,解答"
mathematical,"adj.数学的,精确的"
from ... on,
reality,"n.真实,事实,本体,逼真"
designer,"n.阴谋家,设计家,制图师"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
personally,adv.亲自
tube,"n.管,管子,[英] 地铁,<美> 电子管,显象管"
transistor,n.[电子]晶体管
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
as a result,
total,"n.总数,合计adj.总的,全部的,整个的v.合计,总数达,达到"
totally,"adv.完全地,整全地"
so ... that ...,
network,"n.网络,网状物,广播网"
web,"n.环球网,网,蛛丝,蹼,翼手,织物,圈套,卷筒纸;vi.使陷入罗网,形成网;vt.织蜘蛛网于,使落入圈套"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
mobile,"adj.可移动的,易变的,机动的n.运动物体"
rocket,n.火箭v.飞速上升
explore,"v.探险,探测,探究"
Mars,
anyhow,"adv.无论如何,总之"
goal,"n.目的,目标,守门员,球门,(球赛等的)得分"
happiness,
human race,
supporting,
download,"下载,下传"
programmer,"n.程序师,程序规划员"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
android,n.机器人
signal,"n.信号adj.信号的v.发信号,用信号通知"
teammate,n.队友
Nagoya,
Seattle,
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
in a way,
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
arise,"vi.出现,发生,起因于"
with the help of,
electronic,adj.电子的
appearance,"n.出现,露面,外貌,外观"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
mop,"n.拖把(俗称地拖),洗碗v.用拖把拖洗,擦,抹,扫荡"
deal with,
watch over,
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
niece,"n.侄女,甥女"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
wildlife,n.野生动植物
protection,n.保护
wild,"adj.野性的,野生的,野蛮的,狂热的,疯狂的"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
decrease,"n.减少,减少之量v.减少"
endanger,vt.危及
die out,
loss,"n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎"
zone,"n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区"
in peace,
in danger,
in danger of,
Daisy,
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
carpet,n.地毯
respond,"v.回答,响应,作出反应vi.有反应"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
fur,"n.毛皮,毛,软毛"
antelope,n.羚羊
Zimbabwe,
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
in relief,
laughter,"n.笑,笑声"
burst into laughter,
mercy,"n.仁慈,宽恕,怜悯"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
importance,"n.重要(性),重大,价值,傲慢"
WWF,
rub,"v.擦,摩擦 rt. (～ along) 和谐相处,(～ off) 擦掉,擦破,(～ out) 把(记号,笔记,笔迹等)擦掉"
protect ... from,
mosquito,n.蚊子
millipede,n.[动] (=millepede)倍足纲节动物
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
powerful,"adj.强大的,有力的"
affect,"vt.影响,感动,侵袭,假装"
attention,"n.注意,关心,关注,注意力,(口令)立正!"
pay attention to,
