laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
economics,"n. 经济学
[经] 经济学"
mathematician,n. 数学家
bedridden,卧床不起的
unbeknownst,[方]=unbeknown
Swedish,"n. 瑞典人, 瑞典语
a. 瑞典的, 瑞典人的, 瑞典语的"
revolutionary,"a. 革命的；旋转的；大变革的
n. 革命者"
postwar,un. 战后的
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
[电] 认识"
raspy,"a. 刺耳的, 粗糙的, 易怒的"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
schizophrenia,"n. 精神分裂症
[医] 精神分裂症"
economist,[网络] 经济学家
single out, 挑选; 抉
lobotomy,"n. 前脑叶白质切除术
[医] 叶切断术"
hellish,"a. 地狱的, 凶恶的, 令人毛骨悚然的"
psychiatric,"a. 精神病学的, 医精神病的
[医] 精神病学的"
delusion,"n. 迷惑, 欺瞒, 错觉
[医] 妄想"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
die down,"枯萎, 凋谢"
on one level...,无
on one level ... on another level,无
incapacitating,"v. 使无能力, 使不适合( incapacitate的现在分词 )"
play a trick on," 捉弄某人, 对某人恶作剧; 撮弄"
sensation,"n. 感觉, 轰动
[医] 感觉"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
heartbreaking, 额蹙心痛；悲辛
loyal,"a. 忠诚的, 忠实的, 忠贞的"
obliquely,"adv. 斜, 倾斜, 间接, 不光明正大, 躲躲闪闪"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
irrational,"n. 无理数
a. 无理性的, 不合理的"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
[计] 调用; 请求"
worldliness,"n. 俗心, 俗气"
backwater,"令划手划倒桨
[化] 回水"
per capita,"每人, 按人口, 按人口计算
[经] 每人, 按人头"
