stomach,"n.胃,胃口,胃部v.容忍"
regret,"n.遗憾,悔恨,抱歉,歉意vt.为...感到遗憾,后悔,惋惜,哀悼,懊悔vi.感到抱歉"
fever,"n.发烧,发热,热病,狂热,高度兴奋v.(使)发烧,(使)患热病,(使)狂热"
pale,"n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围"
Sara,
examination,"n.考试,检查,细查"
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦"
pardon,"vt.原谅,宽恕n.原谅,宽恕"
X-ray,
dentist,n.牙科医生
refuse,"vt.拒绝,谢绝n.废物,垃圾"
toothache,n.牙痛
rotten,"adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的"
fortunately,adv.幸运地
headset,n.戴在头上的耳机或听筒
aching,"adj.痛的,疼痛的,心痛的"
German,
wolf,"n.狼,残忍贪婪之人,极度的穷困vt.狼吞虎咽,大吃vi.猎狼"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
vitamin,"n.维他命,维生素"
mineral,"n.矿物,矿石"
fibre,"n.纤维,构造,纤维制品,[植]须根"
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
protein,n.[生化]蛋白质adj.蛋白质的
bean,"n.豆,豆形果实"
Asian,
soy,"n.酱油,大豆"
calcium,n.[化]钙(元素符号Ca)
bone,n.骨v.剔除
yogurt,"n.(=yoghurt) 酸奶酪,酵母乳"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
balanced,"adj.平稳的,安定的,和谐的"
diet,"n.通常所吃的食物,会议"
include,"vt.包括,包含"
smoke,"n.烟,烟尘,烟幕v.抽烟,吸烟vi.冒烟"
harmful,"adj.有害的,伤害的"
disease,"n.疾病,弊病"
lung,"n.肺,呼吸器,肺脏"
harm,"vt.伤害,损害n.伤害,损害"
breathe,"v.呼吸,发出"
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的"
law,
cigarette,"n.香烟,纸烟"
whenever," conj.无论何时,随时n.只要"
risk,"vt.冒...的危险n.冒险,风险"
somebody,"n.重要人物,有名气的人 pron.有人,某人"
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
unable,"adj.不能的,不会的"
dare,"n.挑战vi.敢,胆敢vt.敢冒,不惧"
wheelchair,n.轮椅
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
telephone,"n.电话,电话机v.打电话"
hers, pron.她的
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
kick,v.踢n.踢
disabled,adj.伤残的v.丧失能力
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
pity,"v.(觉得)可怜n.憾事,怜悯,同情"
appendicitis,"n.阑尾炎,盲肠炎"
appendix,"n.附录,附属品,[解]阑尾"
sleepy,"adj.困乏的,欲睡的"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
dialogue,n.对话
successful,adj.成功的
missing,"adj.不见的,缺少的"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
neighbour,n.邻居(美作:neighbor)
universe,"n.宇宙,世界,万物,领域"
Albert Einstein,
lifetime,"n.一生,终生,寿命"
solve,"vt.解决,解答"
theory,"n.理论,学说,...论,原理,意见,推测"
relativity,"n.相对性,相关性,[物]相对论"
Switzerland,
pioneer,"n.先驱,倡导者,先遣兵,先锋"
Nobel,
Princeton,
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
weapon,n.武器
