father,"n.父亲,岳父,公(丈夫的父亲),祖先,前辈,长辈,神父,创始者vt.当...的父亲,保护,创立,治理,发明,培养"
mother,"n.母亲,妈妈"
grandfather,"n.祖父,始祖"
grandmother,n.祖母
have,"vt.有,持有,拿,从事(某事) aux.已经"
has,vbl.have 的第三人称单数现在式
brother,n.兄弟
sister,"n.姐妹,姐,女会员,修女,妹vt.姐妹般对待"
parent,"n.[pl.] 双亲,父亲(或母亲)"
white,"n.白色,蛋白,白种人adj.白(色)的,白种人的"
hair,"n.头发,毛发,毛状物,绒毛,些微"
black,"n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑"
uncle,"n.伯父,叔父,姨丈,援助者"
aunt,"n.姑妈,伯母,舅妈,阿姨"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分"
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
hospital,n.医院
nurse,"n.护士,保姆vt.护理,看护v.照料"
worker,n.工人
walk,"vi.步,行,走n.步行,散步,步,行道"
go for a walk,
plant,"n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植"
flower,"n.花,开花的植物,花卉,精华,盛时vi.开花,旺盛,成熟vt.用花装饰,使开花"
cook,"n.厨师v.烹调,煮,伪造"
we, pron.我们
family,"n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的"
film,"n.薄膜,膜层,胶卷,影片,薄雾,轻烟,电影vt.在...上覆以薄膜,拍成电影vi.生薄膜,变成朦胧,拍电影"
watch a film,
China,
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等"
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)"
know,"v.知道,了解,认识,熟悉,认出,分辨,确信"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
city,"n.城市,都市,全体居民,城邦"
of," prep....的,由...制成的,离,关于,对于"
star,"n.星,恒星,明星,名角"
here,"adv.在这里,此时,这时,[宗]在尘世间n.这里"
beautiful,"adj.美丽的,很好的"
love,"n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱"
travel,"v.旅行,传播vi.行进,传播n.旅行"
interesting,"adj.有趣味的,引起好奇(或注意)的"
place,"n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前"
may," aux.可能,也许,可以,祝,愿n.(May) 五月,能,可能"
young,"adj.年轻的,年纪小的,没有经验的,尚早的,初期的n.(动物的)崽,仔"
come,"vi.来,来临,到达,出现,来(自),出生(于),开始int.嗨! vbl.来,到达,合计为"
great,"adj.伟大的,大的,强烈的,非常的,主要的,大写的,重大的,崇高的adv.顺利地,得意地n.全部,大人物,大师"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
slow,"adj.慢的,迟钝的,不活跃的,缓慢的v.(～ down)(使)慢下来,(使)减速,减缓adv.缓慢"
plane,"n.平面,飞机,水平,程度,刨adj.平的,平面的v.刨,刨平"
fast,"adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒"
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼"
from ... to ...,
Sunday,
Monday,
Tuesday,
Wednesday,
Thursday,
Friday,
Saturday,
at," prep.在,于,向,对准,在...方面;Austria,奥地利"
evening,"n.傍晚,晚间,后期,(联欢性的)晚会"
nice,"adj.美好的,和蔼的,正派的,细微的,挑剔的,精密的,拘泥的"
meet,"n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触"
morning,"n.早晨,上午"
afternoon,"n.午后,下午adv.下午的,晚期"
room,"n.房间,屋子,寓所,场所,地位,空间,机会,余地"
door,"n.门,通道,家,户"
window,"n.窗,窗口"
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗"
year,"n.年,年龄,年岁"
also,"adv.也,同样"
boat,"n.小船,艇v.划船"
moon,"n.月球,月亮,卫星"
wonderful,"adj.令人惊奇的,奇妙的,极好的,令人愉快的"
those,adj.pron.那些
that,"adj.那,那个 pron.那,那个 conj.引导从句"
