subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
English,
Chinese,
music,"n.音乐,乐曲"
art,"n.艺术,艺术品,技术,巧妙,美术"
math,n.数学
P.E.,
science,"n.科学,自然科学,理科"
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能"
and," conj.和,及,并,然后,接着又 /conj.及(或)"
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放"
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图"
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述"
sleep,"vi.睡,睡觉n.睡眠"
write,"vt.书写,著述,写,写满,写信给vi.写,写字,写信,写作,作曲"
run,"n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的 vbl.run的过去式和过去分词"
read,"v.读,阅读,理解,学习adj.有学问的n.读取 vbl.read的过去式和过去分词"
swim,"n.游泳,漂浮,潮流,眼花adj.游泳时穿戴的vi.游泳,游,漂浮,旋转,覆盖,充溢,眩晕,浸vt.游过,使浮起adj.游泳时穿戴的"
do,"v.做,实行,尽力,给予,可用,制作,算出,解答 [域] Dominican Republic ,多米尼加共和国"
fish,"n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找"
shh,"int.嘘,安静一点 shew [古]show"
Sunday,
Monday,
Tuesday,
Wednesday,
Thursday,
Friday,
Saturday,
week,"n.星期,周"
today,"adv.今天,现今n.今天,现今"
violin,"n.小提琴,小提琴手"
ball,"n.球,球状物,子弹,舞会,尽情地玩"
mom,
birthday,n.生日
get up,
have breakfast,
go to school,
have lunch,
get home,
do homework,
have dinner,
go to bed,
lake,
time,"n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的 /n.时间/日期"
tomorrow,"adv.明天见n.明天,未来"
wake up,
go to sleep,
twenty-one,
thirty, num.三十
forty," num.四十,40n.四十岁"
fifty,adj.五十
eye,"n.眼睛,视力,眼光,观点,见解,眼状物,风吹来的方向,[气]风眼vt.看,注视,在...上打眼"
ear,"n.耳朵,倾听,听觉,听力,穗vi.抽穗"
nose,"n.鼻,(飞机、船等的)前端v.侦察出"
mouth,"n.口,嘴"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
leg,"n.腿,胫,旅程的一段vi.走,跑"
foot,"n.足,底部,英尺,音步(英诗),步调,步兵,末尾vt.走在...上,支付,给...换底,结算vi.步行,跳舞,总计"
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
open,"n.公开,户外,空旷adj.开着的,敞开的,(车等)无篷的,开阔的,营业着的,公开的,坦率的,未决定的vt.打开,公开,开放vi.展开,开始,展现"
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的"
dance,"n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬"
computer game,
puzzle,"n.难题,谜v.(使)迷惑,(使)为难,迷惑不解"
plane,"n.平面,飞机,水平,程度,刨adj.平的,平面的v.刨,刨平"
toy car,
doll,"n.洋娃娃,玩偶,美丽但无头脑的女子,<俚>美男子"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏"
guitar,"n.吉他,六弦琴vi.弹吉他"
want,"vt.想要,希望,需要,短缺,缺少n.需要,短缺"
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
shout,"v.呼喊,呼叫n.呼喊,呼叫"
think,"v.想,思索,认为vt.认为,以为,预料"
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰"
talk,"v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话"
color,"n.<美>(=colour)颜色,色彩,脸色,风格,外貌vt.给...涂颜色,改变...的颜色,粉饰,脸红,歪曲vi.获得颜色,变色"
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口"
thump,"v.重击,砰然地响n.重击,重击声"
dad,"n.爸爸,爹爹"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
floor,"n.(房间,走廊等的)地面,地板,基底,(室内的)场地,层,海底,议员席vt.在...上铺(地板),击倒,(被困难)难倒"
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫"
window,"n.窗,窗口"
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的"
dish,"n.盘,碟,盘装菜v.提出 碟形卫星天线"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑"
busy,"adj.忙碌的,热闹的,临时占用的"
cook,"n.厨师v.烹调,煮,伪造"
wait,"v.(～ for)等待,等候n.等待,等待时间"
