abide,"vi.坚持,遵守;vt.忍受,容忍"
abnormal,"adj.反常的,变态的"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abound,"vi.多,大量存在,富于,充满"
abreast,"adv.并肩地,并排地"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
abrupt,"adj.突然的,陡峭的,生硬的"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
erupt,vt.喷出vi.爆发
volcano,n.火山
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
sensor,n.传感器
nonsense,"n.胡说,废话"
sensitive,"adj.敏感的,灵敏的,感光的"
sensible,"adj.有感觉的,明智的,有判断力的"
sensation,"n.感觉,感情,感动,耸人听闻的"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
presently,"adv.目前,不久"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
resent,"v.愤恨,怨恨"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
absolute,"adj.完全的,绝对的"
absorb,"vt.吸收,吸引"
devote,"vt.投入于,献身"
indulge,v.纵容
immerse,"vt.沉浸,使陷入"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
tractor,n.拖拉机
distract,v.转移
subtract,"v.(～ from)减去,减"
absurd,"adj.荒谬的,可笑的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
accent,"n.重音,口音,重音符"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
access,"n.通路,访问,入门vt.存取,接近"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
exceed,"vt.超越,胜过vi.超过其他"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
proceed,"vi.进行,继续下去,发生"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
procedure,"n.程序,手续"
unprecedented,adj.空前的
procession,"n.行列,队伍"
precede,"v.领先(于),在...之前,先于"
