breakfast,n.早餐vi.进早餐
egg,"n.蛋,鸡蛋,卵v.怂恿,怂恿"
try,"n.尝试v.试,试图,努力,试验,磨难,考验,审问"
umm,
pass,"n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌"
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
salad,n.色拉
lunch,n.午餐
Mrs.,
teacher,n.教师
student,"n.(大小学校的)学生,研究者,学者"
Mr.,
quiet,"adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)"
beside," prep.在旁边,和...比较"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
nurse,"n.护士,保姆vt.护理,看护v.照料"
whose," pron.谁的,那(些)人的"
know,"v.知道,了解,认识,熟悉,认出,分辨,确信"
his, pron.他的
What's wrong?,
find,"vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现 [计] 在文件中查找指定的字符串"
her," pron.她的,她"
bike,"n.脚踏车,自行车"
ax,n.斧头vt.削减
music,"n.音乐,乐曲"
on time,
from now on,
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)"
math,n.数学
third," num.第三,三分之一"
why,"adv.为什么,...的(理由)int.(表吃惊,满意等)哎呀!什么?"
Why not?,
sing,"v.唱,演唱"
stop,"n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒"
tomorrow,"adv.明天见n.明天,未来"
so long,
English,
Chinese,
science,"n.科学,自然科学,理科"
second,"n.秒,片刻,第二者,第二人,助手,次货,二等品adj.另一个,又一个 num.第二vt.赞成,支持"
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育"
ride,"v.骑,乘n.骑,乘"
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的"
after school,
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放"
library,"n.图书馆,藏书室,库"
every,"adj.每一的,每个的,全部的,每隔...的"
every day,
street,"n.街,街道"
ow,"int.表示突然疼痛所发出之声,哎哟"
leg,"n.腿,胫,旅程的一段vi.走,跑"
hurt,"v.刺痛,伤害,(使)痛心,(使)伤感情,危害,损害,受伤n.伤痛,伤害"
again,"adv.又,再次,此外,再一次"
piano,n.钢琴
soccer,n.英式足球
better,"adj.较好的adv.更好的,更多的,更佳的"
with," prep.有,以,用,同...,由于,和...一致,赞成,关于,就"
us," pron.<用作宾语>我们 [域] United States ,美国"
kick,v.踢n.踢
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
fly,"n.苍蝇,两翼昆虫,飞行vi.飞翔,飘扬,溃逃vt.飞越,使飘扬,逃脱adj.机敏的,敏捷的"
skate,"n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过"
baseball,"n.棒球,棒球运动"
glove,n.手套vt.戴手套
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
warm-up,
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰"
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
bend,"v.弯曲,专心于,屈服n.弯曲"
knee,"n.膝,膝盖"
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表"
into," prep.到...里,进入到...之内,成为...状况,深入...之中"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
shoulder,"n.肩,肩部,侧翼vt.肩负,承当"
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
pancake,n.薄烤饼
easy,"adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息"
need,"n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须"
flour,n.面粉
oil,"n.油,石油,油类vt.给(机器等)加油,上油,涂油"
any,"adj.任何的,任何一种,所有的 pron.无论那一个,任何"
