spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
Spring Festival,n. 春节（中国农历正月初一）
like, 类似…的；有…特征的
new,"adj. 刚出现的；新的；新近推出的；新买的
n. 新东西；新事物
abbr. 〈美(=net economic welfare)纯经济福利
adv. 同“newly”
[网络] 新建(New.)；新品；全新"
year,"n. 年, 年度, 年龄
[经] 年度"
New Year's Day,元旦
I see.,"我明白,我理解,我知道"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
dumpling,"n. 面团布丁, 团子"
yourself,[网络] 过你的自性；你自己
Help yourself.,请自己动手用餐吧
delicious,[网络] 美味书签；社会书签；收藏到
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
wonderful,adj. 奇妙的；极好的
Dragon Boat Festival,[网络] 端午节；龙舟节；端午节英语作文
Mid-Autumn Festival,中秋节
mooncake,月饼(中国食品)
Christmas,[网络] 圣诞；基督的弥撒
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
[计] 卡片, 卡"
tree,[网络] 树；树结构；连通图为树
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
[计] 时钟"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
[计] 完整"
rice,[网络] -白饭
rice dumpling, 粽子
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
which,"pron. 哪一个, 那一个"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
winter,"n. 冬季；年岁；萧条期
vi. 过冬
adj. 冬天的；越冬的
n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特"
too,"adv. 也, 非常, 太"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
summer,[网络] 夏季
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
poor,"adj. 贫穷的；可怜的；贫乏的；卑鄙的
n. (Poor)人名；(英、伊朗)普尔"
matter,[网络] 解决问题
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
[计] 忙; 忙碌"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
[医] 观念, 思想"
fever,"n. 发烧, 发热, 热病
[医] 发热, 热"
gee,"n. 马, 家伙
interj. 向右, 前进, 哎呀(惊讶时所发声音)
v. (使)向右转"
bad,"a. 坏的
n. 坏
adv. 坏地"
care,"n. 关怀；照料；谨慎；忧虑
vi. 照顾；关心；喜爱；顾虑
vt. 在意；希望或喜欢
n. (Care)人名；(英)凯尔；(塞)察蕾"
take care," 当心, 小心; 坚持到底"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
so,comb.form =-soever
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
headache,[网络] 头痛
stomachache,n. 胃痛；肚子痛
toothache,[医] 牙痛
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
roller coaster, 过山车
exciting,"a. 令人兴奋的, 刺激的
[电] 激磁"
ooh,int. （表示惊异、热心、高兴或不悦的叫声）哦！
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
bumper car,n. 碰撞用汽车
really,[网络] 再结盟
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
tired,"a. 疲累的, 疲乏的, 厌倦的"
phew,"interj. 咳, 哦, 唷"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
[计] 存储器操作; 存储"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
him,pron. 他
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
watch,comb.form [通常作复合词的第二部分]表示“研究”，“监视”，“观察”，“观望”；“观赏”
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
too much,"太多, 太高"
robot,"n. 机械人, 自动机械, 机械般工作的人
[计] 机器人; 自动机"
look for,"寻找, 期待"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
grandma,"n. 奶奶, 外婆"
her,"pron. 她的；她
n. (Her)人名；(法)埃尔"
happen,vi. 发生；碰巧；偶然遇到
What's happening?,[网络] 在忙什么；正在发生什么；发生了什么事
surprise,[网络] 讶异
blow,[网络] 打击
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
[网络] 吹灭；吹熄；凶线"
all,"pron. 一切；全部；大家；全都
adj. 一切；全；整个；全体
adv. 都；全部；全身；那么
n. 一切；全部；全体
[网络] 所有；所有的；全部的"
from,"prep. 从, 来自, 根据"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
grandpa,"爷爷, 老太爷, 外公"
uncle,[网络] -叔叔
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
[法] 同辈表亲或堂亲"
post office,"邮局
[法] 邮局"
policeman,"un. 警察
[网络] 警察大哥；你是警察；波丽士大人"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
excuse me,对不起
over there,在那边
ah,abbr. accident and health 【保险业】意外事故及医疗保险
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
may,"n. 五月
aux. 愿能, 可以, 愿意"
send,[网络] 结束；路程尽头；四十六的下场
How long ...?, 多久; 多长
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
about,"prep. 关于；大约
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处
n. 大致；粗枝大叶；不拘小节的人
n. (About)人名；(法)阿布"
bookstore,"na. 〈美〉书店
[网络] 书局；书店购物；在书店"
restaurant,[网络] 餐馆
hospital,"n. 医院
n. (Hospital)人名；(英)霍斯皮特尔"
supermarket,超级市场
bathroom,"na. 洗澡间；盥洗室；〈书〉厕所
[网络] 浴室；卫生间；浴室系列"
living room,"客厅, 起居室"
TV,"n. 电视；电视机
abbr. (=television)
[网络] 电视(television)；电视剧；快门优先"
work,"n. 工作；作品；劳动；功
v. 劳动；干活；奏效；运行
[网络] 运转；职业；有效"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
spider,"n. 蜘蛛, 设圈套者
[化] 星形轮"
take ... away,"adj. 买回去的
[网络] 拿走；带走；外带"
ugh,"interj. 咄!, 啊!, 呸!"
bedroom,[网络] 卧室；睡房；卧室系列
kitchen,"n. 厨房, 全套炊具
[医] 厨房"
dining room,饭厅
photo,"光,照相"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
quickly,adv. 很快地
smile,[网络] 众人仰慕
oops,interj. (表示惊讶、沮丧、谢罪等)哎哟
sixty,"n. 六十几；六十年代
num. 六十
[网络] 六十个；第六十；六十岁"
seventy,"num. 七十
n. 七十几；七十年代
[网络] 七十个；第七十；七十的"
eighty,"num. 八十
n. 八十几；八十年代
[网络] 八十个；第八十；八十的"
ninety,"num. 九十, 九十个"
