relationship,n. 关系；关联
benefit,"n. 利益
vt. 有益于
vi. 受益"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
program,[网络] 程序；程序下载；项目
programme,纲，方案，计(规)划，程序，进度表，说明书
reduction,"n. 减少, 缩影, 变化
[化] 还原"
environment,"n. 环境, 外界, 围绕
[计] 环境"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
professional,"n. 专业人才
a. 专业的, 职业的"
according to,"根据, 按照；取决于；据…所说"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
career,"n. 事业, 生涯, 成功
[法] 职业, 专业, 履历"
opportunity,"n. 机会, 时机"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
[计] 焦点"
lower,"n. 低辐射; 低辐射膜; 低辐射玻璃
(low-e 的比较级)"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
[计] 缩小"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
[法] 不同的, 种种的, 各式各样的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
amount,"n. 总数, 总额
vi. 总计, 等同"
imply,"vt. 暗示, 意味
[计] 隐含"
evidence,[网络] 证据；大量运用事例证据
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
[计] DOS内部命令:该命令可将批处理参数向左移动一个位置"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
economic,"a. 经济上的, 实用的, 节省的
[经] 经济的"
consumer,"n. 消费者
[经] 消费者, 用户"
increasingly,"adv. 逐渐地, 渐增地"
critical,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
respect,[网络] 尊重
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
apply,"vt. 涂, 应用
vi. 申请, 适用"
financial,"a. 财政的, 金融的
[经] 财政的, 金融的, 财务的"
consequence,"n. 结果, 重要性
[法] 结果, 后果, 推断"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
[计] 效果"
unique,"a. 独一无二的, 独特的, 稀罕的"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
[计] 安全性, 保密性, 安全检查程序"
