alphabet,n.字母表
numbers,n.[圣经] 民数记(旧约圣经的第四卷)
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
telephone number,
phone number,
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的"
first name,
last name,
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
e-mail address,
telephone number,
phone number,
apartment number,
fax number,
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中"
pencil,n.铅笔
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
desk,"n.书桌,办公桌"
computer,"n.计算机,电脑"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
supermarket,n.超级市场
post office,
restaurant,"n.餐馆,饭店"
library,"n.图书馆,藏书室,库"
living room,
dining room,
kitchen,"n.厨房,炊具,炊事人员"
bedroom,n.卧室
bathroom,"n.浴室,盥洗室"
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中"
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
pencil,n.铅笔
notebook,"n.笔记簿,笔记本"
bookshelf,n.书架
globe,"n.球体,地球仪,地球,世界"
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙"
clock,n.时钟
bulletin board,
computer,"n.计算机,电脑"
table,"n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表"
chair,"n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职"
ruler,"n.统治者,管理者,尺,直尺n.标尺,划线板,划线的人"
desk,"n.书桌,办公桌"
dictionary,"n.字典,词典"
living room,
dining room,
kitchen,"n.厨房,炊具,炊事人员"
bedroom,n.卧室
bathroom,"n.浴室,盥洗室"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
yard,"n.院子,码"
garage,"n.汽车间,修车厂,车库v.放入车库"
basement,"n.地下室,墙脚"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告"
bookshelf,n.书架
bulletin board,
chair,"n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职"
clock,n.时钟
computer,"n.计算机,电脑"
desk,"n.书桌,办公桌"
dictionary,"n.字典,词典"
globe,"n.球体,地球仪,地球,世界"
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等"
notebook,"n.笔记簿,笔记本"
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中"
pencil,n.铅笔
ruler,"n.统治者,管理者,尺,直尺n.标尺,划线板,划线的人"
table,"n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表"
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
basement,"n.地下室,墙脚"
