take inventory,[经] 实地清点盘存
write a report,[网络] 写报告；写一份报告；写报导
speak to the boss,无
go to the bank,[网络] 上银行；去银行；我必须去趟银行
eat lunch,[网络] 吃午饭；吃午餐；吃中午饭
give out the paychecks,无
set up the meeting room,无
see the personnel officer,无
get gas,无
drive to the gym,无
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
do sit-ups,无
be,"linkv. 有；等同；存在；提供名称或信息时用
v. 到场；位于；在（某处）；（在某时或某地）发生
auxv. 与过去分词连用构成被动语态；与现在分词连用构成进行时
abbr. (=Bank of England)(英国)英格兰银行
[网络] 是；铍(Beryllium)；比利时(Belgium)"
was,is或am的过去式
were,"short. we are
[网络] 是；过去式；的过去式"
been,be的过去分词
begin,"v. 开始
[计] 开始"
began,begin的过去式
begun,"v. 开始（begin的过去分词）
n. (Begun)人名；(俄)别贡；(英)贝根"
blow,"v. 吹；刮；吹动；吹奏（哨子、乐器等）
n. （用手、武器等的）猛击；打击；挫折；吹
int. 表示厌烦
[网络] 美国毒枭；爆炸；吹气"
blew,blow的过去式和过去分词
blown,"a. 吹制的, 喘气的, 开着花的
blow的过去分词"
do,abbr. delivery order 提货单; digital output 数字输出; disbursing office 付款处; deferred ordinary (shares) 延期付息普通股票
did,do的过去式
done,"adj. 完成了；做好了的；煮熟的；合乎礼仪的
v. 做（do 的过去分词）
n. (Done)人名；(西、罗)多内；(英)多恩"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
[计] 翻牌, 绘图"
drew,"v. 牵引（draw的过去式）；描绘；起草
n. (Drew)人名；(英)德鲁"
drawn,"a. 拔出的
draw的过去分词"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
drove,"n. 畜群
drive的过去式"
driven,"adj. 被动的，受到驱策的
v. 驾驶，开车（drive的过去分词）"
eat,[网络] 艺术与科技实验中心；东莞中逸电子有限公司；永春站
ate,"v. eat(吃)的过去式
[网络] 自动测试设备(Automatic Test Equipment)；自动化测试设备(Automated Test Equipment)；吃的过去式"
eaten,eat的过去分词
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
fallen,"a. 堕落的, 落下来的, 陷落的
fall的过去分词"
