white,"n.白色,蛋白,白种人adj.白(色)的,白种人的"
purple,adj.紫色的n.紫色
pink,"n.粉红色,石竹花,化身,极致,精华adj.粉红的vt.刺,扎,刺痛,使变粉红色vi.变粉红色"
orange,"n.柑,桔,橙,橙色"
brown,"n.褐色adj.褐色的,棕色的v.(使)成褐色,晒黑"
black,"n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑"
watch,"n.注视,注意,手表,看守,守护,监视,值班人vt.看,注视,照顾,监视,警戒,守护,看守vi.观看,注视,守侯adj.手表的,挂表的"
bag,"n.袋子,猎获物"
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件"
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
rough,"adj.粗糙的,粗略的,大致的,粗野的,粗暴的,粗略叙述的v.大体描述adv.粗糙地"
smooth,"adj.平滑的,平坦的,平稳的,无毛的,流畅的,圆滑的,安祥的vt.使光滑,烫平,使优雅,消除vi.变平滑,变平静n.一块平地,平滑部分"
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼"
bus,"n.公共汽车,总线"
car,"n.汽车,小汽车,车辆,客车,[铁]车厢"
van,
bicycle,"n.脚踏车,自行车"
ship,"n.船,海船,舰v.装上船,航运,载运,在船上工作"
run,"n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的 vbl.run的过去式和过去分词"
skate,"n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
ride a bicycle,
salad,n.色拉
carrot,n.胡萝卜
fish,"n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找"
chicken,"n.小鸡,小鸟,鸡肉"
banana,n.香蕉
giraffe,"n.长颈鹿,鹿豹座"
snake,n.蛇v.迂回前进
elephant,"n.象,一种纸张的尺寸"
zebra,n.斑马
autumn,"n.秋天,成熟期,渐衰期"
winter,"n.冬,冬季,萧条期,衰退期adj.冬天的vt.对...进行冬天保护vi.过冬"
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定"
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的"
stop,"n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒"
go,"vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行"
wait,"v.(～ for)等待,等候n.等待,等待时间"
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮"
trousers,"n.pl.裤子,长裤"
sweater,"n.厚运动衫,毛线衫"
shirt,"n.衬衫,衬衣"
coat,"n.外套,(动物的)皮毛,(植物的)表皮,(漆等的)层,涂层vt.涂上,包上"
play football,
play basketball,
play ping-pong,
play cards,
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
balloon,n.气球
carnation,"n.荷兰石竹,康乃馨,粉红色"
hungry,"adj.饥饿的,渴望的,荒年的,不毛的"
thirsty,"adj.口渴的,渴望的,热望的"
bread,"n.面包,生计"
milk,"n.乳,牛奶v.挤(奶)"
