school bag,书包
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
[计] 电刷"
paints,n. 绘画颜料
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
notebook,票据簿
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
[计] 带"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
[计] 发送文件"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
cocoon,"n. 茧
[医] 茧"
caterpillar,"n. 毛虫
[机] 履带车"
chicken,"n. 小鸡, 鸡肉"
duckling,n. 小鸭子
puppy,"n. 小狗, 小动物, 自负的年轻人"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
was,be的过去式
were, (we are 的常用口语形式)
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
lorry,"n. 卡车, 货车
[化] 载重汽车"
motorbike,n. 摩托车
outside, [体]界外
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
another,n. 待定人选
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
[计] 噪声"
heard,hear的过去式和过去分词
sat,[网络] 字母音
meat,"n. 肉, 餐, 食物
[经] 肉类"
pork,"n. 猪肉
[医] 猪肉"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
chicken,"n. 小鸡, 鸡肉"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fruit,"n. 水果, 果类, 结果
[医] 果实, 种实"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
tomato,"n. 番茄, 西红柿"
potato,n. [作物] 土豆，[作物] 马铃薯
carrot,"n. 胡萝卜
[医] 胡萝卜"
cabbage,"n. 卷心菜
[医] 卷心菜, 甘兰"
bean,"n. 豆子
[化] 油嘴; 豆"
rice,[网络] -白饭
drink,"n. 饮料, 酒
v. 喝, 喝酒"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
had,[网络] 不是
eat,"v. 吃；吃饭；用餐
[网络] 食；喝；进食"
healthy,"a. 健康的, 有益健康的, 卫生的
[医] 健康的"
did,do的过去式
keep ... away,防范
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
office,[网络] 办公室；写字楼
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
[计] 退出; DOS内部命令:本命令用于退出当前的命令处理器(COMMAND.COM)
恢复前一个命令处理器"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
princess,"n. 公主；王妃；女巨头
n. (Princess)人名；(英)普琳西丝；"
see a film, 看电影
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
English,[网络] 英语
Maths,n. 数学
Art,"n. 艺术；技术；技巧；表演艺术
v. 对一人讲话时用
[网络] 艺术(Artistic)；美术；辅助生殖技术(assisted reproductive technology)"
Music,"n. 音乐, 乐曲"
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
[网络] 信息技术(Information Technology)；它；资讯科技"
PE,"n. 体育（课）（全写为 physical education）
[网络] 聚乙烯(Polyethylene)；私募股权投资(Private Equity)；市盈率"
class,[计] Java类文件
subject,[网络] 主体；对象；主题
telephone,[网络] 电话；打电话；通讯设备的研収
smoking,"n. 抽烟, 冒烟
[医] 烟熏; 吸烟"
swimming,"n. 游泳, 眩晕"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
stormy,"a. 暴风雨的, 粗暴的, 激烈的"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
foggy,"a. 雾深的, 模糊的"
yesterday,[网络] 昨日
degree,"n. 程度, 度数, 学位, 度
[医] 度, 程度"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
bookshelf,书架
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
cupboard,碗厨
bed,[网络] 教育学士课程；教育学士学位课程
lamp,"n. 灯
vt. 照亮
[计] 逻辑模拟分析系统"
sofa,n. 沙发
furniture,"n. 家具, 帆具"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
[计] 近邻干扰"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
move,"n. 行动；移动；搬家；活动
v. 移动；搬家；搬迁；前进
[网络] 搬动；感动；移动文件"
window,[网络] 学习环境
wall,[网络] 神经质的人更喜欢用板报；管壁；壁面边界
science museum, 科学博物馆
art museum,n. 美术馆
history museum, 历史博物馆
insect museum,无
car museum,无
railway museum,无
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
useful,"a. 有用的, 有益的
[机] 有用的, 有效的"
really,[网络] 再结盟
Christmas,[网络] 圣诞；基督的弥撒
Easter,n. 复活节
Halloween,n. 万圣节前夕（10月31日夜）
Thanksgiving,n. 感谢
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中
寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
holiday,[网络] 圣日；神圣的一天
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
