favour,"n.亲切,宠爱"
prevail,"vi.流行,盛行,获胜,成功"
accumulation,"n.积聚,堆积物"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
devastate,vt.毁坏
stout,"adj.结实的,勇敢坚定的,激烈的,矮胖的,顽强的n.矮胖子,烈性啤酒"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
threshold,"n.开始,开端,极限"
compendium,"n.纲要,概略"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
deficit,"n.赤字,不足额"
radiation,"n.发散,发光,发热,辐射,放射,放射线,放射物"
inspection,"n.检查,视察"
surgery,"n.外科,外科学,手术室,诊疗室"
embryo,"n.胚胎,胎儿,胚芽adj.胚胎的,初期的"
scatter,"v.分散,散开,撒开,驱散"
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
elicitation,"n.引出,诱出,抽出,启发"
location,"n.位置,场所,特定区域,<美>[电影]外景拍摄场地"
ultraviolet,"adj.紫外线的,紫外的n.紫外线辐射"
workmanship,"n.手艺,技艺,作工,技巧"
immune,adj.免疫的
primarily,"adv.首先,起初,主要地,根本上"
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
exaggerate,"v.夸大,夸张"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
aboriginal,"adj.土著的,原来的n.土著居民"
scope,"n.(活动)范围,机会,余地"
adaptation,"n.适应,改编,改写本"
resourceful,"adj.资源丰富的,足智多谋的"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
intensify,vt.加强vi.强化
vitality,"n.活力,生命力,生动性"
smother,v.窒息
bureaucracy,"n.官僚,官僚作风,官僚机构"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
consignment,"n.(货物的)交托,交货,发货,运送,托付物,寄存物"
ambition,"n.野心,雄心"
laser,"n.激光;Light amplification by stimulated emission of radiation,激光器,应用量子效应产生相干光束的设备。"
establishment,"n.确立,制定,设施,公司,军事组织"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
metaphorical,"adj.隐喻性的,比喻性的"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
disdain,"n.轻蔑,以高傲的态度对待vt.蔑视,鄙弃"
assault,"n.攻击,袭击v.袭击"
accredit,"vt.信任,授权,归于"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
satellite,n.人造卫星
curiosity,n.好奇心
evolution,"n.进展,发展,演变,进化"
manufacture,"vt.制造,加工n.制造,制造业,产品"
subsidise,"v.消退,下沉,平息"
furnish,"vt.供应,提供,装备,布置v.供给"
consolidation,"n.巩固,合并"
compel,"vt.强迫,迫使"
expedient,adj.有利的n.权宜之计
scholarship,"n.奖学金,学问,学识"
ultimately,"adv.最后,终于,根本,基本上"
unquestionably,"adv.无疑地,无可非议地"
endangered,"adj.(生命等)有危险的,有灭绝危险的,将要绝种的"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
legislation,"n.立法,法律的制定(或通过)"
verity,"n.真实,事实,真理,真实的陈述"
contravene,v.违反 抵触
interior,"adj.内部的,内的n.内部"
