curly,"a. 拳曲的, 卷毛的, 弯曲的"
straight,"adj. 直的；连续的；笔直的；正直的；整齐的
adv. 直接地；不断地；立即；坦率地
n. 直；直线
n. (Straight)人名；(英)斯特雷特"
tall,[=thymus derived acute lymphocytic leukemia]胸腺衍生急性淋巴细胞性白血病
medium,"n. （传播信息的）媒介；手段；工具；方法
adj. 中等的；中号的
[网络] 灵媒缉凶；一般；中等个子"
height,"n. 高度, 海拔, 高地, 顶点
[化] 高度"
of medium height,无
be of medium height,无
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
build,"v. 建立, 建筑
n. 构造, 体格"
of medium build,无
be of medium build,无
tonight,"adv. 在今夜, 在今晚
n. 今夜, 今晚"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
cinema,"n. 电影院, 电影"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的
n. (Later)人名；(德)拉特"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
cinema,"n. 电影院, 电影"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的
n. (Later)人名；(德)拉特"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
actor,"n. 男演员, 行动者
[医] 作用物, 反应物"
actress,n. 女演员
person,"n. 人, 人身, 人称
[法] 人, 法人, 人身"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
blond,"a. 金发的
n. 白肤碧眼金发的人"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
[计] 现场可改变的控制元件"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看
n. (Eye)人名；(德)艾厄；(英)艾"
singer,n. 歌手
artist,"n. 艺术家, 画家"
crime,"n. 犯罪, 罪行, 罪恶
[法] 犯罪, 罪, 罪恶"
criminal,"n. 罪犯
adj. 犯罪的；犯法的；涉及犯罪的；刑法的
[网络] 刑事辩护律师"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
[计] 发送文件"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
way,"n. 方式；方法；途径；路
adv. 很远；大量；非常；极其
v. 让开；除去；处分
[网络] 道路；路线；方向"
describe,"vt. 描述, 描绘, 画"
differently,"adv. 差异, 不同, 各别, 各种"
another,"adj. 又一，另一；另外的；不同的
pron. 另一个；又一个
prep. 另一个；另一个人"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
[计] 端; 结束"
in the end,"最后, 终于"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
jeans,"n. 工装裤, 牛仔裤"
Johnny,"n. 男人, 家伙"
Dean,"n. 院长, 主持牧师
[法] 外交团长, 学院院长, 教务长"
Tina,n. 蒂娜（女子名）
Jackson,n. 杰克逊（男子名）；杰克逊（美国密西西比州的城市）
noodle,"n. 面条, 笨蛋"
mutton,n. 羊肉
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
cabbage,"n. 卷心菜
[医] 卷心菜, 甘兰"
potato,n. [作物] 土豆，[作物] 马铃薯
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
would,"aux. 将, 愿意"
would like, 想要
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大
n. (Large)人名；(英)拉奇；(法)拉尔热"
waitress,"n. 女侍者, 女服务员"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
take one's order,无
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
one bowl of ...,无
one large bowl of ...,无
tofu,n. 豆腐
meat,"n. 肉, 餐, 食物
[经] 肉类"
dumpling,"n. 面团布丁, 团子"
porridge,"n. 粥, 糊"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
pancake,[网络] 班戟蛋糕；松饼；煎锅蛋糕
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
around the world,"全世界,遍及全世界,世界各地"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组"
different,"a. 不同的
[机] 差动, 微分的, 差速器"
candle,"n. 蜡烛
vt. 对着光检查"
age,"n. 年龄；年龄段；时期；老年
v. 变老；使显老；使变老；使苍老
[网络] 时代；年纪；寿命"
make a wish,[网络] 愿望成真基金会；许愿基金；美国许愿
blow,"v. 吹；刮；吹动；吹奏（哨子、乐器等）
n. （用手、武器等的）猛击；打击；挫折；吹
int. 表示厌烦
[网络] 美国毒枭；爆炸；吹气"
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
[网络] 吹灭；吹熄；凶线"
if,abbr. in full 全数地; 全部地; 全额; ipse fecit (Latin=he did it himself) （拉丁语）他自己做的
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
the UK,[网络] 英国；英国系列；英国青少年的时尚
the United Kingdom, [法]联合王国
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
seaweed,"n. 海草, 海藻
[医] 海藻"
health,"n. 健康, 卫生, 蓬勃, 健康状态
[医] 健康"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
[经] 大众的, 通俗的, 普及的"
get popular,无
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
[医] 观念, 思想"
