touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
whoever,"pron. Whatever person; any person who; be or she who; any one
   who; as, he shall be punished, whoever he may be."
sick,"n. people who are sick
s. deeply affected by a strong feeling"
accompany,v. go or travel along with
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
fellow,"n. a member of a learned society
n. an informal form of address for a man"
go along with,none
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
behave,"v. behave in a certain manner
v. behave well or properly"
behaviour,"n the action or reaction of something (as a machine or substance) under specified circumstances
n (behavioral attributes) the way a person behaves toward other people
n (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation
n manner of acting or controlling yourself"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
considerate,a. showing concern for the rights and feelings of others
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
easy-going,"a. Moving easily; hence, mild-tempered; ease-loving;
   inactive."
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
enthusiastic,a. having or showing great excitement and interest
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
get on with,none
manner,"n. how something is done or how it happens
n. a way of acting or behaving
n. a kind"
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
misunderstand,v interpret in the wrong way
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
sincerely,"r. with sincerity; without pretense
r. written formula for ending a letter"
warm-hearted,"a. Having strong affection; cordial; sincere; hearty;
   sympathetic."
warmth,n. the quality of having a moderate degree of heat
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
careless,"a. marked by lack of attention or consideration or forethought or thoroughness; not careful
s. effortless and unstudied
s. (usually followed by `of') without due thought or consideration"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
drawback,n. the quality of being a hindrance
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
forgetful,s. failing to keep in mind
greedy,s. wanting to eat or drink more than one can reasonably consume
lazy,s. moving slowly and gently
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
shortcoming,n a failing or deficiency
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
vain,"s characteristic of false pride; having an exaggerated sense of self-importance
s unproductive of success"
vice,n. a specific form of evildoing
only,"r. with nevertheless the final result
r. in the final outcome
r. except that; only this time she came out better""
r. never except when"
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
number,"n. the property possessed by a sum or total or indefinite quantity of units or individuals
n. a concept of quantity involving zero and units
n. a select company of people
n. a numeral or string of numerals that is used for identification"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
properly,r. in the right manner
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
ambulance,n. a vehicle that takes people to and from hospitals
blood bank,none
children's hospital,none
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
emergency room,none
waiting room,none
owner,"n. (law) someone who owns (is legal possessor of) a business
n. a person who owns something"
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
possible,"n. something that can be done
n. an applicant who might be suitable
a. capable of happening or existing"
head,"n. the upper part of the human body or the front part of the body in animals; contains the face and brains
n. a single domestic animal
n. a person who is in charge
n. the front of a military formation or procession"
accident,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause"
affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
cause,"n. events that provide the generative force that is the origin of something
n. a justification for something existing or happening
v. give rise to; cause to happen or occur, not always intentionally"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
criterion,n. the ideal in terms of which something can be judged
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
message,"n. a communication (usually brief) that is written or spoken or signaled
n. what a communication that is about something is about
v. send a message to
v. send as a message"
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
question,"n. an instance of questioning
n. the subject matter at issue
n. a sentence of inquiry that asks for a reply
n. an informal reference to a marriage proposal"
