enhance environmental awareness,none
environmental protection,none
keep ecological balance,none
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
environment-friendly region,none
eco-agriculture,none
ecotourism,n. tourism to exotic or threatened ecosystems to observe wildlife or to help preserve nature
nature reserve,none
sustainable development strategy,none
wind and sand breaks,none
pleasant living environment,none
save energy,none
reduce the emission of greenhouse gases,none
slow down the rate of resource degradation,none
environment-friendly products,none
global warming,none
low carbon economy,none
clean renewable energy,none
nuclear energy,none
solar energy,none
high-power electrical appliance,none
carbon dioxide,none
climate change,none
environmental deterioration,none
deforestation,"n. the state of being clear of trees
n. the removal of trees"
protect forests from overexploitation,none
water and soil erosion,none
desertification,n. the gradual transformation of habitable land into desert; is usually caused by climate change or by destructive use of the land
population growth,none
wildlife protection,none
endangered species,none
wild species,none
commercial fishing,none
overfishing,none
reckless exploitation,none
natural disasters,none
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
destructive and disastrous earthquake,none
sandstorm,n a windstorm that lifts up clouds of dust or sand
sand dune,none
sand hill,none
drought,"n. a shortage of rainfall
n. a prolonged shortage"
flood,"n. the rising of a body of water and its overflowing onto normally dry land
n. an overwhelming number or amount
n. light that is a source of artificial illumination having a broad beam; used in photography
n. a large flow"
snowstorm,n a storm with widespread snowfall accompanied by strong winds
"""the-polluters-pay"" policy",none
law enforcement inspection,none
undertake treatment within a prescribed limit of time,none
white pollution,none
limit the use of disposable plastic bags,none
ban the use of disposable plastic bags,none
prohibit the use of disposable plastic bags,none
throwaway bio-degradable plastic bags,none
disposable chopsticks,none
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
garbage classification,none
throw,"n. the act of throwing (propelling something with a rapid movement of the arm and wrist)
n. a single chance or instance
n. the maximum movement available to a pivoted or reciprocating piece by a cam
n. bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
trash,"n. worthless people
v. dispose of (something useless or old)"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
decontamination of urban refuse,none
refuse landfill,none
three types of wastes,none
waste water,n water mixed with waste matter
waste gas,none
solid waste,none
industrial waste,none
toxic waste,none
multipurpose use,none
water resource conservation zone,none
sewage treatment,none
centralized treatment plant,none
recycled water,none
air pollution concentration,none
motor vehicle exhaust,none
exhaust purifier,none
lead-free gasoline,none
gas-fueled vehicles,none
cell-driven vehicles,none
small-engine vehicles,none
industrial dust discharge,none
soot emissions,none
fossil fuels,none
coal,"n. fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
v. supply with coal
v. take in coal"
oil and natural gas,none
bachelor's degree,none
master's degree,none
doctor's degree,none
acquire degree,none
arts,"n studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills)
n the products of human creativity; works of art collectively
n the creation of beautiful or significant things
n a superior skill that you can learn by study and practice and observation
n photographs or other visual representations in a printed publication"
science,n. a particular branch of scientific knowledge
Master of Arts,none
MA,n. informal terms for a mother
Master of Science,none
MS,n. a form of address for a woman
Master of Business Administration,none
MBA,n a master's degree in business
Master of Public Administration,none
MPA,none
Master of Engineering,none
ME,n a state in New England
Master of Professional Accounting,none
MPAcc,none
Master of Science in Finance,none
MSF,none
nursery,n. a child's room for a baby
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
primary school,none
elementary school,none
middle school,none
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
higher education,none
college students,none
university students,none
college graduates,none
university graduates,none
business school,none
law school,none
graduate school,none
professor,n. someone who is a member of the faculty at a college or university
faculty,n. one of the inherent cognitive or perceptual powers of the mind
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
teaching facilities,none
dining hall,none
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
elective course,none
optional course,none
tuition fees and other expenses,none
life-long education,none
education for all-round development,none
compulsory education,none
exam-oriented education,none
adult education,none
theoretical knowledge,none
practical skills,none
information era,none
era of knowledge explosion,none
affect school achievements,none
skip classes,none
academic performance,none
academic atmosphere,none
broaden one's horizon,none
stimulate one's interest,none
tap one's potential,none
reduce study load,none
separation between liberal arts and science,none
relaxing college life,none
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
apply for admission to ...,none
apply for admission into ...,none
College Entrance Examination,none
National Entrance Test for MA Candidates,none
National Entrance Test for MS Candidates,none
job market,none
employer,n. a person or firm that employs workers
employee,n. a worker who is hired to perform a job
vocational training,none
cultural exchanges,none
cultural blending,none
cultural integration,none
traditional Chinese culture,none
Confucianism,n. the teachings of Confucius emphasizing love for humanity; high value given to learning and to devotion to family (including ancestors); peace; justice; influenced the traditional culture of China
Buddhism,"n. a religion represented by the many groups (especially in Asia) that profess various forms of the Buddhist doctrine and that venerate Buddha
n. the teaching of Buddha that life is permeated with suffering caused by desire, that suffering ceases when desire ceases, and that enlightenment obtained through right conduct and wisdom and meditation releases one from desire and suffering and rebirth"
Daoism,n. philosophical system developed by Lao-tzu and Chuang-tzu advocating a simple honest life and noninterference with the course of natural events
Taoism,"n. a Chinese sect claiming to follow the teaching of Lao-tzu but incorporating pantheism and sorcery in addition to Taoism
n. religion adhering to the teaching of Lao-tzu
n. popular Chinese philosophical system based in teachings of Lao-tzu but characterized by a pantheism of many gods and the practices of alchemy and divination and magic"
Peking Opera,none
Chinese calligraphy,none
western cultures,none
Enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
humanism,"n. the doctrine emphasizing a person's capacity for self-realization through reason; rejects religion and the supernatural
n. the cultural movement of the Renaissance; based on classical studies"
post-modernism,n. genre of art and literature and especially architecture in reaction against principles and practices of established modernism
multi-cultures,none
pluralistic cultures,none
mosaic cultures,none
cultural diversity,none
preserve and cherish,none
absorb its essence and resist its dark side,none
promote cultural development positively,none
splendid and glorious cultural heritage,none
splendid and glorious cultural legacy,none
splendid and glorious cultural relics,none
keep pace with times,none
cross-cultural communication,none
cultural differences,none
cultural traditions,none
human civilization,none
spiritual civilization,none
mainstream culture,none
interpretation of classics,none
popular culture,none
the pervasive advertisements on TV,none
idol worship,none
web addiction,none
Internet addiction,none
virtual life,none
making friends online,none
chatting on the Internet,none
online gossip,none
online shopping,none
group buying,none
group purchase,none
the Internet supervision,none
the Internet violence,none
irresponsible remarks,none
buy lottery tickets,none
electronic games,none
digital products,none
text message,none
junk message,none
mobile phone subscription,none
self-dependence,none
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
only child,none
fierce competition,none
boomerang kids,none
NEET,none
Not currently engaged in Education,none
Employment or Training,none
reap without sowing,none
make constant efforts,none
never give up,none
never stop making progress,none
achieve success,none
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
striving spirit,none
outlook of life,none
world outlook,none
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
patience,n. good-natured tolerance of delay or incompetence
prudence,n. discretion in practical affairs
self-confidence,n freedom from doubt; belief in yourself and your abilities
modesty,"n. freedom from vanity or conceit
n. formality and propriety of manner"
lack of confidence,none
exaggerate difficulties,none
overestimate difficulties,none
underestimate one's abilities,none
teamwork,n. cooperative work done by a team (especially when it is effective)
team spirit,none
cooperate with others,none
joint efforts,none
cooperative efforts,none
help each other,none
keep optimistic,none
pessimism,"n. the feeling that things will turn out badly
n. a general disposition to look on the dark side and to expect the worst in all things"
be pessimistic,none
positive attitude,none
benevolence,"n. disposition to do good
n. an inclination to do kind or charitable acts
n. an act intending or showing kindness and good will"
physical health,none
mental health,none
mental fitness,none
psychological health,none
psychological fitness,none
health concern,none
sub-health,none
public health,none
state of mind,none
physical exercises,none
well-balanced diet,none
junk food,none
go on a diet,none
provide medical services,none
sacrifice health,none
short-term economic benefits,none
total tobacco ban,none
illness,n. impairment of normal physiological function affecting part or all of an organism
disease,n. an impairment of health or a condition of abnormal functioning
chronic disease,none
infectious disease,none
alcoholism,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
cancer,"n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
n. (astrology) a person who is born while the sun is in Cancer
n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
n. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22"
reform of medical system,none
