abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
insane,a. afflicted with or characteristic of mental derangement
barter,"n. an equal exchange
v. exchange goods without involving money"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
abolish,v. do away with
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
perimeter,n. a line enclosing a plane areas
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
relentless,"s not to be placated or appeased or moved by entreaty
s never-ceasing"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
deliberate,s. carefully thought out in advance
widespread,s. widely circulated or diffused
provided,"v give something useful or necessary to
v give what is desired or needed, especially support, food or sustenance
v determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v mount or put up
v make a possibility or provide opportunity for; permit to be attainable or cause to remain
v supply means of subsistence; earn a living
v take measures in preparation for"
grouchy,s annoyed and irritable
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
transmute,v. alter the nature of (elements)
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
dizzy,"v. make dizzy or giddy
s. having or causing a whirling sensation; liable to falling"
gadget,n a device or control that is very useful for a particular job
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
burst,"n. a sudden flurry of activity (often for no obvious reason)
v. come open suddenly and violently, as if from internal pressure
v. move suddenly, energetically, or violently
v. emerge suddenly"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
irrigate,"v. supply with a constant flow or sprinkling of some liquid, for the purpose of cooling, cleansing, or disinfecting"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
foresight,n. providence by virtue of planning prudently for the future
premiere,n. the first public performance of a play or movie
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
solicitous,"s. full of anxiety and concern
s. showing hovering attentiveness"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
onslaught,n. a sudden and severe onset of trouble
hasty,"s. excessively quick
s. done with very great haste and without due deliberation"
denial,"n. the act of refusing to comply (as with a request)
n. the act of asserting that something alleged is not true
n. (psychiatry) a defense mechanism that denies painful thoughts"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
bigoted,s. blindly and obstinately attached to some creed or opinion and intolerant toward others
jagged,s. having a sharply uneven surface or outline
