aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
abeyance,n. temporary cessation or suspension
abstemious,"a. sparing in consumption of especially food and drink
s. marked by temperance in indulgence"
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
alacrity,n. liveliness and eagerness
alleviate,"v provide physical relief, as from pain
v make easier"
amalgamate,s. joined together into a whole
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambivalence,n. mixed feelings or emotions
ameliorate,"v to make better
v get better"
anachronism,"n. something located at a time when it could not have existed or occurred
n. an artifact that belongs to another time
n. a person who seems to be displaced in time; who belongs to another age"
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
anomalous,s. deviating from the general or common order or type
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
approbation,"n. official approval
n. official recognition or approval"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
arcane,s. requiring secret or mysterious knowledge
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
artless,"a. simple and natural; without cunning or deceit
s. showing lack of art
s. (of persons) lacking art or knowledge"
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
aspersion,"n. a disparaging remark
n. an abusive attack on a person's character or good name
n. the act of sprinkling water in baptism (rare)"
assiduous,s. marked by care and persistent effort
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
aver,"v report or maintain
v to declare or affirm solemnly and formally as true"
banal,s. repeated too often; overfamiliar through overuse
belie,"v be in contradiction with
v represent falsely"
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
bombastic,s. ostentatiously lofty in style
boorish,s. ill-mannered and coarse and contemptible in behavior or appearance
burgeon,v. grow and flourish
burnish,"n the property of being smooth and shiny
v polish and make shiny"
buttress,"n. a support usually of stone or brick; supports the wall of a building
v. reinforce with a buttress
v. make stronger or defensible"
cacophonous,a. having an unpleasant sound
cant,"n. insincere talk about religion or morals
v. heel over"
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
castigation,"n. a severe scolding
n. verbal punishment"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
causality,n. the relation between causes and effects
chicanery,n the use of tricks to deceive someone (usually to extract money from them)
coagulate,s. transformed from a liquid into a soft semisolid or solid mass
commensurate,a. corresponding in size or degree or extent
compendium,n. a concise but comprehensive summary of a larger work
complaisant,s. showing a cheerful willingness to do favors for others
conciliatory,a. intended to placate
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
confound,"v be confusing or perplexing to; cause to be unable to think clearly
v mistake one thing for another"
contentious,"s. inclined or showing an inclination to dispute or disagree, even to engage in law suits
s. involving or likely to cause controversy"
conundrum,n a difficult problem
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
cosmology,"n. the metaphysical study of the origin and nature of the universe
n. the branch of astrophysics that studies the origin and evolution and structure of the universe"
craven,s. lacking even the rudiments of courage; abjectly fearful
credence,n. the mental attitude that something is believable and should be accepted as true
decorum,n. propriety in manners and conduct
deference,"n. a courteous expression (by word or deed) of esteem or regard
n. courteous regard for people's feelings"
delineate,"v. trace the shape of
v. describe in vivid detail"
demotic,"n. a simplified cursive form of the ancient hieratic script
a. of or written in or belonging to the form of modern Greek based on colloquial use
s. of or for the common people"
demur,"n. (law) a formal objection to an opponent's pleadings
v. take exception to
v. enter a demurrer"
denigrate,"v cause to seem less serious; play down
v charge falsely or with malicious intent; attack the good name and reputation of someone"
denouement,"n. the outcome of a complex sequence of events
n. the final resolution of the main complication of a literary or dramatic work"
derivative,"n. a compound obtained from, or regarded as derived from, another compound
n. (linguistics) a word that is derived from another word
s. resulting from or employing derivation"
desiccate,"v preserve by removing all water and liquids from
v remove water from
v lose water or moisture
s lacking vitality or spirit; lifeless"
desultory,s. marked by lack of definite plan or regularity or purpose; jumping from one thing to another
diatribe,n thunderous verbal attack
dichotomy,n. being twofold; a classification into two opposed parts or subclasses
diffidence,n. lack of self-confidence
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
disabuse,v. free somebody (from an erroneous belief)
discordant,"a. not in agreement or harmony
s. lacking in harmony"
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
discrete,s. constituting a separate entity or part
disingenuous,a. not straightforward or candid; giving a false appearance of frankness
disinterested,s. unaffected by self-interest
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
disparage,v. express a negative opinion of
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
dissemble,"v. hide under a false appearance
v. behave unnaturally or affectedly"
disseminate,v cause to become widely known
dissolution,"n. separation into component parts
n. the termination or disintegration of a relationship (between persons or nations)"
dissonance,n. disagreeable sounds
doctrinaire,s. stubbornly insistent on theory without regard for practicality or suitability
dogmatic,"s. characterized by assertion of unproved or unprovable principles
a. of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative
a. relating to or involving dogma"
ebullient,s. joyously unrestrained
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
effete,s marked by excessive self-indulgence and moral decay
efficacy,n. capacity or power to produce a desired effect
effrontery,n audacious (even arrogant) behavior that you have no right to
elegy,n. a mournful poem; a lament for the dead
elicit,v. derive by reason
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
empirical,a. derived from experiment and observation rather than theory
