blink,"n. a reflex that closes and opens the eyes rapidly
v. briefly shut the eyes"
boss,"n. a person responsible for hiring workers
n. a person who exercises control and makes decisions
s. exceptionally good"
cowboy,"n. a hired hand who tends cattle and performs other duties on horseback
n. a performer who gives exhibitions of riding and roping and bulldogging
n. someone who is reckless or irresponsible (especially in driving vehicles)"
for now,none
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
pm,"n an examination and dissection of a dead body to determine cause of death or the changes produced by disease
n a soft silvery metallic element of the rare earth group having no stable isotope; was discovered in radioactive form as a fission product of uranium
n the person who holds the position of head of the government in the United Kingdom
n modulation of the phase of the carrier wave"
pony,"n. a range horse of the western United States
n. an informal term for a racehorse
n. a literal translation used in studying a foreign language (often used illicitly)
n. any of various breeds of small gentle horses usually less than five feet high at the shoulder"
really,"r in accordance with truth or fact or reality
r in actual fact
r in fact (used as intensifiers or sentence modifiers)
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
auntie,n the sister of your father or mother; the wife of your uncle
Australia Day,none
Australian,"n. a native or inhabitant of Australia
n. the Austronesian languages spoken by Australian aborigines
a. of or relating to or characteristic of Australia or its inhabitants or its languages"
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
Canberra,n. the capital of Australia; located in southeastern Australia
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
fact,"n. a piece of information about circumstances that exist or events that have occurred
n. a statement or assertion of verified information about something that is the case or has happened
n. an event known to have happened or something known to have existed
n. a concept whose truth can be proved"
friendly,"n. troops belonging to or allied with your own military forces
a. characteristic of or befitting a friend
s. inclined to help or support; not antagonistic or hostile
a. easy to understand or use"
koala,n. sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
sixth,"n. position six in a countable series of things
n. the musical interval between one note and another six notes away from it
s. coming next after the fifth and just before the seventh in position"
Spring Festival,none
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
celery,"n. widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked
n. stalks eaten raw or cooked or used as seasoning"
cherry,"n. wood of any of various cherry trees especially the black cherry
n. any of numerous trees and shrubs producing a small fleshy round fruit with a single hard stone; many also produce a valuable hardwood
n. a red fruit with a single hard stone"
corn-on-the-cob,none
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
glass,"n. a brittle transparent solid with irregular atomic structure
n. a container for holding liquids while drinking
n. the quantity a glass will hold
n. glassware collectively"
habit,"n. an established custom
n. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
n. a distinctive attire worn by a member of a religious order
n. the general form or mode of growth (especially of a plant or crystal)"
health,"n. a healthy state of wellbeing free from disease
n. the general condition of body and mind"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
kind,"n. a category of things distinguished by some common characteristic or quality
a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
s. agreeable, conducive to comfort
s. tolerant and forgiving under provocation"
look after,none
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
not ... at all,none
own,"v. have ownership or possession of
s. belonging to or on behalf of a specified person (especially yourself); preceded by a possessive"
plenty,n. a full supply
plenty of,none
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
string bean,none
sugar,"n. a white crystalline carbohydrate used as a sweetener and preservative
v. sweeten with sugar"
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
weight,"n. the vertical force exerted by a mass as a result of gravity
n. sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n. the relative importance granted to something
n. an artifact that is heavy"
whole grains,plural of wholegrain
diary,"n. a daily written record of (usually personal) experiences and observations
n. a personal journal (as a physical object)"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
flavour,"n the general atmosphere of a place or situation and the effect that it has on people
n (physics) the six kinds of quarks
n the taste experience when a savoury condiment is taken into the mouth
v lend flavor to"
gentleman,n. a man of refinement
guide,"n. someone who shows the way by leading or advising
n. a structure or marking that serves to direct the motion or positioning of something
v. be a guiding or motivating force or drive
v. use as a guide"
horrible,s provoking horror
lady,"n. a polite name for any woman
n. a woman of the peerage in Britain"
rope,"n. a strong line
v. fasten with a rope"
saying,n. a word or phrase that particular people use in particular situations
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
strawberry,"n. sweet fleshy red fruit
n. any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry
n. a soft red birthmark"
tour,"n. a journey or route all the way around a particular place or area
v. make a tour of a certain place"
vanilla,"n. any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers
n. a flavoring prepared from vanilla beans macerated in alcohol (or imitating vanilla beans)
n. a distinctive fragrant flavor characteristic of vanilla beans"
almost,r (of actions or states) slightly short of or not quite accomplished; all but
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
blind,"n. people who have severe visual impairments, considered as a group
n. a hiding place sometimes used by hunters (especially duck hunters)
n. a protective covering that keeps things out or hinders sight
v. render unable to see"
brave,"n. a North American Indian warrior
n. people who are brave
a. possessing or displaying courage; able to face and deal with danger or fear without flinching
s. brightly colored and showy"
camp,"n. temporary living quarters specially built by the army for soldiers
n. a group of people living together in a camp
n. temporary lodgings in the country for travelers or vacationers
n. a penal institution (often for forced labor)"
college,"n. the body of faculty and students of a college
n. an institution of higher education created to educate and grant degrees; often a part of a university
n. a complex of buildings in which an institution of higher education is housed"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
dead,"n. people who are no longer living
n. a time when coldness (or some other quality associated with death) is intense
a. no longer having or seeming to have or expecting to have life
a. not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"
deer,n. distinguished from Bovidae by the male's having solid deciduous antlers
die,"n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
n. a device used for shaping metal
n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods
v. pass from physical life and lose all bodily attributes and functions necessary to sustain life"
everything,"n. Whatever pertains to the subject under consideration;
   all things."
fight,"n. the act of fighting; any contest or struggle
n. an intense verbal dispute
n. a boxing or wrestling match
v. fight against or resist strongly"
footballer,n an athlete who plays American football
forest,"n. the trees and other plants in a large densely wooded area
n. land that is covered with trees and shrubs"
heart,"n. the locus of feelings and intuitions
n. the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body
n. the courage to carry on
n. an inclination or tendency of a certain kind"
hold on,none
hybrid rice,none
king,"n. a male sovereign; ruler of a kingdom
n. a competitor who holds a preeminent position
n. preeminence in a particular category or group or field
n. United States woman tennis player (born in 1943)"
leave,"n. the period of time during which you are absent from work or duty
n. permission to do something
v. go away from a place
v. go and leave behind, either intentionally or by neglect or forgetfulness"
move,"n. the act of deciding to do something
n. the act of changing your residence or place of business
n. (game) a player's turn to take some action permitted by the rules of the game
v. cause to move or shift into a new position or place, both in a concrete and in an abstract sense"
Nottingham,none
shy,"n. a quick throw
v. start suddenly, as from fright
v. throw quickly
s. short"
soldier,"n. an enlisted man or woman who serves in an army
n. a wingless sterile ant or termite having a large head and powerful jaws adapted for defending the colony
v. serve as a soldier in the military"
the poor,none
wise,"n. a way of doing or being
n. United States Jewish leader (born in Hungary) (1874-1949)
n. United States religious leader (born in Bohemia) who united reform Jewish organizations in the United States (1819-1900)
a. having or prompted by wisdom or discernment"
woman,"n. an adult female person (as opposed to a man)
n. a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man"
writer,"n. writes (books or stories or articles or the like) professionally (for pay)
n. a person who is able to write and has written something"
young,"n. any immature animal
n. United States film and television actress (1913-2000)
n. United States civil rights leader (1921-1971)
n. British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)"
bookworm,n. someone who spends a great deal of time reading
California,n. a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
celebrate,v. have a celebration
competition,"n. a business relation in which two parties compete to gain customers
n. the act of competing as for profit or a prize"
heroine,"n. the main good female character in a work of fiction
n. a woman possessing heroic qualities or a woman who has performed heroic deeds"
hood,"n. an aggressive and violent young criminal
n. a protective covering that is part of a plant
n. (slang) a neighborhood
n. a tubular attachment used to keep stray light out of the lens of a camera"
joy,"n. the emotion of great happiness
n. something or someone that provides a source of happiness"
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
Sherwood Forest,none
shock,"n. the violent interaction of individuals or groups entering into combat
n. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor
n. an instance of agitation of the earth's crust
n. an unpleasant or disappointing surprise"
Spiderman,none
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
win,"n. a victory (as in a race or other competition)
v. be the winner in a contest or competition; be victorious"
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
enough,"n. an adequate quantity; a quantity that is large enough to achieve a purpose
r. as much as necessary; (`plenty' is nonstandard) ""I've had plenty, thanks"""
every now and then,none
glad,"a. showing or causing joy and pleasure; especially made happy
s. eagerly disposed to act or to be of service
s. feeling happy appreciation"
ocean,"n. a large body of water constituting a principal part of the hydrosphere
n. anything apparently limitless in quantity or volume"
owl,n. nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
robot,n a mechanism that can move automatically
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
wish,"n. a specific feeling of desire
n. an expression of some desire or inclination
n. the particular preference that you have
v. hope for; have a wish"
become,"v. enter or assume a certain state or condition
v. undergo a change or development
v. come into existence
v. enhance the appearance of"
colourful,"a striking in variety and interest
a having striking color"
Dunvegan Castle,none
Edinburgh,n. the capital of Scotland; located in the Lothian Region on the south side of the Firth of Forth
Glasgow,n. largest city in Scotland; a port on the Clyde in west central Scotland; one of the great shipbuilding centers of the world
goldfish,n. small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
gun,"n. a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
n. the discharge of a firearm as signal or as a salute in military ceremonies
v. shoot with a gun"
hiding,n. the state of being hidden
Loch Ness,none
Nessie,n a large aquatic animal supposed to resemble a serpent or plesiosaur of Loch Ness in Scotland
