aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
aberration,"n. a disorder in one's mental state
n. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image"
abjure,"v. formally reject or disavow a formerly held belief, usually under pressure"
aboveboard,s. without concealment or deception; honest
abrogate,v. revoke formally
abstain,"v. refrain from voting
v. choose not to consume"
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accolade,n a tangible symbol signifying approval or distinction
acerbic,"s sour or bitter in taste
s harsh or corrosive in tone"
acme,n. the highest level or degree attainable; the highest stage of development
acrimony,n a rough and bitter manner
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
admonish,v. take to task
admonitory,"s. serving to warn
s. expressing reproof or reproach especially as a corrective"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
aesthete,n one who professes great sensitivity to the beauty of art and nature
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
affable,s. diffusing warmth and friendliness
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
alacrity,n. liveliness and eagerness
altruism,n. the quality of unselfish concern for the welfare of others
amalgam,"n. an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
n. a combination or blend of diverse things"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambivalent,s. uncertain or unable to decide about what course to follow
ameliorate,"v to make better
v get better"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amiable,s. disposed to please
amok,"r. wildly; without self-control
r. in a murderous frenzy"
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
amply,"r. to an ample degree or in an ample manner
r. sufficiently; more than adequately"
anachronism,"n. something located at a time when it could not have existed or occurred
n. an artifact that belongs to another time
n. a person who seems to be displaced in time; who belongs to another age"
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
anemic,"s. lacking vigor or energy
a. relating to anemia or suffering from anemia"
animosity,n. a feeling of ill will arousing active hostility
anodyne,"n a medicine used to relieve pain
s capable of relieving pain"
anomalous,s. deviating from the general or common order or type
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
antedate,"v be earlier in time; go back further
v establish something as being earlier relative to something else"
antic,"n. a ludicrous or grotesque act done for fun and amusement
s. ludicrously odd"
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
antithetical,s sharply contrasted in character or purpose
apathetic,"s. showing little or no emotion or animation
s. marked by a lack of interest; it is simply indifferent"""
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
aphorism,n. a short pithy instructive saying
aphoristic,s. terse and witty and like a maxim
aplomb,n. great coolness and composure under strain
apocryphal,"s. being of questionable authenticity
a. of or belonging to the Apocrypha"
apogee,"n. a final climactic stage
n. apoapsis in Earth orbit; the point in its orbit where a satellite is at the greatest distance from the Earth"
apostate,s. not faithful to religion or party or cause
apothegm,n a short pithy instructive saying
apotheosis,"n model of excellence or perfection of a kind; one having no equal
n the elevation of a person (as to the status of a god)"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
appreciable,s. enough to be estimated or measured
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
approbatory,s expressing or manifesting praise or approval
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
appurtenant,s furnishing added support
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arcane,s. requiring secret or mysterious knowledge
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
archaic,s. little evolved from or characteristic of an earlier ancestral type
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
arrant,s. without qualification; used informally as (often pejorative) intensifiers
arriviste,n a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class
arrogate,v. make undue claims to having
artful,a. marked by skill in achieving a desired end especially with cunning or craft
artifice,n a deceptive maneuver (especially to avoid capture)
artless,"a. simple and natural; without cunning or deceit
s. showing lack of art
s. (of persons) lacking art or knowledge"
ascendancy,n the state that exists when one person or group has power over another
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
ascribe,v attribute or credit to
askance,"s. (used especially of glances) directed to one side with or as if with doubt or suspicion or envy
r. with suspicion or disapproval
r. with a side or oblique glance"
asperity,"n. something hard to endure
n. harshness of manner"
assail,v. attack someone physically or emotionally
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
atavism,n. a reappearance of an earlier characteristic
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
audacity,"n. fearless daring
n. aggressive boldness or unmitigated effrontery"
augment,"v. enlarge or increase
v. grow or intensify"
auspicious,a. auguring favorable circumstances and good luck
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
autocratic,s. offensively self-assured or given to exercising usually unwarranted power
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
avaricious,s. immoderately desirous of acquiring e.g. wealth
avert,v. turn away or aside
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
baleful,"s. deadly or sinister
s. threatening or foreshadowing evil or tragic developments"
assiduous,s. marked by care and persistent effort
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
balk,"n. the area on a billiard table behind the balkline
n. an illegal pitching motion while runners are on base"
banal,s. repeated too often; overfamiliar through overuse
banality,n a trite or obvious remark
banish,"v. expel from a community or group
v. ban from a place of residence, as for punishment
v. expel, as if by official decree
v. drive away"
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
bastardization,"n. declaring or rendering bastard
n. an act that debases or corrupts"
beatific,s. experiencing or bestowing celestial joy
becoming,"s. according with custom or propriety
s. displaying or setting off to best advantage"
beg,"v. call upon in supplication; entreat
v. ask to obtain free
v. dodge, avoid answering, or take for granted"
begrudge,v. wish ill or allow unwillingly
belie,"v be in contradiction with
v represent falsely"
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
bellicose,s having or showing a ready disposition to fight
belligerent,s. engaged in war
bemoan,v regret strongly
benighted,"s. overtaken by night or darkness
s. lacking enlightenment or knowledge or culture"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bereft,s. unhappy in love; suffering from unrequited love
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
besmirch,"v charge falsely or with malicious intent; attack the good name and reputation of someone
v smear so as to make dirty or stained"
besotted,s. very drunk
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
bilious,"a. relating to or containing bile
s. suffering from or suggesting a liver disorder or gastric distress"
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
bleak,s. unpleasantly cold and damp
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
boon,s. very close and convivial
boorish,s. ill-mannered and coarse and contemptible in behavior or appearance
bowdlerize,v. edit by omitting or modifying parts considered indelicate
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
bristle,"n. a stiff fiber (coarse hair or filament); natural or synthetic
n. a stiff hair
v. rise up as in fear
v. have or be thickly covered with or as if with bristles"
broadside,"n. all of the armament that is fired from one side of a warship
n. the whole side of a vessel from stem to stern
n. the simultaneous firing of all the armament on one side of a warship"
bromide,n. any of the salts of hydrobromic acid; formerly used as a sedative but now generally replaced by safer drugs
brook,n. a natural stream of water smaller than a river (and often a tributary of a river)
browbeat,v. discourage or frighten with threats or a domineering manner; intimidate
buck,"n. United States author whose novels drew on her experiences as a missionary in China (1892-1973)
n. mature male of various mammals (especially deer or antelope)
v. to strive with determination
v. resist"
bucolic,a. relating to shepherds or herdsmen or devoted to raising sheep or cattle
bumbling,"s. lacking physical movement skills, especially with the hands"
burgeon,v. grow and flourish
buttress,"n. a support usually of stone or brick; supports the wall of a building
v. reinforce with a buttress
v. make stronger or defensible"
Byzantine,"n. a native or inhabitant of Byzantium or of the Byzantine Empire
a. of or relating to the Eastern Orthodox Church or the rites performed in it
a. of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium"
cadaverous,a. of or relating to a cadaver or corpse
callow,s young and inexperienced
calumny,"n a false accusation of an offense or a malicious misrepresentation of someone's words or actions
n an abusive attack on a person's character or good name"
canard,n. a deliberately misleading fabrication
candid,"s. informal or natural; especially caught off guard or unprepared
s. openly straightforward and direct without reserve or secretiveness"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
capitulate,v. surrender under agreed conditions
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
carping,"n persistent petty and unjustified criticism
v raise trivial objections"
castigate,v. inflict severe punishment on
cataclysm,"n a sudden violent change in the earth's surface
n an event resulting in great loss and misfortune"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
Cavalier,"n. a gallant or courtly gentleman
n. a royalist supporter of Charles I during the English Civil War
s. given to haughty disregard of others"
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
celerity,n. a rate that is rapid
censor,"n. someone who censures or condemns
n. a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable
v. subject to political, religious, or moral censorship"
censure,n. harsh criticism or disapproval
cerebral,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain"
chagrin,n. strong feelings of embarrassment
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
charlatan,n a flamboyant deceiver; one who attracts customers with tricks or jokes
chary,s characterized by great caution and wariness
chastise,v. censure severely
chauvinism,n. fanatical patriotism
chauvinist,"n. a person with a prejudiced belief in the superiority of his or her own kind
n. an extreme bellicose nationalist"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
checkered,s. marked by changeable fortune
chimera,"n. (Greek mythology) fire-breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon
n. a grotesque product of the imagination"
chivalrous,s. being attentive to women like an ideal knight
choleric,"s. easily moved to anger
s. quickly aroused to anger
s. characterized by anger"
chortle,n. a soft partly suppressed laugh
churlish,"s. rude and boorish
s. having a bad disposition; surly"
circumscribe,"v. draw a line around
v. to draw a geometric figure around another figure so that the two are in contact but do not intersect"
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
clemency,n. leniency and compassion shown toward offenders by a person or agency charged with administering justice
coalesce,v. fuse or cause to grow together
cogent,s. powerfully persuasive
cohesive,"s. causing cohesion
s. cohering or tending to cohere; well integrated"
collusion,n. secret agreement
colossal,s. so great in size or force or extent as to elicit awe
commendable,"s worthy of high praise
r in an admirable manner"
commensurate,a. corresponding in size or degree or extent
complacent,s. contented to a fault with oneself or one's actions
complaisant,s. showing a cheerful willingness to do favors for others
complementary,s. of words or propositions so related that each is the negation of the other
complicit,none
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
conciliate,"v cause to be more favorably inclined; gain the good will of
v come to terms
v make (one thing) compatible with (another)"
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
conducive,s. tending to bring about; being partly responsible for
conflagration,n. a very intense and uncontrolled fire
behoove,v. be appropriate or necessary
brusque,s. marked by rude or peremptory shortness
conflate,v mix together different elements
confound,"v be confusing or perplexing to; cause to be unable to think clearly
v mistake one thing for another"
connive,v. encourage or assent to illegally or criminally
consecrate,v. render holy by means of religious rites
conspicuous,a. obvious to the eye or mind
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
construe,v make sense of; assign a meaning to
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
contemptuous,s. expressing extreme contempt
contentious,"s. inclined or showing an inclination to dispute or disagree, even to engage in law suits
s. involving or likely to cause controversy"
contingent,"n. a gathering of persons representative of some larger group
n. a temporary military unit
s. possible but not certain to occur
s. determined by conditions or circumstances that follow"
contrite,s. feeling or expressing pain or sorrow for sins or offenses
contrition,n sorrow for sin arising from fear of damnation
contrive,"v make or work out a plan for; devise
v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v put or send forth"
conundrum,n a difficult problem
convivial,s. occupied with or fond of the pleasures of good company
