apocryphal,"s. being of questionable authenticity
a. of or belonging to the Apocrypha"
arcane,s. requiring secret or mysterious knowledge
convene,v. meet formally
expedient,"n. a means to an end; not necessarily a principled or ethical one
a. serving to promote your interest
s. appropriate to a purpose; practical"
exude,"v. release (a liquid) in drops or small quantities
v. make apparent by one's mood or behavior"
gesticulate,"v. show, express or direct through movement"
imperturbable,s. not easily perturbed or excited or upset; marked by extreme calm and composure
increment,"n a process of becoming larger or longer or more numerous or more important
n the amount by which something increases"
levity,"n. feeling an inappropriate lack of seriousness
n. a manner lacking seriousness"
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
periphery,n. the outside boundary or surface of something
raconteur,n a person skilled in telling anecdotes
reiterate,"v to say, state, or perform again"
subterfuge,n. something intended to misrepresent the true nature of an activity
vacillate,"v be undecided about something; waver between conflicting positions or courses of action
v move or sway in a rising and falling or wavelike pattern"
accoutrements,"n clothing that is worn or carried, but not part of your main clothing"
aggrieved,"v infringe on the rights of
v cause to feel sorrow"
choleric,"s. easily moved to anger
s. quickly aroused to anger
s. characterized by anger"
comport,"v behave well or properly
v behave in a certain manner"
disconcert,"v cause to feel embarrassment
v cause to lose one's composure"
fauna,n. all the animal life in a particular region or period
interpose,"v. be or come between
v. introduce"
maraud,v. raid and rove in search of booty
modicum,n. a small or moderate or token amount
opulent,s rich and superior in quality
patrician,"n. a person of refined upbringing and manners
s. befitting a person of noble origin"
phlegmatic,s. showing little emotion
propensity,"n an inclination to do something
n a natural inclination
n a disposition to behave in a certain way"
therapeutic,a. relating to or involved in therapy
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
atrophy,"n. a decrease in size of an organ caused by disease or disuse
n. any weakening or degeneration (especially through lack of use)
v. undergo atrophy"
efficacy,n. capacity or power to produce a desired effect
emolument,n. compensation received by virtue of holding an office or having employment (usually in the form of wages or fees)
icon,"n. (computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
n. a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church"
incipient,s. only partly in existence; imperfectly formed
inculcate,v. teach and impress by frequent repetitions or admonitions
inestimable,s beyond calculation or measure
lackluster,"s. lacking brilliance or vitality
s. lacking luster or shine"
martinet,n. someone who demands exact conformity to rules and forms
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
regimen,n. (medicine) a systematic plan for therapy (often including diet)
stellar,a. being or relating to or resembling or emanating from stars
stoic,"n. a member of the ancient Greek school of philosophy founded by Zeno
n. someone who is seemingly indifferent to emotions
s. seeming unaffected by pleasure or pain; impassive"
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
zealous,s marked by active interest and enthusiasm
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
circumspect,s. heedful of potential consequences
composure,n. steadiness of mind under stress
edifice,n a structure that has a roof and walls and stands more or less permanently in one place
ensconce,v. fix firmly
environs,n. an outer adjacent area of any place
hapless,s. deserving or inciting pity
heinous,"s extremely wicked, deeply criminal"
incognito,"s. with your identity concealed
r. without revealing one's identity"
indoctrinate,v. teach doctrines to; teach uncritically
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
mausoleum,"n. a large burial chamber, usually above ground"
pillage,"n goods or money obtained illegally
n the act of stealing valuable things from a place
v steal goods; take as spoils"
reverie,"n. absentminded dreaming while awake
n. an abstracted state of absorption"
thrall,n. someone held in bondage
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
accrue,"v. grow by addition
v. come into the possession of"
acquiesce,v to agree or express agreement
besmirch,"v charge falsely or with malicious intent; attack the good name and reputation of someone
v smear so as to make dirty or stained"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
histrionic,s. characteristic of acting or a stage performance; often affected
impropriety,"n. an improper demeanor
n. the condition of being improper"
inveigle,"v influence or urge by gentle urging, caressing, or flattering"
penitent,"n. (Roman Catholic Church) a person who repents for wrongdoing (a Roman Catholic may be admitted to penance under the direction of a confessor)
a. feeling or expressing remorse for misdeeds"
probity,n. complete and confirmed integrity; having strong moral principles
purport,"v. have the often specious appearance of being, intending, or claiming"
repercussion,n. a remote or indirect consequence of some action
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
surfeit,"n. the state of being more than full
v. supply or feed to surfeit
v. indulge (one's appetite) to satiety"
unsavory,a. morally offensive
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
avuncular,"a. resembling a uncle in kindness or indulgence
a. being or relating to an uncle"
convivial,s. occupied with or fond of the pleasures of good company
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
epigram,n. a witty saying
expound,"v add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v state"
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
inveterate,"s habitual
r in a habitual and longstanding manner"
mogul,"n. a bump on a ski slope
n. a member of the Muslim dynasty that ruled India until 1857"
munificent,s very generous
nascent,a. being born or beginning
perspicacious,s. acutely insightful and wise
philistine,"n. a person who is uninterested in intellectual pursuits
n. a member of an Aegean people who settled ancient Philistia around the 12th century BC
a. of or relating to ancient Philistia or its culture or its people"
propitious,a. presenting favorable circumstances; likely to result in or show signs of success
archipelago,n. a group of many islands in a large body of water
careen,v. move sideways or in an unsteady way
cavalier,"n. a gallant or courtly gentleman
n. a royalist supporter of Charles I during the English Civil War
s. given to haughty disregard of others"
contiguous,s. very close or connected in space or time
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
etymology,"n. a history of a word
n. the study of the sources and development of words"
frenetic,s excessively agitated; distraught with fear or other violent emotion
kinetic,"a. relating to the motion of material bodies and the forces associated therewith
s. characterized by motion"
presage,n. a foreboding about what is about to happen
pulverize,"v make into a powder by breaking up or cause to become dust
v destroy completely
v become powder or dust"
recondite,s difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
seismic,s. subject to or caused by an earthquake or earth vibration
