abate,v. become less in amount or intensity
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
devastate,v. overwhelm or overpower
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
evict,"v. expel or eject without recourse to legal process
v. expel from one's property or force to move out by a legal process"
impartial,a. showing lack of favoritism
industrious,"s characterized by hard work and perseverance
s working hard to promote an enterprise"
infuriate,v. make furious
irrelevant,a. having no bearing on or connection with the subject at issue
precise,a. sharply exact or accurate or delimited
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
astute,s. marked by practical hardheaded intelligence
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
delicacy,"n. refined taste; tact
n. smallness of stature
n. subtly skillful handling of a situation"
derogatory,s expressive of low opinion
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
figment,n. a contrived or fantastic idea
mythical,s based on or told of in traditional stories; lacking factual basis or historical validity
plumage,n the light horny waterproof structure forming the external covering of birds
predatory,s. living by preying on other animals especially by catching living prey
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
scavenge,"v. clean refuse from
v. feed on carrion or refuse
v. remove unwanted substances from"
slaughter,"n. the killing of animals (as for food)
n. the savage and excessive killing of many people"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
ungainly,"s lacking grace in movement or posture
s difficult to handle or manage especially because of shape"
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
admonish,v. take to task
aghast,"s. struck with fear, dread, or consternation"
annihilate,v kill in large numbers
benefactor,n. a person who helps people or institutions (especially with financial help)
bestow,v. give as a gift
devious,"s. indirect in departing from the accepted or proper way; misleading
s. characterized by insincerity or deceit; evasive
s. deviating from a straight course"
devoid,s completely wanting or lacking
heed,v. pay close attention to; give heed to
mortal,"a. subject to death
s. unrelenting and deadly"
muse,"n. in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
n. the source of an artist's inspiration"
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
unwitting,a. not aware or knowing
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
