running,"n. the state of being in operation
n. the act of administering or being in charge of something
a. (of fluids) moving or issuing in a stream
s. continually repeated over a period of time"
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
roller skating,-ing form of rollerskate
jumping rope,none
ping-pong,n a game (trademark Ping-Pong) resembling tennis but played on a table with paddles and a light hollow ball
What about ...?,none
interesting,a. arousing or holding the attention
often,r. in many cases or instances
be good at,none
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
friend,"n. a person you know well and regard with affection and trust
n. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
get up,n a set of clothing (with accessories)
visit one's grandparents,none
go to a drawing club,none
climb a hill,none
pick fruit,none
play computer games,none
go fishing,none
go to the cinema,none
on the weekend,none
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
always,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time"
step,"n. the act of changing location by raising the foot and setting it down
n. support consisting of a place to rest the foot while ascending or descending a stairway
n. a short distance
n. a solid block joined to the beams in which the heel of a ship's mast or capstan is fixed"
paint,"n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
v. make a painting
v. apply paint to; coat with paint
v. make a painting of"
evening,"n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n. a later concluding time period
n. the early part of night (from dinner until bedtime) spent in a special way"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
their,"pron. & a. The possessive case of the personal pronoun they;
   as, their houses; their country."
house,"n. a dwelling that serves as living quarters for one or more families
n. the members of a religious community living together
n. the audience gathered together in a theatre or cinema
n. an official assembly having legislative powers"
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
hope,"n. a specific instance of feeling hopeful
n. the general feeling that some desire will be fulfilled
n. someone (or something) on which expectations are centered
n. United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003)"
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
Saturday,n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
usually,r under normal conditions
by bus,none
by boat,none
by ship,none
by car,none
by taxi,none
by bike,none
on foot,none
by school bus,none
by subway,none
by plane,none
by train,none
garden,"n. a plot of ground where plants are cultivated
n. the flowers or vegetables or fruits or herbs that are cultivated in a garden
n. a yard or lawn adjoining a house
v. work in the garden"
meeting place,none
gate,"n. a movable barrier in a fence or wall
n. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
n. total admission receipts at a sports event
n. passageway (as in an air terminal) where passengers can embark or disembark"
transportation,"n. the act of moving something from one location to another
n. the commercial enterprise of moving goods and materials"
