UK,n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
Canada,n. a nation in northern North America; the French were the first Europeans to settle in mainland Canada
USA,"n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
n the army of the United States of America; the agency that organizes and trains soldiers for land warfare"
China,"n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
n. high quality porcelain originally made only in China"
she,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively."
student,n. a learner who is enrolled in an educational institution
pupil,n. the contractile aperture in the center of the iris of the eye; resembles a large black dot
he,n. the 5th letter of the Hebrew alphabet
teacher,"n. a person whose occupation is teaching
n. a personified abstraction that teaches"
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
new,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure"
friend,"n. a person you know well and regard with affection and trust
n. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
today,"n. the present time or age
n. the day that includes the present moment (as opposed to yesterday or tomorrow)
r. on this day as distinct from yesterday or tomorrow"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
dad,n. an informal term for a father; probably derived from baby talk
man,"n. an adult person who is male (as opposed to a woman)
n. the generic use of the word to refer to any human being
n. a male subordinate
n. an adult male person who has a manly character (virile and courageous competent)"
woman,"n. an adult female person (as opposed to a man)
n. a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man"
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
