survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
add up,none
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
calm down,none
calm ... down,none
have got to,none
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
be concerned about,none
walk the dog,none
loose,"a. not compact or dense in structure or arrangement
s. (of a ball in sport) not in the possession or control of any player
a. not tight; not closely constrained or constricted or constricting
s. not tense or taut"
vet,"v. work as a veterinarian
v. examine carefully
v. provide (a person) with medical care
v. provide veterinary care for"
go through,none
Amsterdam,n. an industrial center and the nominal capital of the Netherlands; center of the diamond-cutting industry; seat of an important stock exchange; known for its canals and art museum
Netherlands,n. a constitutional monarchy in western Europe on the North Sea; half the country lies below sea level
Jewish,a. of or relating to Jews or their culture or religion
German,"n. a person of German nationality
n. the standard German language; developed historically from West Germanic
a. of or pertaining to or characteristic of Germany or its people or language"
Nazi,"n. a German member of Adolf Hitler's political party
n. derogatory term for a person who is fanatically dedicated to, or seeks to control, some activity, practice, etc.
a. relating to or consistent with or typical of the ideology and practice of Nazism or the Nazis"
set down,"n. The humbling of a person by act or words, especially by a
   retort or a reproof; the retort or the reproof which has such effect."
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
a series of,none
Kitty,n. informal terms referring to a domestic cat
outdoors,n. where the air is unconfined
spellbind,"v to render motionless, as with a fixed stare or by arousing terror or awe
v attract strongly, as if with a magnet
v put into a trance"
on purpose,none
in order to,none
dusk,v. become dusk
at dusk,none
thunder,"n. a booming or crashing noise caused by air expanding along the path of a bolt of lightning
v. move fast, noisily, and heavily
v. utter words loudly and forcefully
v. be the case that thunder is being heard"
entire,"s. constituting the full quantity or extent; complete
s. (of leaves or petals) having a smooth edge; not broken up into teeth or lobes
s. (used of domestic animals) sexually competent"
entirely,r. without any others being included or involved
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
face to face,"s. in each other's presence
r. within each other's presence
r. directly facing each other"
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
dusty,s. covered with a layer of dust
no longer,none
not ... any longer,none
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
