disability,n. the condition of being unable to perform as a consequence of physical or mental unfitness
disabled,"n. people collectively who are crippled or otherwise physically handicapped
s. incapable of functioning as a consequence of injury or illness"
hearing,"n. (law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
n. an opportunity to state your case and be heard
n. a session (of a committee or grand jury) in which witnesses are called and testimony is taken
n. the ability to hear; the auditory faculty"
eyesight,n. normal use of the faculty of vision
syndrome,"n. a complex of concurrent things
n. a pattern of symptoms indicative of some disease"
infantile paralysis,none
Rosalyn,none
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
dictation,"n. speech intended for reproduction in writing
n. matter that has been dictated and transcribed; a dictated passage"
Sally,n. a venture off the beaten path
noisy,"a. full of or characterized by loud and nonmusical sounds
s. attracting attention by showiness or bright colors"
suitable,s. meant or adapted for an occasion or use
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
beneficial,s. promoting or enhancing well-being
Marty Fielding,none
in other words,none
clumsy,"s lacking grace in movement or posture
s not elegant or graceful in expression
s difficult to handle or manage especially because of shape
s showing lack of skill or aptitude"
bump,"n. a lump on the body caused by a blow
v. knock against with force or violence
v. dance erotically or dance with the pelvis thrust forward"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
adapt,"v. make fit for, or change to suit a new purpose"
adapt to,none
bench,"n. a long seat for more than one person
n. the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively
n. the reserve players on a team
n. (law) the seat for judges in a courtroom"
cut out,"n. a switch that interrupts an electric circuit in the event of an overload
n. a photograph from which the background has been cut away
n. a part that is cut out or is intended to be cut out"
microscope,n. magnifier of the image of small objects
out of breath,none
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
fellow,"n. a member of a learned society
n. an informal form of address for a man"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
annoyed,"s. aroused to impatience or anger
s. troubled persistently especially with petty annoyances"
annoyance,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone"
all in all,none
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
software,n. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
sit around,none
as well as,none
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
tank,"n. an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
n. a large (usually metallic) vessel for holding gases or liquids
n. as much as a tank will hold
v. store in a tank by causing (something) to flow into it"
tortoise,n. usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid area except Australia and Antarctica
in many ways,none
psychology,n. the science of mental life
psychologically,"r. with regard to psychology
r. in terms of psychology"
make fun of,none
encouragement,"n. the expression of approval and support
n. the feeling of being encouraged"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
mainstream,n. the prevailing current of thought
fulfilling,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of
v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
never mind,none
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
abolish,v. do away with
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
resign,v. accept as inevitable
slavery,"n. the practice of owning slaves
n. work done under harsh conditions for little or no pay"
literature,"n. creative writing of recognized artistic value
n. the humanistic study of a body of literature
n. published writings in a particular style on a particular subject
n. the profession or art of a writer"
Barry Minto,none
Mount Kilimanjaro,none
companion,"n. a friend who is frequently in the company of another
n. a traveler who accompanies you
n. one paid to accompany or assist or live with another"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
congratulate,v. express congratulations
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
bowling,"n. a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them
n. (cricket) the act of delivering a cricket ball to the batsman
n. the playing of a game of tenpins or duckpins etc"
graduation,"n. the successful completion of a program of study
n. a line (as on a vessel or ruler) that marks a measurement"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
all the best,none
architect,n. someone who creates plans to be used in making something (such as buildings)
