rocker,"n. an attendant who rocks a child in a cradle
n. a performer or composer or fan of rock music
n. a teenager or young adult in the 1960s who wore leather jackets and rode motorcycles
n. a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold"
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
in rhythm,none
cricket,"n. leaping insect; male makes chirping noises by rubbing the forewings together
n. a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs
v. play cricket"
give sb. no peace,none
churn,"n. a vessel in which cream is agitated to separate butterfat from buttermilk
v. stir (cream) vigorously in order to make butter
v. be agitated"
sob,"n. convulsive gasp made while weeping
v. weep convulsively"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
expressive,s. characterized by expression
puss,"n obscene terms for female genitals
n informal terms referring to a domestic cat
n the tenth month of the Hindu calendar
n a fluid product of inflammation"
regardless of,none
binding,"n. the capacity to attract and hold something
n. strip sewn over or along an edge for reinforcement or decoration
n. the protective covering on the front, back, and spine of a book
s. executed with proper legal authority"
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
something of a,none
salary,n something that remunerates
all the while,none
bookcase,n. a piece of furniture with shelves for storing books
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
unabridged,a. (used of texts) not shortened
secondarily,r. of secondary import
secondary,"n. the defensive football players who line up behind the linemen
a. being of second rank or importance or value; not direct or immediate
s. depending on or incidental to what is original or primary
s. not of major importance"
sink into,none
hedonist,n. someone motivated by desires for sensual pleasures
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
elope,v. run away secretly with one's beloved
girlhood,n. the childhood of a girl
stay on,none
volume,"n. the amount of 3-dimensional space occupied by an object
n. a publication that is one of a set of several similar publications
n. a relative amount
n. the magnitude of sound (usually in a specified direction)"
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
come upon,none
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
make mention of,none
make no mention of,none
syllable,n. a unit of spoken language larger than a phoneme
in words of one syllable,none
interlocutor,"n. the performer in the middle of a minstrel line who engages the others in talk
n. a person who takes part in a conversation"
discourse,"n. extended verbal expression in speech or writing
v. to consider or examine in speech or writing"
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
respectively,r. in the order given
respective,s. considered individually
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
fleck,"n a small fragment of something broken off from the whole
n a small contrasting part of something
v make a spot or mark onto"
garish,s tastelessly showy
illustration,"n. artwork that helps make something clear or attractive
n. a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
unattached,"s. not fastened together
a. not associated in an exclusive sexual relationship"
heedless,"a. marked by or paying little heed or attention; we know now that it is bad economics""--Franklin D. Roosevelt
s. characterized by careless unconcern"
coverless,none
shelve,v. place on a shelf
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
hearth,"n. home symbolized as a part of the fireplace
n. an area near a fireplace (usually paved and extending out into a room)"
fairy,"n. a small being, human in form, playful and having magical powers"
legend,n. a story about mythical or supernatural beings or events
whack,"n. the sound made by a sharp swift blow
v. hit hard"
terrifying,"v fill with terror; frighten greatly
s causing extreme terror"
terrify,v. fill with terror; frighten greatly
flank,"n. the side of military or naval formation
n. a subfigure consisting of a side of something
n. a cut from the fleshy part of an animal's side between the ribs and the leg
n. the side between ribs and hipbone"
backless,a. lacking a back
be through fire and water,none
go through fire and water,none
not hold a candle to,none
in gratitude to,none
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
by way of,none
inward,"a. relating to or existing in the mind or thoughts
r. toward the center or interior"
inwardly,r. with respect to private feelings
cadence,"n. the close of a musical section
n. a recurrent rhythmical series"
reside,v. make one's home in a particular place or community
take charge of,none
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
go through the motions,none
go through the motions of doing sth.,none
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
catch hold of,none
get hold of,none
take hold of,none
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
painstaking,s characterized by extreme care and great effort
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
live off,none
wedge,"n. any shape that is triangular in cross section
n. (golf) an iron with considerable loft and a broad sole
n. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them
v. squeeze like a wedge into a tight space"
inmate,n. one of several resident of a dwelling (especially someone confined to a prison or hospital)
work up,none
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
collection,"n. several things grouped together or considered as a whole
n. a publication containing a variety of works
n. the act of gathering something together"
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
religion,"n. a strong belief in a supernatural power or powers that control human destiny
n. an institution to express belief in a divine power"
circulation,"n. the dissemination of copies of periodicals (as newspapers or magazines)
n. movement through a circuit; especially the movement of blood through the heart and blood vessels
n. (library science) the count of books that are loaned by a library over a specified period
n. number of copies of a newspaper or magazine that are sold"
emphasis,"n. special importance or significance
n. special and significant stress by means of position or repetition e.g."
rehabilitation,"n. the restoration of someone to a useful place in society
n. vindication of a person's character and the re-establishment of that person's reputation
n. the treatment of physical disabilities by massage and electrotherapy and exercises"
demonstrate,v. march in protest; take part in a demonstration
sizable,"s fairly large
s large in amount or extent or degree"
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
isolation,"n. a state of separation between persons or groups
n. a feeling of being disliked and alone
n. the act of isolating something; setting something apart from others
n. (psychiatry) a defense mechanism in which memory of an unacceptable act or impulse is separated from the emotion originally associated with it"
catch sb. in the middle of,none
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
feign,v. make believe with the intent to deceive
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
craving,n. an intense desire for some particular thing
confer,"v. have a conference in order to talk something over
v. present"
homemade,a. made or produced in the home or by yourself
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
intensively,r. in an intensive manner
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
veggie,n edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
go veggie,none
food-borne,none
refer to,none
Canadian,"n. a native or inhabitant of Canada
n. a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
a. of or relating to Canada or its people"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
unparalleled,s radically distinctive and without equal
burger,n. United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
cuisine,n. the practice or manner of preparing food or the food so prepared
vegetarianism,n. a diet excluding all meat and fish
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
uncover,"v. make visible
v. remove all or part of one's clothes to show one's body"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
dietetic,a of or relating to the diet
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
degenerative,s. (of illness) marked by gradual deterioration of organs and cells along with loss of function
cancer,"n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
n. (astrology) a person who is born while the sun is in Cancer
n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
n. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22"
flatly,r. in an unqualified manner
biological,"a. pertaining to biology or to life and living things
a. of parents and children; related by blood"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
nutritional,a. of or relating to or providing nutrition
drawback,n. the quality of being a hindrance
devoid,s completely wanting or lacking
devoid of,none
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
saturated,"a. being the most concentrated solution possible at a given temperature; unable to dissolve still more of a substance
a. used especially of organic compounds; having all available valence bonds filled
a. (of color) being chromatically pure; not diluted with white or grey or black"
saturated fat,none
cholesterol,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
hormone,n. the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect
steroid,n. any of several fat-soluble organic compounds having as a basis 17 carbon atoms in four rings; many have important physiological effects
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
notoriety,n. the state of being known for some unfavorable act or quality
breed,"n. a special variety of domesticated animals within a species
n. a special type
v. copulate with a female, used especially of horses
v. cause to procreate (animals)"
E.coli,none
campylobacter,none
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
inspection,n. a formal or official examination
inspect,v. look over carefully
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
salmonella,n. rod-shaped Gram-negative enterobacteria; cause typhoid fever and food poisoning; can be used as a bioweapon
roulette,"n. a line generated by a point on one figure rolling around a second figure
n. a wheel with teeth for making a row of perforations
n. a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in"
unfortunately,r. by bad luck
unfortunate,"n. a person who suffers misfortune
a. not favored by fortune; marked or accompanied by or resulting in ill fortune
s. unsuitable or regrettable"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
bow to,none
dairy,n. a farm where dairy products are produced
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
reduction,"n. any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen); always occurs accompanied by oxidation of the reducing agent
n. the act of reducing complexity"
intake,n. an opening through which fluid is admitted to a tube or container
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
destructive,a. causing destruction or much damage
package,"n. a collection of things wrapped or boxed together
n. a wrapped container"
slaughter,"n. the killing of animals (as for food)
n. the savage and excessive killing of many people"
graze,"n. a superficial abrasion
n. the act of grazing
v. break the skin (of a body part) by scraping
v. scrape gently"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
wetland,n. a low area where the land is saturated with water
grassland,n. land where grass or grasslike vegetation grows and is the dominant form of plant life
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
topsoil,n. the layer of soil on the surface
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
pesticide,n. a chemical used to kill pests (as rodents or insects)
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
dam,"n. a barrier constructed to contain the flow of water or to keep out the sea
n. female parent of an animal especially domestic livestock
v. obstruct with, or as if with, a dam"
inefficient,a. not producing desired results; wasteful
edible,a. suitable for use as food
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
manure,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material
v. spread manure, as for fertilization"
excrete,v. eliminate from the body
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
groundwater,none
contaminate,v. make radioactive by adding radioactive material
run-off,n. a final election to resolve an earlier election that did not produce a winner
fecal,a of or relating to feces
coliform,none
nitrate,"n. any compound containing the nitrate group (such as a salt or ester of nitric acid)
v. treat with nitric acid, so as to change an organic compound into a nitrate"
lay charges against,none
bring charges against,none
press charges against,none
feedlot,n. a building where livestock are fattened for market
operator,"n. (mathematics) a symbol or function representing a mathematical operation
n. an agent that operates some apparatus or machine
n. someone who owns or operates a business
n. a speculator who trades aggressively on stock or commodity markets"
litre,"n a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
methane,n. a colorless odorless gas used as a fuel
ozone,n. a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
depletion,"n. the act of decreasing something markedly
n. the state of being depleted"
deplete,v use up (resources or materials)
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
livestock,n. any animals kept for use or profit
Pulitzer,n. United States newspaper publisher (born in Hungary) who established the Pulitzer prizes (1847-1911)
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
factory-farmed,none
unnatural,a. not in accordance with or determined by nature; contrary to nature
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
squeal,"n. a high-pitched howl
v. utter a high-pitched cry, characteristic of pigs"
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
calipers,"n an instrument for measuring the distance between two points (often used in the plural)
v measure the diameter of something with calipers"
look on,none
utter,"v. express audibly; utter sounds (not necessarily words)
v. put into circulation"
