infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
over time,"n. work done in addition to regular working hours
n. playing time beyond regulation, to break a tie
r. beyond the regular time"
predict,v. make a prediction about; tell in advance
by now,none
do well,none
folk,n. people in general (often used in the plural)
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
how about,none
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
take over,n. a change by sale or merger in the controlling interest of a corporation
show up,none
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
all the way,none
come to life,none
software,n. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
visually,r. with respect to vision
creativity,n. the ability to create
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
believe in,none
be big on,none
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
why not,none
janitor,n. someone employed to clean and maintain a building
pursuer,"n. a person who is pursuing and trying to overtake or capture
n. a person who pursues some plan or goal"
refugee,n. an exile who flees for safety
classics,n. study of the literary works of ancient Greece and Rome
philosopher,"n. a specialist in philosophy
n. a wise person who is calm and rational; someone who lives a life of reason with equanimity"
fame,"n. the state or quality of being widely honored and acclaimed
n. favorable public reputation"
shift,"n. an event in which something is displaced without rotation
n. the time period during which you are at work
n. the act of moving from one place to another
n. a crew of workers who work for a specific period of time"
pull an all-nighter,none
honors,"n a tangible symbol signifying approval or distinction
n the state of being honored
n the quality of being honorable and having a good name
n a woman's virtue or chastity
v bestow honor or rewards upon
v show respect towards
v accept as pay"
result from,none
run into,none
campus,n. a field on which the buildings of a university are situated
thumbs-up,none
podium,n a platform raised above the surrounding level to give prominence to the person on it
preside over,none
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
academics,n. an educator who works at a college or university
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
flee,v. run away quickly
dedicated,a. devoted to a cause or ideal or purpose
homeland,n the country where you were born
busboy,n. a restaurant attendant who sets tables and assists waiters and clears away dirty dishes
cellphone,"n a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
bitterness,"n. a rough and bitter manner
n. the property of having a harsh unpleasant taste"
encounter,n. a casual meeting with a person or thing
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
Ph.D.,d a doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded graduate study
supervisor,n. one who supervises or has charge and direction of
