farm,"n. workplace consisting of farm buildings and cultivated land as a unit
v. be a farmer; work as a farmer
v. collect fees or profits"
farmer,"n. a person who operates a farm
n. United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)
n. an expert on cooking whose cookbook has undergone many editions (1857-1915)"
pig,"n. a crude block of metal (lead or iron) poured from a smelting furnace
v. live like a pig, in squalor"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
an,n an associate degree in nursing
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
bird,"n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n. the flesh of a bird or fowl (wild or domestic) used as food
v. watch and study birds in their natural habitat"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
horse,"n. solid-hoofed herbivorous quadruped domesticated since prehistoric times
n. a padded gymnastic apparatus on legs
v. provide with a horse or horses"
yes,n. an affirmative
no,"n. a negative
a. quantifier; used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of
r. referring to the degree to which a certain quality is present
r. not in any degree or manner; not at all"
in,"s. holding office
s. directed or bound inward
s. currently fashionable
r. to or toward the inside of"
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
under,"s. lower in rank, power, or authority
r. down to defeat, death, or ruin
r. through a range downward
r. into unconsciousness"
