time,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment"
o'clock,r. according to the clock
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
when,"adv. At what time; -- used interrogatively.
adv. At what time; at, during, or after the time that; at or
   just after, the moment that; -- used relatively.
adv. While; whereas; although; -- used in the manner of a
   conjunction to introduce a dependent adverbial sentence or clause,
   having a causal, conditional, or adversative relation to the principal
   proposition; as, he chose to turn highwayman when he might have
   continued an honest man; he removed the tree when it was the best in
   the grounds.
adv. Which time; then; -- used elliptically as a noun."
thirty,"n. the cardinal number that is the product of ten and three
s. being ten more than twenty"
home,"n. where you live at a particular time
n. the country or state or city where you live
n. place where something began and flourished
n. an environment offering affection and security"
five,"n. the cardinal number that is the sum of four and one
s. being one more than four"
fifty,"n. the cardinal number that is the product of ten and five
s. being ten more than forty"
nine,"n. the cardinal number that is the sum of eight and one
s. denoting a quantity consisting of one more than eight and one less than ten"
twenty,"n. the cardinal number that is the sum of nineteen and one
s. denoting a quantity consisting of 20 items or units"
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
one,"n. the smallest whole number or a numeral representing this number
n. a single person or thing
s. used of a single unit or thing; not two or more
s. having the indivisible character of a unit"
dad,n. an informal term for a father; probably derived from baby talk
for,"prep. In the most general sense, indicating that in consideration
   of, in view of, or with reference to, which anything is done or takes
   place.
prep. Indicating the antecedent cause or occasion of an action;
   the motive or inducement accompanying and prompting to an act or state;
   the reason of anything; that on account of which a thing is or is done.
prep. Indicating the remoter and indirect object of an act; the
   end or final cause with reference to which anything is, acts, serves,
   or is done.
prep. Indicating that in favor of which, or in promoting which,
   anything is, or is done; hence, in behalf of; in favor of; on the side
   of; -- opposed to against.
prep. Indicating that toward which the action of anything is
   directed, or the point toward which motion is made; /ntending to go to.
prep. Indicating that on place of or instead of which anything
   acts or serves, or that to which a substitute, an equivalent, a
   compensation, or the like, is offered or made; instead of, or place of.
prep. Indicating that in the character of or as being which
   anything is regarded or treated; to be, or as being.
prep. Indicating that instead of which something else controls in
   the performing of an action, or that in spite of which anything is
   done, occurs, or is; hence, equivalent to notwithstanding, in spite of;
   -- generally followed by all, aught, anything, etc.
prep. Indicating the space or time through which an action or
   state extends; hence, during; in or through the space or time of.
prep. Indicating that in prevention of which, or through fear of
   which, anything is done.
conj. Because; by reason that; for that; indicating, in Old
   English, the reason of anything.
conj. Since; because; introducing a reason of something before
   advanced, a cause, motive, explanation, justification, or the like, of
   an action related or a statement made. It is logically nearly
   equivalent to since, or because, but connects less closely, and is
   sometimes used as a very general introduction to something suggested by
   what has gone before.
n. One who takes, or that which is said on, the affrimative side;
   that which is said in favor of some one or something; -- the antithesis
   of against, and commonly used in connection with it."
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
milk,"n. a white nutritious liquid secreted by mammals and used as food by human beings
n. produced by mammary glands of female mammals for feeding their young
n. a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
n. any of several nutritive milklike liquids"
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
an,n an associate degree in nursing
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
rice,"n. grains used as food either unpolished or more often polished
n. annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper
n. English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)
n. United States playwright (1892-1967)"
noodle,n. a ribbonlike strip of pasta
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
ice cream,n frozen dessert containing cream and sugar and flavoring
back,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body"
hungry,a. feeling hunger; feeling a need or desire to eat food
hello,n. an expression of greeting
dear,"s. with or in a close or intimate relationship
s. earnest"
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
vegetable,"n. edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n. any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
evening,"n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n. a later concluding time period
n. the early part of night (from dinner until bedtime) spent in a special way"
room,"n. an area within a building enclosed by walls and floor and ceiling
n. space for movement
n. opportunity for
n. the people who are present in a room"
love,"n. a strong positive emotion of regard and affection
n. any object of warm affection or devotion; 
n. a deep feeling of sexual desire and attraction
n. a score of zero in tennis or squash"
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
sit,"v. be seated
v. be around, often idly or without specific purpose
v. be in session
v. be located or situated somewhere"
kitchen,n. a room equipped for preparing meals
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
table,"n. a set of data arranged in rows and columns
n. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n. a piece of furniture with tableware for a meal laid out on it
n. a company of people assembled at a table for a meal or game"
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
want,"v. have need of
v. hunt or look for; want for a particular reason
v. wish or demand the presence of
v. be without, lack; be deficient in"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
mum,"n. secrecy
s. failing to speak or communicate etc when expected to"
phone,n. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
where,"pron. & conj. Whether.
adv. At or in what place; hence, in what situation, position,
   or circumstances; -- used interrogatively.
adv. At or in which place; at the place in which; hence, in the
   case or instance in which; -- used relatively.
adv. To what or which place; hence, to what goal, result, or
   issue; whither; -- used interrogatively and relatively; as, where are
   you going?
conj. Whereas.
n. Place; situation."
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
find,"v. come upon, as if by accident; meet with
v. come upon after searching; find the location of something that was missed or lost
v. come to believe on the basis of emotion, intuitions, or indefinite grounds
v. obtain through effort or management"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
sofa,n. an upholstered seat for more than one person
this,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town."
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
that,"pron., a., conj., &  As a demonstrative pronoun (pl. Those),
   that usually points out, or refers to, a person or thing previously
   mentioned, or supposed to be understood. That, as a demonstrative, may
   precede the noun to which it refers; as, that which he has said is
   true; those in the basket are good apples.
pron., a., conj., &  As an adjective, that has the same
   demonstrative force as the pronoun, but is followed by a noun.
pron., a., conj., &  As a relative pronoun, that is
   equivalent to who or which, serving to point out, and make definite, a
   person or thing spoken of, or alluded to, before, and may be either
   singular or plural.
pron., a., conj., &  As a conjunction, that retains much of
   its force as a demonstrative pronoun.
pron., a., conj., &  To introduce a clause employed as the
   object of the preceding verb, or as the subject or predicate nominative
   of a verb.
pron., a., conj., &  To introduce, a reason or cause; --
   equivalent to for that, in that, for the reason that, because.
pron., a., conj., &  To introduce a purpose; -- usually
   followed by may, or might, and frequently preceded by so, in order, to
   the end, etc.
pron., a., conj., &  To introduce a consequence, result, or
   effect; -- usually preceded by so or such, sometimes by that.
pron., a., conj., &  In an elliptical sentence to introduce
   a dependent sentence expressing a wish, or a cause of surprise,
   indignation, or the like.
pron., a., conj., &  As adverb: To such a degree; so; as, he
   was that frightened he could say nothing."
schoolbag,n. a bag for carrying school books and supplies
shorts,"n trousers that end at or above the knee
n underpants worn by men
n the location on a baseball field where the shortstop is stationed
n accidental contact between two points in an electric circuit that have a potential difference
n the fielding position of the player on a baseball team who is stationed between second and third base
v cheat someone by not returning him enough money
v create a short circuit in"
not,r. negation of a word or group of words
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
trousers,"n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a garment (or part of a garment) designed for or relating to trousers"
how,"adv. In what manner or way; by what means or process.
adv. To what degree or extent, number or amount; in what
   proportion; by what measure or quality.
adv. For what reason; from what cause.
adv. In what state, condition, or plight.
adv. By what name, designation, or title.
adv. At what price; how dear."
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
by,r. so as to pass a given point
car,"n. a motor vehicle with four wheels; usually propelled by an internal combustion engine
n. a wheeled vehicle adapted to the rails of railroad
n. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
n. where passengers ride up and down"
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
she,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively."
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
he,n. the 5th letter of the Hebrew alphabet
come,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result"
taxi,"v. travel slowly
v. ride in a taxicab"
they,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed."
sky,n. the atmosphere and outer space as viewed from the earth
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
white,"n. a member of the Caucasoid race
n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
n. Australian writer (1912-1990)"
snow,"n. precipitation falling from clouds in the form of ice crystals
n. a layer of snowflakes (white crystals of frozen water) covering the ground
n. English writer of novels about moral dilemmas in academe (1905-1980)
v. fall as snow"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
make,"v. engage in
v. give certain properties to something
v. make or cause to be or to become
v. compel or make somebody or something to act in a certain way"
which,"a. Of what sort or kind; what; what a; who.
a. A interrogative pronoun, used both substantively and
   adjectively, and in direct and indirect questions, to ask for, or refer
   to, an individual person or thing among several of a class; as, which
   man is it? which woman was it? which is the house? he asked which route
   he should take; which is best, to live or to die? See the Note under
   What, pron., 1.
pron. A relative pronoun, used esp. in referring to an
   antecedent noun or clause, but sometimes with reference to what is
   specified or implied in a sentence, or to a following noun or clause
   (generally involving a reference, however, to something which has
   preceded). It is used in all numbers and genders, and was formerly used
   of persons.
pron. A compound relative or indefinite pronoun, standing for
   any one which, whichever, that which, those which, the . . . which, and
   the like; as, take which you will."
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
