today,"n. the present time or age
n. the day that includes the present moment (as opposed to yesterday or tomorrow)
r. on this day as distinct from yesterday or tomorrow"
Monday,n. the second day of the week; the first working day
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
tomorrow,"n. the day after today
n. the near future
r. the next day, the day after, following the present day"
Tuesday,n. the third day of the week; the second working day
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
Friday,n. the sixth day of the week; the fifth working day
Saturday,n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
Sunday,"n. first day of the week; observed as a day of rest and worship by most Christians
n. United States evangelist (1862-1935)"
remember,"v. recall knowledge from memory; have a recollection
v. keep in mind for attention or consideration
v. recapture the past; indulge in memories
v. show appreciation to"
all,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by"
week,"n. any period of seven consecutive days
n. a period of seven consecutive days starting on Sunday"
diary,"n. a daily written record of (usually personal) experiences and observations
n. a personal journal (as a physical object)"
Wednesday,n. the fourth day of the week; the third working day
Thursday,n. the fifth day of the week; the fourth working day
visit,"n. the act of going to see some person or place or thing for a short time
n. a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
n. the act of visiting in an official capacity (as for an inspection)
n. the act of going to see some person in a professional capacity"
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
hurry,n. a condition of urgency making it necessary to hurry
... o'clock,r. according to the clock
time,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment"
early,"a. at or near the beginning of a period of time or course of events or before the usual or expected time
a. being or occurring at an early stage of development
s. belonging to the distant past
s. very young"
slow,"v. become slow or slower
v. cause to proceed more slowly
a. not moving quickly; taking a comparatively long time
a. at a slow tempo"
have dinner,none
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
night,"n. the time after sunset and before sunrise while it is dark outside
n. a period of ignorance or backwardness or gloom
n. the period spent sleeping
n. the dark part of the diurnal cycle considered a time unit"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
always,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time"
often,r. in many cases or instances
after,"s. located farther aft
r. behind or in the rear"
morning,n. the time period between dawn and noon
afternoon,n. the part of the day between noon and evening
never,"r. not ever; at no time in the past or future
r. not at all; certainly not; not in any circumstances"
