motivate,v. give an incentive for action
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
technique,n. a practical method or art applied to some particular task
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
fluently,r. in a fluent manner
achievement,n the action of accomplishing something
put off,n. A shift for evasion or delay; an evasion; an excuse.
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
exist,"v. have an existence, be extant
v. support oneself"
billion,"n. the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
n. the number that is represented as a one followed by 9 zeros
s. denoting a quantity consisting of one thousand million items or units in the United States
s. denoting a quantity consisting of one million million items or units in Great Britain"
at present,none
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
passer-by,n. a person who passes by casually or by chance
applause,n. a demonstration of approval by clapping the hands together
Latin,"n. any dialect of the language of ancient Rome
n. an inhabitant of ancient Latium
n. a person who is a member of those peoples whose languages derived from Latin"
Roman,"n. a resident of modern Rome
n. an inhabitant of the ancient Roman Empire
n. a typeface used in ancient Roman inscriptions"
defeat,n. an unsuccessful ending to a struggle or contest
earn,v. acquire or deserve by one's efforts or actions
wallet,n. a pocket-size case for holding papers and paper money
out of work,none
obsess,v. be preoccupied with something
determine,"v. establish after a calculation, investigation, experiment, survey, or study
v. shape or influence; give direction to
v. fix conclusively or authoritatively
v. fix in scope; fix the boundaries of"
determined,"s. characterized by great determination
a. having been learned or found or determined especially by investigation
s. devoting full strength and concentrated attention to
s. determined or decided upon as by an authority"
enjoyable,s. affording satisfaction or pleasure
second-hand,"s. derived from what is primary or original; not firsthand
s. previously used or owned by another
r. by indirect means"
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
concerned,"a. feeling or showing worry or solicitude
s. involved in or affected by or having a claim to or share in"
concerned about,none
hardworking,s. characterized by hard work and perseverance
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
pleased,"a. experiencing or manifesting pleasure
s. feeling pleasurable satisfaction over something by which you measures your self-worth"
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
drop out,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
businessman,n. a person engaged in commercial or industrial business (especially an owner or executive)
stove,"n. a kitchen appliance used for cooking food
n. any heating apparatus"
drunk,n. someone who is intoxicated
journalist,n. a writer for newspapers and magazines
greedy,s. wanting to eat or drink more than one can reasonably consume
popcorn,"n. corn having small ears and kernels that burst when exposed to dry heat
n. small kernels of corn exploded by heat"
cigarette,n. finely ground tobacco wrapped in paper; for smoking
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
armchair,n. chair with a support on each side for arms
carpet,"n. a natural object that resembles or suggests a carpet
v. form a carpet-like cover (over)
v. cover completely, as if with a carpet
v. cover with a carpet"
vase,n. an open jar of glass or porcelain used as an ornament or to hold flowers
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
cash,"n. money in the form of bills or coins
n. prompt payment for goods or services in currency or by check
n. United States country music singer and songwriter (1932-2003)
v. exchange for cash"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
fax,v. send something via a facsimile machine
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
necklace,n. jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
enthusiastic,a. having or showing great excitement and interest
ashamed,a. feeling shame or guilt or embarrassment or remorse
