counteract,v. oppose and mitigate the effects of by contrary actions
enact,v. act out; represent or perform as if in a play
exact,a. marked by strict and particular and complete accordance with fact
inactive,"s. (chemistry) not participating in a chemical reaction; chemically inert
a. (pathology) not progressing or increasing; or progressing slowly
a. not exerting influence or change
a. lacking activity; lying idle or unused"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
acupuncture,n. treatment of pain or disease by inserting the tips of needles at specific points on the skin
acumen,n. a tapering point
aerobics,n. exercise that increases the need for oxygen
aeroplane,n an aircraft that has a fixed wing and is powered by propellers or jets
aerospace,n. the atmosphere and outer space considered as a whole
aerobic,"a. depending on free oxygen or air
a. based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency"
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agile,"s. moving quickly and lightly
s. mentally quick"
coagent,n. An associate in an act; a coworker.
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
alter,"v. make an alteration to
v. remove the ovaries of"
alienate,v. make withdrawn or isolated or emotionally dissociated
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
rectangle,n. a parallelogram with four right angles
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
adapt,"v. make fit for, or change to suit a new purpose"
aptitude,n. inherent ability
adept,s. having or showing knowledge and skill and aptitude
aquarium,n. a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
aqueous,"a. similar to or containing or dissolved in water
a. produced by the action of water"
arcade,"n. a covered passageway with shops and stalls on either side
n. a structure composed of a series of arches supported by columns"
archive,"n. a depository containing historical records and documents
v. put into an archive"
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
patriarch,"n. title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem)
n. the male head of family or tribe
n. any of the early biblical characters regarded as fathers of the human race
n. a man who is older and higher in rank than yourself"
architect,n. someone who creates plans to be used in making something (such as buildings)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
architectural,a. of or pertaining to the art and science of architecture
audit,"n. a methodical examination or review of a condition or situation
v. examine carefully for accuracy with the intent of verification
v. attend academic courses without getting credit"
auditory,a. of or relating to the process of hearing
auditorium,n. the area of a theater or concert hall where the audience sits
audiology,n. the measurement of hearing
audio,"n. the audible part of a transmitted signal
n. an audible acoustic wave frequency
n. the sound elements of television"
bullet,n. a projectile that is fired from a gun
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
biodiversity,n. the diversity of plant and animal life in a particular habitat (or in the world as a whole)
biometrics,n. a branch of biology that studies biological phenomena and observations by means of statistical analysis
microbiology,n. the branch of biology that studies microorganisms and their effects on humans
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
abbreviate,v. shorten
briefcase,n. a case with a handle; for carrying papers or files or books
briefly,r. for a short time
coincide,"v. go with, fall together
v. be the same"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
casualty,"n. someone injured or killed or captured or missing in a military engagement
n. someone injured or killed in an accident
n. a decrease of military personnel or equipment"
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
