look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
cashier,"n. a person responsible for receiving payments for goods and services (as in a shop or restaurant)
v. discard or do away with
v. discharge with dishonor, as in the army"
cola,"n. large genus of African trees bearing kola nuts
n. carbonated drink flavored with extract from kola nuts (`dope' is a southernism in the United States)"
dollar,"n. the basic monetary unit in many countries; equal to 100 cents
n. a piece of paper money worth one dollar
n. a United States coin worth one dollar
n. a symbol of commercialism or greed"
cent,n. a fractional monetary unit of several countries
enjoy,"v. derive or receive pleasure from; get enjoyment from; take pleasure in
v. have benefit from
v. have for one's benefit"
careful,"a. exercising caution or showing care or attention
s. cautiously attentive
s. unhurried and with care and dignity
s. full of cares or anxiety"
Be careful!,none
later,"s. coming at a subsequent time or stage
r. comparative of the adverb `late'"
to go,n. a republic on the western coast of Africa on the Gulf of Guinea; formerly under French control
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
pond,n. a small lake
cloud,"n. any collection of particles (e.g., smoke or dust) or gases that is visible
n. a visible mass of water or ice particles suspended at a considerable altitude
n. out of touch with reality
n. a cause of worry or gloom or trouble"
dry,"n. a reformer who opposes the use of intoxicating beverages
v. remove the moisture from and make dry
v. become dry or drier
a. free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet"
like,"n. a similar kind
n. a kind of person
v. find enjoyable or agreeable
v. be fond of"
look like,none
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
cry,"n. a loud utterance; often in protest or opposition
n. a loud utterance of emotion (especially when inarticulate)
n. a fit of weeping
n. the characteristic utterance of an animal"
everyone,"n. Everybody; -- commonly separated, every one."
fly away,s. (of hair or clothing) worn loose
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
