strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
means,"n. how a result is obtained or an end is achieved
n. an instrumentality for accomplishing some end
n. considerable capital (wealth or income)"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
diligent,"s. quietly and steadily persevering especially in detail or exactness
a. characterized by care and perseverance in carrying out tasks"
prolonged,"v lengthen in time; cause to be or last longer
v lengthen or extend in duration or space
s relatively long in duration; tediously protracted
s drawn out or made longer spatially"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
nevertheless,r despite anything to the contrary (usually following a concession)
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
sustained,s. maintained at length without interruption or weakening
sustain,"v. supply with necessities and support
v. admit as valid"
helpful,a. providing assistance or serving a useful function
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
memorize,v. commit to memory; learn by heart
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
concentrate on,none
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
enlarge,"v. make larger
v. become larger or bigger"
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
idiomatic,a. of or relating to or conforming to idiom
idiom,n. an expression whose meanings cannot be inferred from the meanings of the words that make it up
usage,n. the customary manner in which a language (or a form of a language) is spoken or written
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
movie,n. a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
repetition,"n. the act of doing or performing again
n. the repeated use of the same word or word pattern as a rhetorical device"
opportunity,n. a possibility due to a favorable combination of circumstances
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
enjoyable,s. affording satisfaction or pleasure
campus,n. a field on which the buildings of a university are situated
rehearse,v. engage in a rehearsal (of)
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
instance,"n an occurrence of something
n an item of information that is typical of a class or group
v clarify by giving an example of"
detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
