preacher,n. someone whose occupation is preaching the gospel
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
fluency,"n. skillfulness in speaking or writing
n. the quality of being facile in speech and writing"
fluent,s. smooth and unconstrained in movement
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
consolation,"n. the comfort you feel when consoled in times of disappointment
n. the act of consoling; giving relief in affliction"
untouched,"s. still full
a. not having come in contact"
scope,"n. an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""
cliché,none
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
dedication,"n. complete and wholehearted fidelity
n. a ceremony in which something (as a building) is dedicated to some goal or purpose
n. a short message (as in a book or musical work or on a photograph) dedicating it to someone or something"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
disgust,"n. strong feelings of dislike
v. fill with distaste
v. cause aversion in; offend the moral sense of"
hopefully,"r. with hope; in a hopeful manner
r. it is hoped"
guidance,"n. something that provides direction or advice as to a decision or course of action
n. the act of guiding or showing the way"
inexplicable,a. incapable of being explained or accounted for
refuge,n. a shelter from danger or hardship
refugee,n. an exile who flees for safety
proverb,n. a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
respectfully,r. in a respectful manner
respectful,"a. full of or exhibiting respect
s. feeling or manifesting veneration"
grammatically,r. in a grammatical manner
grammatical,"a. of or pertaining to grammar
a. conforming to the rules of grammar or usage accepted by native speakers"
ain't," A contraction for are not and am not; also used for is not.
   [Colloq. or illiterate speech]. See An't."
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
recognition,"n. the state or quality of being recognized or acknowledged
n. the process of recognizing something or someone by remembering
n. approval
n. (biology) the ability of one molecule to attach to another molecule that has a complementary shape"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
given,"n. an assumption that is taken for granted
s. acknowledged as a supposition"
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
rely,v have confidence or faith in
practicable,"s usable for a specific purpose
s capable of being done with means at hand and circumstances as they are"
short-cut,n. a route shorter than the usual one
beaten,"a. formed or made thin by hammering
s. much trodden and worn smooth or bare"
overgrown,"s. covered with growing plants
s. abounding in usually unwanted vegetation"
confront with,none
give up,none
reduce to,none
take refuge in,none
wash one's hands of,none
come across,none
look up,n an operation that determines whether one or more of a set of items has a specified property
at a glance,none
no good,"s without merit
s returned for lack of funds"
not much good,none
not any good,none
rely on,none
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
identical,"s. exactly alike; incapable of being perceived as different
s. being the exact same one; not any other:
a. (of twins) derived from a single egg or ovum
s. having properties with uniform values along all axes"
surpass,v. be or do something to a greater degree
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
rebellion,"n. refusal to accept some authority or code or convention
n. organized opposition to authority; a conflict in which one faction tries to wrest control from another"
Republican,"n. a member of the Republican Party
n. an advocate of a republic (usually in opposition to a monarchy)
n. a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas
a. relating to or belonging to the Republican Party"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
Spanish,"n. the Romance language spoken in most of Spain and the countries colonized by Spain
n. the people of Spain
a. of or relating to or characteristic of Spain or the people of Spain"
cooperation,"n. joint operation or action
n. the practice of cooperating"
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
excursion,n. a journey taken for pleasure
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
cherish,v be fond of; be attached to
religion,"n. a strong belief in a supernatural power or powers that control human destiny
n. an institution to express belief in a divine power"
descendant,"n. a person considered as descended from some ancestor or race
s. going or coming down
s. proceeding by descent from an ancestor"
settler,"n. a person who settles in a new colony or moves into new country
n. a negotiator who settles disputes
n. a clerk in a betting shop who calculates the winnings"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
rag,"n. a small piece of cloth or paper
n. a week at British universities during which side-shows and processions of floats are organized to raise money for charities
n. a boisterous practical joke (especially by college students)
v. play in ragtime"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
sensitive-faced,none
Arab,n. a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
lost,"a. no longer in your possession or control; unable to be found or recovered
a. spiritually or physically doomed or destroyed
a. not gained or won
s. incapable of being recovered or regained"
nought,n a mathematical element that when added to another number yields the same number
awaken,"v. cause to become awake or conscious
v. make aware"
