take a test,none
play games,none
get a haircut,none
see the doctor,none
shop for clothes,none
have a party,none
write a letter,none
meet some friends,none
tonight,"n. the present or immediately coming night
r. during the night of the present day"
tomorrow,"n. the day after today
n. the near future
r. the next day, the day after, following the present day"
bored,s. tired of the world
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
go camping,none
like,"n. a similar kind
n. a kind of person
v. find enjoyable or agreeable
v. be fond of"
take photos,none
plan,"n. a series of steps to be carried out or goals to be accomplished
n. scale drawing of a structure
v. have the will and intention to carry out some action
v. make plans for something"
love,"n. a strong positive emotion of regard and affection
n. any object of warm affection or devotion; 
n. a deep feeling of sexual desire and attraction
n. a score of zero in tennis or squash"
ship,"n. a vessel that carries passengers or freight
v. hire for work on a ship
v. travel by ship
v. place on board a ship"
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
by,r. so as to pass a given point
by ship,none
by plane,none
by bus,none
by train,none
stay in a hotel,none
stay with my aunt and uncle,none
go sightseeing,none
Tibet,n. an autonomous region of the Peoples Republic of China; located in the Himalayas
hurray,none
wolves,"n any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
n Austrian composer (1860-1903)
n German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)
n a man who is aggressive in making amorous advances to women
n a cruelly rapacious person"
have a picnic,none
visit,"n. the act of going to see some person or place or thing for a short time
n. a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
n. the act of visiting in an official capacity (as for an inspection)
n. the act of going to see some person in a professional capacity"
relatives,"n a person related by blood or marriage
n an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)"
help,"v. give help or assistance; be of service
v. improve the condition of
v. be of use
v. contribute to the furtherance of"
play with friends,none
make models,none
surf the Internet,none
read books,none
next,r. at the time or occasion immediately following
during,"prep. In the time of; as long as the action or existence of;
   as, during life; during the space of a year."
fruit,"n. the ripened reproductive body of a seed plant
n. the consequence of some effort or action
v. cause to bear fruit
v. bear fruit"
the Great Wall of China,none
do tai chi,none
never,"r. not ever; at no time in the past or future
r. not at all; certainly not; not in any circumstances"
sometimes,"r. on certain occasions or in certain cases but not always; at other times for six months"""
usually,r under normal conditions
always,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time"
subway,"n an electric railway operating below the surface of the ground (usually in a city)
n an underground tunnel or passage enabling pedestrians to cross a road or railway"
taxi,"v. travel slowly
v. ride in a taxicab"
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
walk,"n. the act of traveling by foot
n. manner of walking
n. the act of walking somewhere
n. a path set aside for walking"
