used,a. employed in accomplishing something
studied,a. produced or marked by conscious design or premeditation
played,a. (of games) engaged in
visited,"v go to see a place, as for entertainment
v go to certain places as for sightseeing
v pay a brief visit
v come to see in an official or professional capacity
v impose something unpleasant
v talk socially without exchanging too much information
v stay with as a guest
v assail"
ran,"v move fast by using one's feet, with one foot off the ground at any given time
v flee; take to one's heels; cut and run
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v direct or control; projects, businesses, etc.
v have a particular form
v move along, of liquids
v perform as expected when applied
v change or be different within limits
v run, stand, or compete for an office or a position
v cause to emit recorded audio or video
v move about freely and without restraint, or act as if running around in an uncontrolled way
v have a tendency or disposition to do or be something; be inclined
v be operating, running or functioning
v change from one state to another
v cause to perform
v be affected by; be subjected to
v continue to exist
v occur persistently
v carry out a process or program, as on a computer or a machine
v include as the content; broadcast or publicize
v carry out
v pass over, across, or through
v cause something to pass or lead somewhere
v make without a miss
v deal in illegally, such as arms or liquor
v cause an animal to move fast
v be diffused
v sail before the wind
v cover by running; run a certain distance
v extend or continue for a certain period of time
v set animals loose to graze
v keep company
v run with the ball; in such sports as football
v travel rapidly, by any (unspecified) means
v travel a route regularly
v pursue for food or sport (as of wild animals)
v compete in a race
v progress by being changed
v reduce or cause to be reduced from a solid to a liquid state, usually by heating
v come unraveled or undone as if by snagging
v become undone"
talked,imp. & p. p. of Talk
jumped,"v move forward by leaps and bounds
v move or jump suddenly, as if in surprise or alarm
v make a sudden physical attack on
v increase suddenly and significantly
v be highly noticeable
v enter eagerly into
v rise in rank or status
v jump down from an elevated point
v run off or leave the rails
v jump from an airplane and descend with a parachute
v cause to jump or leap
v start (a car engine whose battery is dead) by connecting it to another car's battery
v bypass
v pass abruptly from one state or topic to another
v go back and forth; swing back and forth between two states or conditions"
cleaned,"v make clean by removing dirt, filth, or unwanted substances from
v remove unwanted substances from, such as feathers or pits
v clean and tidy up the house
v clean one's body or parts thereof, as by washing
v be cleanable
v deprive wholly of money in a gambling game, robbery, etc.
v remove all contents or possession from, or empty completely
v remove while making clean
v remove unwanted substances from
v remove shells or husks from"
watched,imp. & p. p. of Watch
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
last night,none
the day before yesterday,none
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
went,"v change location; move, travel, or proceed, also metaphorically
v follow a procedure or take a course
v move away from a place into another direction
v enter or assume a certain state or condition
v be awarded; be allotted
v have a particular form
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v follow a certain course
v be abolished or discarded
v be or continue to be in a certain condition
v make a certain noise or sound
v perform as expected when applied
v to be spent or finished
v progress by being changed
v continue to live through hardship or adversity
v pass, fare, or elapse; of a certain state of affairs or action
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v be in the right place or situation
v be ranked or compare
v begin or set in motion
v have a turn; make one's move in a game
v be contained in
v be sounded, played, or expressed
v blend or harmonize
v lead, extend, or afford access
v be the right size or shape; fit correctly or as desired
v go through in search of something; search through someone's belongings in an unauthorized way
v be spent
v give support (to) or make a choice (of) one out of a group or number
v stop operating or functioning"
ate,n. goddess of criminal rashness and its punishment
wrote,"v produce a literary work
v communicate or express by writing
v have (one's written work) issued for publication
v communicate (with) in writing
v communicate by letter
v write music
v mark or trace on a surface
v record data on a computer
v write or name the letters that comprise the conventionally accepted form of (a word or part of a word)
v create code, write a computer program"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
made,"s. produced by a manufacturing process; rope and nails""
a. (of a bed) having the sheets and blankets set in order
s. successful or assured of success"
rode,"v sit and travel on the back of animal, usually while controlling its motions
v be carried or travel on or in a vehicle
v continue undisturbed and without interference
v move like a floating object
v harass with persistent criticism or carping
v be sustained or supported or borne
v have certain properties when driven
v be contingent on
v lie moored or anchored
v sit on and control a vehicle
v climb up on the body
v ride over, along, or through
v keep partially engaged by slightly depressing a pedal with the foot
v copulate with"
sang,"n North American woodland herb similar to and used as substitute for the Chinese ginseng
v deliver by singing
v produce tones with the voice
v to make melodious sounds
v make a whining, ringing, or whistling sound
v divulge confidential information or secrets"
