abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
abut,v lie adjacent to another or share a boundary
amass,"v collect or gather
v get or gather together"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
avenge,v take revenge for a perceived wrong
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
ablaze,"s. keenly excited (especially sexually) or indicating excitement
s. lighted up by or as by fire or flame
s. resembling flame in brilliance or color
s. lighted with red light as if with flames"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
adroit,a. quick or skillful or adept in action or thought
afloat,"a. borne on the water; floating
s. covered with water"
afoul,s. especially of a ship's lines etc
allure,n. the power to entice or attract through personal charm
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
aloof,"s. remote in manner
r. in an aloof manner"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amid,"prep. See Amidst.
prep. In the midst or middle of; surrounded or encompassed by;
   among."
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
atrophy,"n. a decrease in size of an organ caused by disease or disuse
n. any weakening or degeneration (especially through lack of use)
v. undergo atrophy"
aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
abhor,v. find repugnant
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
abort,"n. the act of terminating a project or procedure before it is completed
v. terminate before completion
v. cease development, die, and be aborted
v. terminate a pregnancy by undergoing an abortion"
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
abrasion,"n. an abraded area where the skin is torn or worn off
n. erosion by friction"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
absorption,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
abundant,a. present in great quantity
accompany,v. go or travel along with
