conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
reveal,v. disclose directly or through prophets
according to,none
make the most of,none
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
to begin with,none
priority,n. preceding in time
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
snack,"n a light informal meal
v eat a snack; eat lightly"
in other words,none
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
in addition,none
in addition to,none
make a point of doing sth.,none
athlete,n. a person trained to compete in sports
memorise,v commit to memory; learn by heart
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
work out,n the activity of exerting your muscles in various ways to keep fit
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
consistency,"n. the property of holding together and retaining its shape
n. a harmonious uniformity or agreement among things or parts
n. logical coherence and accordance with the facts
n. (logic) an attribute of a logical system that is so constituted that none of the propositions deducible from the axioms contradict one another"
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
be involved in,none
get involved in,none
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
track and field,none
rugby,n. a form of football played with an oval ball
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
disclose,v. disclose to view as by removing a cover
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
colour-coded,past tense of colour-code
folder,n. covering that is folded over to protect the contents
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
technique,n. a practical method or art applied to some particular task
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
effectively,r. in actuality or reality or fact
retention,n. the act of retaining something
lead to,none
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
at hand,none
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
procrastinate,"v. postpone doing what one should be doing
v. postpone or delay needlessly"
take down,n. (amateur wrestling) being brought to the mat from a standing position
revision,"n. the act of revising or altering (involving reconsideration and modification)
n. the act of rewriting something"
jot,"n a brief (and hurriedly handwritten) note
n a slight but appreciable amount
v write briefly or hurriedly; write a short note of"
jot down,none
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
refresh,"v. make (to feel) fresh
v. make fresh again"
refresh one's memory,none
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
lie in,n. a long stay in bed in the morning
on the way to,none
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
speak up,none
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
participation,n. the condition of sharing in common with others (as fellows or partners etc.)
demonstrate,v. march in protest; take part in a demonstration
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
curiosity,n. a state in which you want to learn more about something
concisely,r. in a concise manner; in a few words
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
on one's own,none
illuminate,v. add embellishments and paintings to (medieval manuscripts)
hypothetical,"n. a hypothetical possibility, circumstance, statement, proposal, situation, etc."
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
base on,none
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
last but not least,none
crucial,"a. of extreme importance; vital to the resolution of a crisis
s. having crucial relevance"
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
infancy,"n. the early stage of growth or development
n. the earliest state of immaturity"
latter,"n. the second of two or the second mentioned of two
a. referring to the second of two things or persons mentioned (or the last one or ones of several)"
instead of,none
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
take pains to do sth.,none
motivate,v. give an incentive for action
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
personal,"n. a short newspaper article about a particular person or group
a. concerning or affecting a particular person or his or her private life and personality
s. particular to a given individual
a. of or arising from personality"
advertisement,n a public promotion of some product or service
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
on one's part,none
fluently,r. in a fluent manner
reference,"n. the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
n. the act of referring or consulting
n. a publication (or a passage from a publication) that is referred to
n. the relation between a word or phrase and the object or idea it refers to"
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
or else,none
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
efficiently,r. with efficiency; in an efficient manner
it's no use doing sth.,none
argue,"v. present reasons and arguments
v. have an argument about something
v. give evidence of"
individual,"n. a single organism
a. being or characteristic of a single thing or person
s. separate and distinct from others of the same kind
s. characteristic of or meant for a single person or thing"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
no doubt,none
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
to an extent,none
to some extent,none
to what extent,none
to a certain extent,none
to such an extent,none
helpful,a. providing assistance or serving a useful function
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
have an advantage,none
have an advantage over,none
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
go to extremes,none
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
precise,a. sharply exact or accurate or delimited
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
vice versa,none
translation,"n. a written communication in a second language having the same meaning as the written communication in a first language
n. a uniform movement without rotation
n. (mathematics) a transformation in which the origin of the coordinate system is moved to another position but the direction of each axis remains the same
n. (genetics) the process whereby genetic information coded in messenger RNA directs the formation of a specific protein at a ribosome in the cytoplasm"
provide with,none
provide sb. with,none
let alone,none
intonation,"n. rise and fall of the voice pitch
n. singing by a soloist of the opening piece of plainsong
n. the act of singing in a monotonous tone"
behaviorist,n. a psychologist who subscribes to behaviorism
psychology,n. the science of mental life
be fond of doing sth.,none
continually,r. seemingly without interruption
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
theorist,n. someone who theorizes (especially in science or art)
in one's opinion,none
unlike,"a. marked by dissimilarity
a. not equal in amount"
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
relate sth. to sth. else,none
be worth sth.,none
be worth doing sth.,none
means,"n. how a result is obtained or an end is achieved
n. an instrumentality for accomplishing some end
n. considerable capital (wealth or income)"
communication,"n. the activity of communicating; the activity of conveying information
n. something that is communicated by or to or between people or groups
n. a connection allowing access between persons or places"
be similar to,none
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
relevant,a. having a bearing on or connection with the subject at issue
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
gathering,n. a group of persons together in one place
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
prom,n a formal ball held for a school class toward the end of the academic year
occur,"v. come to one's mind; suggest itself
v. to be found to exist"
turn into,none
scent,"n. an odor left in passing by which a person or animal can be traced
v. catch the scent of; get wind of"
mow,v. cut with a blade or mower
take sb. by surprise,none
catch sb. by surprise,none
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
eyebrow,n. the arch of hair above each eye
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
