admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
barely,r. only a very short time before
check in,n. the act of reporting your presence (as at an airport or a hotel)
detect,"v. discover or determine the existence, presence, or fact of"
gap,"n. a conspicuous disparity or difference as between two figures
n. a narrow opening
n. a difference (especially an unfortunate difference) between two opinions or two views or two situations
v. make an opening or gap in"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
inadequate,"a. lacking the requisite qualities or resources to meet a task
s. not sufficient to meet a need"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
persecution,n. the act of persecuting (especially on the basis of race or religion)
run out of,none
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
sign up,none
sip,"n. a small drink
v. drink in sips"
spill,"n. liquid that is spilled
n. the act of allowing a fluid to escape
n. a sudden drop from an upright position
v. cause or allow (a liquid substance) to run or flow from a container"
subway,"n an electric railway operating below the surface of the ground (usually in a city)
n an underground tunnel or passage enabling pedestrians to cross a road or railway"
swear,"v. promise solemnly; take an oath
v. make a deposition; declare under oath"
account for,none
bake,"v. cook and make edible by putting in a hot oven
v. prepare with dry heat in an oven
v. be very hot, due to hot weather or exposure to the sun"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
crush,"n. a dense crowd of people
n. the act of crushing
v. break into small pieces
v. humiliate or depress completely"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
emotion,n. any strong feeling
