puma,n large American feline resembling a lion
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
evidence,"n. your basis for belief or disbelief; knowledge on which to base belief
n. an indication that makes something evident
n. (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved"
accumulate,v. collect or gather
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
hunt,"n. Englishman and Pre-Raphaelite painter (1827-1910)
n. United States architect (1827-1895)
n. British writer who defended the Romanticism of Keats and Shelley (1784-1859)
n. an association of huntsmen who hunt for sport"
blackberry,"n. large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus
n. bramble with sweet edible black or dark purple berries that usually do not separate from the receptacle
v. pick or gather blackberries"
human being,none
corner,"n. a place off to the side of an area
n. the point where two lines meet or intersect
n. an interior angle formed by two meeting walls
n. the intersection of two streets"
trail,"n. a track or mark left by something that has passed
n. a path or track roughly blazed through wild or hilly country
v. move, proceed, or walk draggingly or slowly
v. hang down so as to drag along the ground"
print,"n. the text appearing in a book, newspaper, or other printed publication
n. a picture or design printed from an engraving
n. availability in printed form
n. a copy of a movie on film (especially a particular version of it)"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
somehow,"r. in some unspecified way or manner; or by some unspecified means
r. for some unspecified reason;"
disturb,"v. move deeply
v. damage as if by shaking or jarring"
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
vicar,"n. a Roman Catholic priest who acts for another higher-ranking clergyman
n. (Episcopal Church) a clergyman in charge of a chapel
n. (Church of England) a clergyman appointed to act as priest of a parish"
raise,"n. the amount a salary is increased
n. increasing the size of a bet (as in poker)
v. raise the level or amount of something
v. raise from a lower to a higher position"
torchlight,n. light from a torch or torches
goddess,n. a female deity
archaeologist,n an anthropologist who studies prehistoric people and their culture
Aegean,"n. an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia
a. of or relating to or characteristic of the prehistoric Aegean civilization
a. of or relating to or bordering the Aegean Sea"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
promontory,n. a natural elevation (especially a rocky one that juts out into the sea)
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
storey,n a structure consisting of a room or set of rooms at a single position along a vertical scale
drainage,n emptying something accomplished by allowing liquid to run out of it
worship,"n. the activity of worshipping
n. a feeling of profound love and admiration
v. show devotion to (a deity)
v. attend religious services"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
remains,n. any object that is left unused or still extant
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
reconstruct,"v. reassemble mentally
v. cause somebody to adapt or reform socially or politically"
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
full-length,"s. representing or accommodating the entire length
s. complete"
graceful,"a. characterized by beauty of movement, style, form, or execution"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
collar,"n. a band that fits around the neck and is usually folded over
n. (zoology) an encircling band or marking around the neck of any animal
n. anything worn or placed about the neck
n. a short ring fastened over a rod or shaft to limit, guide, or secure a machine part"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
dustman,n someone employed to collect and dispose of refuse
corporation,n. a business firm whose articles of incorporation have been approved in some state
overalls,"n (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
n a loose protective coverall or smock worn over ordinary clothing for dirty work"
