fossil man,none
recount,"n. an additional (usually a second) count; especially of the votes in a close election
v. count again"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
legend,n. a story about mythical or supernatural beings or events
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
anthropologist,n. a social scientist who specializes in anthropology
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
Polynesian,"n. a native or inhabitant of Polynesia
a. of or relating to Polynesia or its people or culture"
Indonesia,"n. a republic in southeastern Asia on an archipelago including more than 13,000 islands; achieved independence from the Netherlands in 1945; the principal oil producer in the Far East and Pacific regions"
archaeologist,n an anthropologist who studies prehistoric people and their culture
flint,"n. a hard kind of stone; a form of silica more opaque than chalcedony
n. a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River
n. a city in southeast central Michigan near Detroit; automobile manufacturing"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
beast,n. a cruelly rapacious person
census,"n. a periodic count of the population
v. conduct a census"
acre,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean"
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
Matterhorn,"n. a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape"
alpinist,n. a mountain climber who specializes in difficult climbs
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
perilous,s fraught with danger
shudder,"v. tremble convulsively, as from fear or excitement"
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
impoverish,v. make poor
Alpine,"a. relating to or characteristic of alps
a. relating to the Alps and their inhabitants
s. living or growing above the timber line"
flea-ridden,none
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
boast,"n. speaking of yourself in superlatives
v. show off"
parishioner,n. a member of a parish
shepherd,"n. a clergyman who watches over a group of people
v. watch over like a shepherd, as a teacher of her pupils
v. tend as a shepherd, as of sheep or goats"
linen,"n. a fabric woven with fibers from the flax plant
n. a high-quality paper made of linen fibers or with a linen finish
n. white goods or clothing made with linen cloth"
the Alps,none
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
