abase,v cause to feel shame; hurt the pride of
abate,v. become less in amount or intensity
abbreviate,v. shorten
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abduct,v. pull away from the body
abhor,v. find repugnant
abide,"v dwell
v put up with something or somebody unpleasant"
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
ablaze,"s. keenly excited (especially sexually) or indicating excitement
s. lighted up by or as by fire or flame
s. resembling flame in brilliance or color
s. lighted with red light as if with flames"
abominable,s. unequivocally detestable
abort,"n. the act of terminating a project or procedure before it is completed
v. terminate before completion
v. cease development, die, and be aborted
v. terminate a pregnancy by undergoing an abortion"
aboveboard,s. without concealment or deception; honest
abrasive,"n. a substance that abrades or wears down
s. causing abrasion"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
abstain,"v. refrain from voting
v. choose not to consume"
accede,v. take on duties or office
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
accession,"n. a process of increasing by addition (as to a collection or group)
n. (civil law) the right to all of that which your property produces whether by growth or improvement
n. something added to what you already have"
acclaim,"n. enthusiastic approval
v. praise vociferously"
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accountable,s. liable to account for one's actions
accredit,"v. grant credentials to
v. provide or send (envoys or embassadors) with official credentials
v. ascribe an achievement to"
accrue,"v. grow by addition
v. come into the possession of"
acquiesce,v to agree or express agreement
acquit,v. pronounce not guilty of criminal charges
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adept,s. having or showing knowledge and skill and aptitude
adjoin,v. attach or add
adjourn,"v. close at the end of a session
v. break from a meeting or gathering"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
admonish,v. take to task
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
adrift,"s. aimlessly drifting
s. afloat on the surface of a body of water
r. floating freely; not anchored
r. off course, wandering aimlessly"
adroit,a. quick or skillful or adept in action or thought
adulterate,s. mixed with impurities
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adversary,n. someone who offers opposition
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
affable,s. diffusing warmth and friendliness
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
afield,"r. far away from home or one's usual surroundings
r. in or into a field (especially a field of battle)
r. off the subject; beyond the point at issue"
afoot,"s. traveling by foot
s. currently in progress
r. on foot; walking"
afresh,r. again but in a new or different way
aggravate,"v make worse
v exasperate or irritate"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
aggrieved,"v infringe on the rights of
v cause to feel sorrow"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
aground,"a. stuck in a place where a ship can no longer float
r. with the bottom lodged on the ground"
airborne,s. moved or conveyed by or through air
airy,"s. not practical or realizable; speculative
s. having little or no perceptible weight; so light as to resemble air"
alibi,"n. (law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
v. exonerate by means of an alibi"
alight,"v. to come to rest, settle
v. come down"
align,"v. place in a line or arrange so as to be parallel or straight
v. be or come into adjustment with
v. align oneself with a group or a way of thinking
v. bring (components or parts) into proper or desirable coordination correlation"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
allegiance,n. the loyalty that citizens owe to their country (or subjects to their sovereign)
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
alleviate,"v provide physical relief, as from pain
v make easier"
allude,v. make a more or less disguised reference to
allure,n. the power to entice or attract through personal charm
allusion,n. passing reference or indirect mention
amass,"v collect or gather
v get or gather together"
ambivalent,s. uncertain or unable to decide about what course to follow
ambush,"n. the act of concealing yourself and lying in wait to attack by surprise
v. wait in hiding to attack"
amiable,s. disposed to please
amicable,a. characterized by friendship and good will
amidst,prep. Alt. of Amid
amoral,none
analogue,"n. something having the property of being analogous to something else
a. of a circuit or device having an output that is proportional to the input"
anew,r again but in a new or different way
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
animosity,n. a feeling of ill will arousing active hostility
annihilate,v kill in large numbers
annuity,n. income from capital investment paid in a series of regular payments
anonymity,n. the state of being anonymous
antagonize,"v. provoke the hostility of
v. act in opposition to"
antidote,n. a remedy that stops or controls the effects of a poison
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
apace,r with rapid movements
apartheid,n. a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites; the former official policy in South Africa
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
apparel,n. clothing in general
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
append,"v. add to the very end
v. fix to; attach"
appendix,"n. supplementary material that is collected and appended at the back of a book
n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
apposite,s. being of striking appropriateness and pertinence
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
apprehend,v. anticipate with dread or anxiety
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
arbitrate,v act between parties with a view to reconciling differences
archetype,n something that serves as a model or a basis for making copies
archive,"n. a depository containing historical records and documents
v. put into an archive"
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
aroma,n. a distinctive odor that is pleasant
arrears,"n. the state of being behind in payments
n. an unpaid overdue debt"
arsenal,"n. all the weapons and equipment that a country has
n. a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms"
artful,a. marked by skill in achieving a desired end especially with cunning or craft
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
artifice,n a deceptive maneuver (especially to avoid capture)
ascendant,"n. position or state of being dominant or in control
s. tending or directed upward
s. most powerful or important or influential"
ascertain,v. learn or discover with certainty
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
ascribe,v attribute or credit to
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
aspire,v have an ambitious plan or a lofty goal
assail,v. attack someone physically or emotionally
assailant,n someone who attacks
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
assertive,a. aggressively self-assured
assiduous,s. marked by care and persistent effort
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
assorted,"s. consisting of a haphazard assortment of different kinds
s. of many different kinds purposefully arranged but lacking any uniformity"
assortment,n. a collection containing a variety of sorts of things
astray,r. away from the right path or direction
asylum,"n a shelter from danger or hardship
n a hospital for mentally incompetent or unbalanced person"
asymmetric,a characterized by asymmetry in the spatial arrangement or placement of parts or components
atrocious,"s. shockingly brutal or cruel
s. exceptionally bad or displeasing
s. provoking horror"
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
attrition,"n. sorrow for sin arising from fear of damnation
n. a wearing down to weaken or destroy
n. the act of rubbing together; wearing something down by friction"
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
augment,"v. enlarge or increase
v. grow or intensify"
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
auspicious,a. auguring favorable circumstances and good luck
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
authoritarian,"n. a person who behaves in a tyrannical manner
s. characteristic of an absolute ruler or absolute rule; having absolute sovereignty
s. expecting unquestioning obedience"
autograph,"n. something written by one's own hand
n. a person's own signature
v. mark with one's signature"
automate,v make automatic or control or operate automatically
avail,"n. a means of serving
v. use to one's advantage
v. be of use to, be useful to
v. take or use"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
aversion,n. the act of turning yourself (or your gaze) away
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
awesome,s inspiring awe or admiration or wonder
babble,"n. gibberish resembling the sounds of a baby
v. utter meaningless sounds, like a baby, or utter in an incoherent way
v. to talk foolishly"
backbiting,v say mean things
backbreaking,s characterized by effort to the point of exhaustion; especially physical effort
backdate,v. make effective from an earlier date
backdrop,n. scenery hung at back of stage
backfire,"n. a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine
n. a fire that is set intentionally in order to slow an approaching forest fire or grassfire by clearing a burned area in its path
n. a miscalculation that recoils on its maker
v. come back to the originator of an action with an undesired effect"
