tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
mess,"n. a state of confusion and disorderliness
n. soft semiliquid food
n. a meal eaten in a mess hall by service personnel
n. a (large) military dining room where service personnel eat or relax"
let,"n. a serve that strikes the net before falling into the receiver's court; the ball must be served again
v. make it possible through a specific action or lack of action for something to happen
v. actively cause something to happen
v. leave unchanged"
sock,"n. hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
v. hit hard"
yours,pron. See the Note under Your.
cap,"n. a tight-fitting headdress
n. a top (as for a bottle)
n. something serving as a cover or protection
n. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
mine,"n. excavation in the earth from which ores and minerals are extracted
n. explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel
v. get from the earth by excavation
v. lay mines"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
umbrella,"n. a lightweight handheld collapsible canopy
n. a formation of military planes maintained over ground operations or targets
n. having the function of uniting a group of similar things
s. covering or applying simultaneously to a number of similar items or elements or groups"
nail,"n. horny plate covering and protecting part of the dorsal surface of the digits
n. a thin pointed piece of metal that is hammered into materials as a fastener
n. a former unit of length for cloth equal to 1/16 of a yard
v. attach something somewhere by means of nails"
drop,"n. a shape that is spherical and small
n. a small indefinite quantity (especially of a liquid)
n. a sudden sharp decrease in some quantity
n. a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property)"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
hers,"pron. See the Note under Her, pron."
theirs,none
tidy up,none
full of,none
be full of,none
a few,none
why,"n. the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
dining room,n a room used for dining
wild goose,none
wild geese,none
change,"n. an event that occurs when something passes from one state or phase to another
n. a relational difference between states; especially between states before and after some event
n. the action of changing something
n. the result of alteration or modification"
place,"n. any area set aside for a particular purpose
n. an abstract mental location
n. a general vicinity
n. a particular situation"
twice,r. two times
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
north,"n. the region of the United States lying to the north of the Mason-Dixon line
n. the cardinal compass point that is at 0 or 360 degrees
n. a location in the northern part of a country, region, or city
n. the direction corresponding to the northward cardinal compass point"
south,"n. the region of the United States lying to the south of the Mason-Dixon line
n. the cardinal compass point that is at 180 degrees
n. a location in the southern part of a country, region, or city
n. the direction corresponding to the southward cardinal compass point"
enough,"n. an adequate quantity; a quantity that is large enough to achieve a purpose
r. as much as necessary; (`plenty' is nonstandard) ""I've had plenty, thanks"""
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
all day,none
future,"n. the time yet to come
n. a verb tense that expresses actions or states in the future
n. bulk commodities bought or sold at an agreed price for delivery at a specified future date
a. yet to be or coming"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
