glad,"a. showing or causing joy and pleasure; especially made happy
s. eagerly disposed to act or to be of service
s. feeling happy appreciation"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
again,r. anew
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
too,"r to a degree exceeding normal or proper limits
r in addition"
now,"n. the momentary present
r. in the historical present; at this point in the narration of a series of past events
r. used to preface a command or reproof or request
r. at the present moment"
evening,"n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n. a later concluding time period
n. the early part of night (from dinner until bedtime) spent in a special way"
night,"n. the time after sunset and before sunrise while it is dark outside
n. a period of ignorance or backwardness or gloom
n. the period spent sleeping
n. the dark part of the diurnal cycle considered a time unit"
Here you are.,none
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
man,"n. an adult person who is male (as opposed to a woman)
n. the generic use of the word to refer to any human being
n. a male subordinate
n. an adult male person who has a manly character (virile and courageous competent)"
woman,"n. an adult female person (as opposed to a man)
n. a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man"
colour,"n any material used for its color
n a race with skin pigmentation different from the white race (especially Blacks)
n (physics) the characteristic of quarks that determines their role in the strong interaction
n interest and variety and intensity
n the timbre of a musical sound
n a visual attribute of things that results from the light they emit or transmit or reflect
n an outward or token appearance or form that is deliberately misleading
n the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
v modify or bias
v decorate with colors
v give a deceptive explanation or excuse for
v affect as in thought or feeling
v add color to
v change color, often in an undesired manner
a having or capable of producing colors"
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
yellow,"n. yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
v. turn yellow
s. of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
s. changed to a yellowish color by age"
white,"n. a member of the Caucasoid race
n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
n. Australian writer (1912-1990)"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
at,n. 100 at equal 1 kip in Laos
T-shirt,n a close-fitting pullover shirt
they,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed."
but,r and nothing more
too,"r to a degree exceeding normal or proper limits
r in addition"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
shorts,"n trousers that end at or above the knee
n underpants worn by men
n the location on a baseball field where the shortstop is stationed
n accidental contact between two points in an electric circuit that have a potential difference
n the fielding position of the player on a baseball team who is stationed between second and third base
v cheat someone by not returning him enough money
v create a short circuit in"
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
trousers,"n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a garment (or part of a garment) designed for or relating to trousers"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
