Two Centenary Goals,none
"spending on official overseas visits, official vehicles, and official hospitality",none
the Belt and Road space information corridor,none
commercial licenses for 5G,none
patriotic united front,none
the eight-point decision on improving Party and government conduct,none
removing protective umbrellas,none
shake off poverty,none
the Arctic shipping routes,none
remain true to our original aspiration,none
Ministers' passage,none
toilet revolution,none
competitive election,none
Long March,none
urban heat island effect,none
pass on the traditions of revolution,none
trail-blazing move,none
pro-innovation government,none
It takes a good blacksmith to make good steel.,none
campaign to prevent and control air pollution,none
Party rule,none
Party regulation,none
amendment to the Party Constitution,none
surface-to-surface conventional missile,none
sub-national cooperation,none
independent charge,none
multilateralism,none
Anti-Secession Law,none
fight corruption and build a clean government,none
anti-graft inspections,none
risk map,none
poverty alleviation,none
poverty relief,none
subcenter,none
reform promoters,none
reform and opening-up,none
Hong Kong people administering Hong Kong,none
personal asset declaration,none
work style,none
public diplomacy,none
public hospital reform,none
collaboration,"n. act of working jointly
n. act of cooperating traitorously with an enemy that is occupying your country"
participation and common interests,none
"extensive consultation, joint contribution and shared benefits",none
supply-side structural reform,none
critical minority,none
domestically aircraft carrier,none
home-built aircraft carrier,none
defense and military reforms,none
national security,none
national park system,none
national supervision system,none
State Preeminent Science and Technology Award,none
naval parade,none
Strait Exchange Foundation,none
a maritime community with a shared future,none
unprincipled nice-guyism,none
peaceful development,none
Five Principles of Peaceful Coexistence,none
river chief system,none
internet Plus government services,none
environmental police force,none
Rocket Force,none
spirit of partnership,none
sense of gain,none
point-based household registration,none
democracy at the grassroots level,none
grassroots democracy,none
grassroots election,none
integrated development of the Beijing-Tianjin-Hebei region,none
economic hegemony,none
elite and powerful force,none
streamline government organs,none
government streamlining,none
the 1992 Consensus,none
military-civilian integration,none
Scientific Outlook on Development,none
tempering justice with mercy,none
Cold War mentality,none
theoretical exploration,none
historical and cultural heritage,none
code of ethics,none
"have no worry about food and clothing and have access to compulsory education, basic medical services, and safe housing",none
"all Party members to gain a good command of the Party Constitution, Party regulations, and related major policy addresses and to meet Party standards",none
zero-sum game,none
consular protection,none
territorial coordinates,none
green development,none
green mountains and lucid waters are indeed mountains of gold and silver,none
trade bullying,none
trade war,none
Beautiful China,none
remove somebody from the position,none
wellbeing of the people,none
regional autonomy of ethnic minorities,none
national identity,none
test each step before taking it,none
advance cautiously,none
grope across the river by feeling the way,none
Ping Pong Diplomacy,none
pioneering basic research,none
seek common ground on major questions while reserving differences on minor ones,none
delegate power,none
national census,none
National People's Congress,none
the joint combat system of the armed forces,none
finish building a moderately prosperous society in all respects,none
globalization 4.0,none
global governance system,none
mass line,none
island patrol,none
talent-strong country,none
population development strategy,none
a community of shared future for mankind,none
the people's aspirations to live a better life,none
three critical battles,none
three tough battles,none
three evil forces,none
"issues concerning agriculture, countryside and farmers",none
"three direct cross-Straits links, namely mail, transportation, and trade",none
the 3+3 Initiative,none
Shanghai Spirit,none
social security fund,none
social security system,none
the principal contradiction facing Chinese society,none
core socialist values,none
socialist democracy,none
a great modern socialist country,none
auditing-based oversight,none
community of shared life,none
eco-safety barrier,none
ecological red line,none
environmental quality,none
ecological migration,none
real combat training,none
innovative and entrepreneurial talent,none
be expelled from the CPC and removed from public office,none
judicial independence,none
Four-pronged comprehensive strategy,none
"consciousness of the need to maintain political integrity, think in big-picture terms, follow the leadership core, and keep in alignment",none
"confidence in the path, theory, system, and culture of socialism with Chinese characteristics",none
"formalities performed for formalities' sake, bureaucratism, hedonism, and extravagance",none
the Four Cardinal Principles,none
carbon intensity,none
a leading sporting nation,none
land reclamation,none
statistical inspections,none
the united front,none
the 10-Chapter Soil Pollution Action Plan,none
anti-online terror drill,none
community of shared future in cyberspace,none
cyberspace governance,none
cyber sovereignty,none
zero-waste city,none
Five concepts of development,none
"Western Development, large-scale development of the western region",none
Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,none
rare earths,none
modern maritime combat system,none
modern hospital management system,none
rural governance,none
Five-pronged overall plan,none
consultative democracy,none
new era,none
new type of international relations,none
