first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
third,"n. following the second position in an ordering or series
n. the musical interval between one note and another three notes away from it
s. coming next after the second and just before the fourth in position
r. in the third place"
fourth,"n. following the third position; number four in a countable series
n. the musical interval between one note and another four notes away from it
s. coming next after the third and just before the fifth in position or time or degree or magnitude"
fifth,"n. a quantity of liquor equal to one fifth of a United States gallon
n. position five in a countable series of things
n. the musical interval between one note and another five notes away from it
s. coming next after the fourth and just before the sixth in position"
sixth,"n. position six in a countable series of things
n. the musical interval between one note and another six notes away from it
s. coming next after the fifth and just before the seventh in position"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
bring,"v. take something or somebody with oneself somewhere
v. cause to come into a particular state or condition
v. cause to happen or to occur as a consequence
v. go or come after and bring or take back"
wear,"n. impairment resulting from long use
n. the act of having on your person as a covering or adornment
v. be dressed in
v. have on one's person"
favourite,"n a competitor thought likely to win
n a special loved one
n something regarded with special favor or liking
s appealing to the general public
s preferred above all others and treated with partiality"
taxi,"v. travel slowly
v. ride in a taxicab"
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
zebra,n. any of several fleet black-and-white striped African equines
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
traffic,"n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n. buying and selling; especially illicit trade
n. the amount of activity over a communication system during a given period of time
v. deal illegally"
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
lights,"n (physics) electromagnetic radiation that can produce a visual sensation
n any device serving as a source of illumination
n a particular perspective or aspect of a situation
n the quality of being luminous; emitting or reflecting light
n an illuminated area
n a condition of spiritual awareness; divine illumination
n the visual effect of illumination on objects or scenes as created in pictures
n a person regarded very fondly
n having abundant light or illumination
n mental understanding as an enlightening experience
n merriment expressed by a brightness or gleam or animation of countenance
n public awareness
n a divine presence believed by Quakers to enlighten and guide the soul
n a visual warning signal
n a device for lighting or igniting fuel or charges or fires
v make lighter or brighter
v begin to smoke
v to come to rest, settle
v cause to start burning; subject to fire or great heat
v fall to somebody by assignment or lot
v alight from (a horse)"
pavement,n. the paved surface of a thoroughfare
live,"v. lead a certain kind of life; live in a certain style
v. pursue a positive and satisfying existence
a. actually being performed at the time of hearing or viewing
a. exerting force or containing energy"
leave,"n. the period of time during which you are absent from work or duty
n. permission to do something
v. go away from a place
v. go and leave behind, either intentionally or by neglect or forgetfulness"
by,r. so as to pass a given point
on foot,none
arrive,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top"
arrive at,none
cross,"n. a wooden structure consisting of an upright post with a transverse piece
n. a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry
n. any affliction that causes great suffering
v. fold so as to resemble a cross"
